source_id,local_file,source_url,source_type,creator_or_publisher,date,rights_or_license,rights_status,intended_use,spoken_claim,viewer_treatment
EP10-SRC-017,ORIGINALS/Wellcome_L0008517_ventricles.jpg,https://commons.wikimedia.org/wiki/File:Descartes%3B_Diagram_of_ventricles_of_brain._Wellcome_L0008517.jpg,historical anatomical diagram,Wellcome Collection / Descartes,historical,CC BY 4.0,CLEARED_ATTRIBUTION,Ventricles and pineal-region explanation,Historical model of cavities/centrality,Credit Wellcome and licence
EP10-SRC-018,ORIGINALS/Wellcome_L0008518_posterior_brain.jpg,https://commons.wikimedia.org/wiki/File:Descartes%3B_view_of_posterior_of_brain_Wellcome_L0008518.jpg,historical anatomical diagram,Wellcome Collection / Descartes,historical,CC BY 4.0,CLEARED_ATTRIBUTION,Where the gland sits in Descartes anatomy,Single central structure rationale,Credit Wellcome and licence
EP10-SRC-019,ORIGINALS/Wellcome_L0023322_De_homine.jpg,https://commons.wikimedia.org/wiki/File:Renatus_Des_Cartes_De_homine_Wellcome_L0023322.jpg,historical physiology engraving,Wellcome Collection / Descartes,1662,CC BY 4.0,CLEARED_ATTRIBUTION,Optional body-machine cutaway,Cartesian mechanical physiology,Credit Wellcome and licence
EP10-SRC-020,ORIGINALS/Descartes_reflex_fallback.jpg,https://commons.wikimedia.org/wiki/File:Descartes-reflex.JPG,historical reflex/pain diagram,Descartes Treatise of Man,historical,Public domain / PDM,CLEARED,Backup mechanism shot,Mechanical account of sensation,Lower-resolution fallback to EP10-SRC-005
EP10-SRC-021,ORIGINALS/Charles_Bell_brain_1802.pdf,https://wellcomecollection.org/works/be9879j5,historical brain atlas,Charles Bell,1802,Public Domain Mark,CLEARED,Historical anatomy B-roll,Later anatomical observation,Do not imply plates are Descartes own
EP10-SRC-022,ORIGINALS/Whitaker_brain_spinal_1899.pdf,https://wellcomecollection.org/works/bqrakz6k,historical brain atlas,J. Ryland Whitaker,1899,Public Domain Mark,CLEARED,Detailed historical brain plates,Anatomical theory later evolves,Use in post-Cartesian montage
EP10-SRC-023,ORIGINALS/Boerhaave_brain_1741.jpg,https://works.www.wellcomecollection.org/works/gdu4fuj6,historical brain illustration,Herman Boerhaave source plate,1741,Public Domain Mark,CLEARED,Post-Cartesian anatomy transition,Historical anatomy context,Label/source credit if visible
EP10-SRC-024,ORIGINALS/Lisignolo_pineal_1785.pdf,https://wellcomecollection.org/works/va8xwf36,historical pineal anatomy dissertation,Lisignolo,1785,Public Domain Mark,CLEARED,Pineal-specific historical montage,Pineal remained an anatomical object after Descartes,Optional late-section proof
EP10-SRC-025,ORIGINALS/Pineal_histology_young_HE.jpg,https://commons.wikimedia.org/wiki/File:Human_Pineal_Gland_Young_(47372420061).jpg,modern histology image,Ed Uthman / Wikimedia Commons source,modern,CC0,CLEARED,Modern anatomy reality check,Real pineal tissue,Use after modern-anatomy boundary
EP10-SRC-026,ORIGINALS/Pineal_histology_phase.jpg,https://commons.wikimedia.org/wiki/File:Human_Pineal_Gland_Young_by_Phase_Contrast_(46457461585).jpg,modern histology image,Wikimedia Commons source,modern,CC0,CLEARED,Optional second microscopy detail,Real pineal tissue,Use only if visual pacing needs it
EP10-SRC-027,REFERENCE/OpenStax_pineal.html,https://openstax.org/books/anatomy-and-physiology-2e/pages/17-7-the-pineal-gland,modern anatomy textbook,OpenStax,current,CC BY 4.0,CLEARED_ATTRIBUTION,Modern endocrine/melatonin boundary,Modern pineal function,Prefer as research support or carefully attributed diagram
EP10-SRC-028,ORIGINALS/The_Hague_1570_map.png,"https://commons.wikimedia.org/wiki/File:1570,_Map_of_The_Hague_by_Cornelis_Elandts.png",historical map,Cornelis Elandts source,1570,Public domain,CLEARED,The Hague/exile context,Elisabeth lived in exile in The Hague,Label as historical context not exact 1643 map
EP10-SRC-029,ORIGINALS/Ajna_CC0.svg,https://commons.wikimedia.org/wiki/File:Chakra6.svg,modern Ajna vector,Atarax42,2014,CC0 1.0,CLEARED,Very brief EP11 handoff,Later third-eye visual language,Never present as Descartes evidence
EP10-SRC-030,ORIGINALS/Brow_Chakra_Serpent_Power.jpg,https://commons.wikimedia.org/wiki/File:Traditional_Hindu_Diagram_of_Brow_Chakra.jpg,historical esoteric diagram,The Serpent Power source,1918,Public domain,CLEARED,EP11 handoff,Historical brow-chakra visual culture,Use only after narration moves to later reception
EP10-SRC-031,ORIGINALS/Brow_Chakra_Rajasthan_18C.jpg,https://commons.wikimedia.org/wiki/File:Brow_Chakra_Rajasthan_18th_Century.JPG,historical esoteric artwork,unknown historical creator / Rajasthan,18th century,Public domain,CLEARED,EP11 handoff,Historical third-eye/brow-chakra imagery,Excellent final teaser asset
EP10-SRC-032,ORIGINALS/Leadbeater_Chakras_1927.jpg,https://commons.wikimedia.org/wiki/File:Leadbeater%27s_Chakras_Pictures.JPG,historical Theosophical illustration,C. W. Leadbeater,1927,Public domain / PDM,CLEARED,Western esoteric reception montage,Later chakra visualization,Do not present as science
EP10-SRC-033,ORIGINALS/Leadbeater_Pineal_Pituitary_1927.jpg,https://commons.wikimedia.org/wiki/File:Pineal_Gland_and_Pituitary_Body.jpg,historical Theosophical illustration,C. W. Leadbeater,1927,Public domain; retain Commons rights metadata,CLEARED,Direct EP11 bridge,Later occult pineal/pituitary imagery,Do not present as scientific anatomy
EP10-SRC-034,ORIGINALS/Thought_Forms_1901/,https://www.gutenberg.org/ebooks/16269,historical Theosophical illustrated book,Annie Besant and C. W. Leadbeater,1901/1905 editions,Public domain underlying work,CLEARED,Occult visual texture in final handoff,Western Theosophical reception,Use sparingly
EP10-SRC-035,ORIGINALS/Thought_Form_Form38.jpg,https://commons.wikimedia.org/wiki/File:Form38.jpg,historical Theosophical plate,Besant / Leadbeater source,historical,Public domain,CLEARED,Optional final montage flash,Occult thought-form visual culture,Not a pineal-science claim
EP10-SRC-036,REFERENCE/MDPI_dynamic_pineal.html,https://www.mdpi.com/2409-9252/5/2/24,scholarly secondary article,MDPI / article authors,2025,Publisher copyright / open-access terms on article,REFERENCE_ONLY,Figure/source-history cross-check,Descartes pineal textual and paratextual history,Not necessary as decorative footage
EP10-SRC-037,REJECTED/Wellcome_Yoga_Lotuses.jpg,https://wellcomecollection.org/works/ymn7dwzj,historical yoga-lotuses photograph/illustration record,Wellcome Collection / Avalon source,1938 record of 1919 material,Wellcome explicitly marks digitized item In copyright,EXCLUDED_RIGHTS,Research only,Later esoteric visual culture,Do not acquire/use; safer alternatives EP10-SRC-030 to 033
EP10-SRC-038,REJECTED/philotextes_1643.pdf,https://philotextes.info/IMG/pdf/1643.pdf,modern correspondence PDF,unknown modern edition,modern,Endpoint timed out in verification and reuse rights not established,EXCLUDED_UNSTABLE,none,none,Replaced by Wikisource AT facsimiles and Early Modern Texts reference
EP10-SRC-039,REJECTED/SEP_current_pineal.html,https://plato.stanford.edu/entries/pineal-gland/,secondary reference,Stanford Encyclopedia of Philosophy,current URL,Copyright retained; URL now returns Document Not Found,EXCLUDED_BROKEN,none,none,Use archived Fall 2023 URL EP10-SRC-008
