episode,kind,filename,status,width,height,mean_luma,brightness_flag,normalization,bytes,sha256,path
EP04A,MAIN,EP04A_IMG011_BURGHOELZLI_MEMORY_ROOM.png,PASS,2752,1536,90.41,,CENTER_CROP_RESIZE_2560x1440,6448004,8aff3acd1bf2fe622b69c722a8039efa5acfc24bf8143449a3ef68cb6718555d,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG011_BURGHOELZLI_MEMORY_ROOM.png
EP04A,MAIN,EP04A_IMG012_DESK_GO_BACK_IN.png,PASS,2752,1536,34.15,,CENTER_CROP_RESIZE_2560x1440,5498324,6a0f3ccfc49dc072ccc88595849457c7bb28fdf985be47417d952e0a5eeddd1e,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG012_DESK_GO_BACK_IN.png
EP04A,MAIN,EP04A_IMG013_WAITING_FOR_IMAGES.png,PASS,2752,1536,29.16,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,5436254,dbe50aed27404b42a14d3052d3b6a268aa6c5f4cb32a6a7121858373d485ce28,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG013_WAITING_FOR_IMAGES.png
EP04A,MAIN,EP04A_IMG014_VERTICAL_FALL.png,PASS,2752,1536,21.45,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,6130301,3ea4c703df1bef1775d1ea8f5015db115d6f01eeed51e6df05b6f76f220bddc3,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG014_VERTICAL_FALL.png
EP04A,MAIN,EP04A_IMG015_CAVE_WIDE.png,PASS,2752,1536,34.34,,CENTER_CROP_RESIZE_2560x1440,6103039,83917b413778dc72e21103388ebc93da4c92790c5b185ba354295025933cb9f2,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG015_CAVE_WIDE.png
EP04A,MAIN,EP04A_IMG016_BEETLE_RED_SUN_MACRO.png,PASS,2752,1536,53.49,,CENTER_CROP_RESIZE_2560x1440,6484817,23bbbbd293569bc2457c2b611d4a9a55a7692deaa6c0ce95621b587b84455234,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG016_BEETLE_RED_SUN_MACRO.png
EP04A,MAIN,EP04A_IMG017_CORPSE_DISTANT_WATER.png,PASS,2752,1536,36.46,,CENTER_CROP_RESIZE_2560x1440,5974956,88bfa02d20e5067b7f507322349804b3b53f409f138bf4b1f1d6eb2da12a1662,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG017_CORPSE_DISTANT_WATER.png
EP04A,MAIN,EP04A_IMG018_BLACK_SNAKE_CAVE_WIDE.png,PASS,2752,1536,36.18,,CENTER_CROP_RESIZE_2560x1440,6083785,5dc07756d629d87510758f24f0b775abfc288118baa32adbe9df4199e0d3f718,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG018_BLACK_SNAKE_CAVE_WIDE.png
EP04A,MAIN,EP04A_IMG019_ELIAS_SALOME_FRAGMENTS.png,PASS,2752,1536,42.99,,CENTER_CROP_RESIZE_2560x1440,6235181,fb197bf3cc70a0c176d484d5afe0b8b17fcf3b4b8478014cb5a1e66e761a6bec,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG019_ELIAS_SALOME_FRAGMENTS.png
EP04A,MAIN,EP04A_IMG020_PHILEMON_DISTANCE.png,PASS,2752,1536,124.09,,CENTER_CROP_RESIZE_2560x1440,7044056,fa73b834169a8becd18a6111a5d442b630874486a457a21638d822fbf3a5285b,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG020_PHILEMON_DISTANCE.png
EP04A,MAIN,EP04A_IMG021_SEMINAR_RETURN_ANONYMOUS.png,PASS,2752,1536,108.19,,CENTER_CROP_RESIZE_2560x1440,6910958,f76fe64ec33d405b51c9174a7c360d762cf49523e9ea6e1e540c6276cea04ef3,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG021_SEMINAR_RETURN_ANONYMOUS.png
EP04A,MAIN,EP04A_IMG022_SEMINAR_JUNG_HAND_POINTER.png,PASS,2752,1536,61.79,,CENTER_CROP_RESIZE_2560x1440,5591032,4aa3d64155010247e9a96f424511932c6f271ba1c5f4595a28f29e75d002e32f,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG022_SEMINAR_JUNG_HAND_POINTER.png
EP04A,MAIN,EP04A_IMG023_DISCIPLINE_CONTEXT.png,PASS,2752,1536,110.85,,CENTER_CROP_RESIZE_2560x1440,7380900,a313fd683e2ca7aace0e00fd615b908e4b26f8ca55e458d048071c62eb03670e,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG023_DISCIPLINE_CONTEXT.png
EP04A,MAIN,EP04A_IMG024_EMPTY_VESSEL_METAPHOR.png,PASS,2752,1536,26.88,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,5592781,08dc3a8f76018f8246217762630b374d1951add1d99a700631f937c6fde6c9ad,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG024_EMPTY_VESSEL_METAPHOR.png
EP04A,MAIN,EP04A_IMG025_INNER_GRAVITY_ROOM.png,PASS,2752,1536,24.82,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,5461062,1cbf3ae9a4d2f8b847f1e7e5a60b18b604b3f1f76ed29d6ebcc0e76a9cc375e0,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG025_INNER_GRAVITY_ROOM.png
EP04A,MAIN,EP04A_IMG026_MULADHARA_GROUND.png,PASS,2752,1536,76.68,,CENTER_CROP_RESIZE_2560x1440,6714225,a81d516dd4af9def95acad281c08580e9a61dd065bb7488e4d7f1aca602b30d9,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG026_MULADHARA_GROUND.png
EP04A,MAIN,EP04A_IMG027_WATER_MOVEMENT_TRANSITION.png,PASS,2752,1536,78.12,,CENTER_CROP_RESIZE_2560x1440,6013844,95a9cfc1951140c454a5cc7fd2fddd9bc69441636a05749c9e336930c99c7d93,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG027_WATER_MOVEMENT_TRANSITION.png
EP04A,MAIN,EP04A_IMG028_MANIPURA_BODY_MACRO.png,PASS,2752,1536,81.88,,CENTER_CROP_RESIZE_2560x1440,5919079,07fb79c0eff599a68bae57dee526485c23c67c974381140982232a068917a4fc,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG028_MANIPURA_BODY_MACRO.png
EP04A,MAIN,EP04A_IMG029_CONVERSATION_BEFORE_TURN.png,PASS,2752,1536,65.53,,CENTER_CROP_RESIZE_2560x1440,6057746,b52f2105aa3cfb72c2cbbdd09255148709cbb6bd0ac61e1624e0d11a86e78313,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG029_CONVERSATION_BEFORE_TURN.png
EP04A,MAIN,EP04A_IMG030_CONVERSATION_AFFECT_SHIFT.png,PASS,2752,1536,68.22,,CENTER_CROP_RESIZE_2560x1440,6265109,c8e044bf539304fdec2d007d87aa3df2111b3949253e5c8a69cc3c40d38b69c6,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG030_CONVERSATION_AFFECT_SHIFT.png
EP04A,MAIN,EP04A_IMG031_SUBJECTIVE_COMPRESSION.png,PASS,2752,1536,72.44,,CENTER_CROP_RESIZE_2560x1440,6233503,af00275e0911b048b85dc89e0cdb953fc0bd16eebd565a0e0fbe255a8d9046b5,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG031_SUBJECTIVE_COMPRESSION.png
EP04A,MAIN,EP04A_IMG032_ANAHATA_BREATH_OPEN.png,PASS,2752,1536,81.04,,CENTER_CROP_RESIZE_2560x1440,6188300,777d289d91576b9031e1514b2215a10034f1ebed465348c50124722def33e6d1,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG032_ANAHATA_BREATH_OPEN.png
EP04A,MAIN,EP04A_IMG033_OBSERVER_STEP_BACK.png,PASS,2752,1536,66.43,,CENTER_CROP_RESIZE_2560x1440,5573842,aac96247f4afb1a58fc92dd9dbc77c9eed59d43524cf4670a800d8d3d6b0205b,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG033_OBSERVER_STEP_BACK.png
EP04A,MAIN,EP04A_IMG034_PHONE_NAME_ONLY.png,PASS,2752,1536,65.38,,CENTER_CROP_RESIZE_2560x1440,5549948,ee4cddba79eb4f3cbbf36fa1486ff1cd42152fcec40c3ef9db2b8ca2f5990e06,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG034_PHONE_NAME_ONLY.png
EP04A,MAIN,EP04A_IMG035_BODY_REACTION_SEQUENCE_STILL.png,PASS,2752,1536,59.77,,CENTER_CROP_RESIZE_2560x1440,6258007,076893acadfc38121ae45d64b426920ca69d4f6944c82c504ee38dcf6f8304c0,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG035_BODY_REACTION_SEQUENCE_STILL.png
EP04A,MAIN,EP04A_IMG036_REPLY_FORMING_UNREADABLE.png,PASS,2752,1536,67.82,,CENTER_CROP_RESIZE_2560x1440,5987252,cfc6ae25323fbb1f5a46630858160c9bec0ae685a5520d0bdf1beedebcba8fba,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG036_REPLY_FORMING_UNREADABLE.png
EP04A,MAIN,EP04A_IMG037_TWO_SECOND_HOVER.png,PASS,2752,1536,67.8,,CENTER_CROP_RESIZE_2560x1440,5789836,0d59db8218cd5564aee9aad286ca8788c2cd89ed7b5ebf944201a4eccffc4e2e,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG037_TWO_SECOND_HOVER.png
EP04A,MAIN,EP04A_IMG038_RELEASE_PULLBACK.png,PASS,2752,1536,58.72,,CENTER_CROP_RESIZE_2560x1440,6903488,e4656f5d337618a27f84aa145c25e283a2cddefc600900457af64763e55f3fe9,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG038_RELEASE_PULLBACK.png
EP04A,MAIN,EP04A_IMG039_LONDON_PRINT_PROCESS_1919.png,PASS,2752,1536,63.34,,CENTER_CROP_RESIZE_2560x1440,6539906,9a23666e1a31b4a4207c5e5e9c214037553cff1e229e1b80c191aa6a5c770c1d,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG039_LONDON_PRINT_PROCESS_1919.png
EP04A,MAIN,EP04A_IMG040_EMPTY_TRACING_LAYERS.png,PASS,2752,1536,119.51,,CENTER_CROP_RESIZE_2560x1440,6166611,75bbdbbfb18a75bccea48488a52bdd55222ac8253d2bc2668135747060b767d4,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG040_EMPTY_TRACING_LAYERS.png
EP04A,MAIN,EP04A_IMG041_MAP_TRAVEL_DESK.png,PASS,2752,1536,67.71,,CENTER_CROP_RESIZE_2560x1440,6395487,800bf674f65916b820f5362b888a2968978c98e6fd8b0176646ced06d77ce71f,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG041_MAP_TRAVEL_DESK.png
EP04A,MAIN,EP04A_IMG042_MAP_ON_REAL_GROUND.png,PASS,2752,1536,58.06,,CENTER_CROP_RESIZE_2560x1440,7552595,bfff12b254cc8c3b66dbb008cc274fa1610fc2944f738fe34a7075183ff6fa60,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG042_MAP_ON_REAL_GROUND.png
EP04A,MAIN,EP04A_IMG043_BLACK_SNAKE_RESIDUE.png,PASS,2752,1536,28.0,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,5914610,1cc8170204a89f1bba78ec4eb3e9904e85bdda67e5f06034d780a8f1281e70dc,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG043_BLACK_SNAKE_RESIDUE.png
EP04A,MAIN,EP04A_IMG044_INNER_MAP_INTEGRATION.png,PASS,2752,1536,74.43,,CENTER_CROP_RESIZE_2560x1440,6901707,06e87625f00a2f620772873306f78a3e42099f8099583dfdf23aef17aa091602,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG044_INNER_MAP_INTEGRATION.png
EP04A,RESERVE,EP04A_RSV01_CAVE_WATER_DETAIL.png,PASS,2752,1536,33.22,,CENTER_CROP_RESIZE_2560x1440,5664047,57fafb2417a16ad693b4f5694eef747636b2289e4f1ae14b9feeea23c9889ed5,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV01_CAVE_WATER_DETAIL.png
EP04A,RESERVE,EP04A_RSV02_EMPTY_TRAIN_SEAT.png,PASS,2752,1536,71.47,,CENTER_CROP_RESIZE_2560x1440,6591608,8c72c415eb752f111cffafab98123b58ecff5a1af5089fa7348f18f7278e71ac,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV02_EMPTY_TRAIN_SEAT.png
EP04A,RESERVE,EP04A_RSV03_SEMINAR_AUDIENCE_DETAIL.png,PASS,2752,1536,69.36,,CENTER_CROP_RESIZE_2560x1440,6559146,688c7ac5e69b1e36200e5a8cd15dd7c6efda3bb1792b7097150311ba781e83a9,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV03_SEMINAR_AUDIENCE_DETAIL.png
EP04A,RESERVE,EP04A_RSV04_HAND_NOTEBOOK_GROUNDING.png,PASS,2752,1536,56.53,,CENTER_CROP_RESIZE_2560x1440,6113414,5568f8ed0f58744023030c09d2f5052d44683d162275966e40030f722f374897,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV04_HAND_NOTEBOOK_GROUNDING.png
EP04A,RESERVE,EP04A_RSV05_FIRE_TO_AIR_ABSTRACT.png,PASS,2752,1536,31.85,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,7169182,66620b68b2a4f084c9c2c23eee9157451cd491640dd9d5c97685df751bc30f30,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV05_FIRE_TO_AIR_ABSTRACT.png
EP04A,RESERVE,EP04A_RSV06_PHONE_ROOM_ALT.png,PASS,2752,1536,69.95,,CENTER_CROP_RESIZE_2560x1440,5963205,d11410823be30503220e52cfbe26c8ab9aa08276a4f213d3e053a6240a80fde0,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV06_PHONE_ROOM_ALT.png
EP04A,RESERVE,EP04A_RSV07_PAPER_EDGE_TRANSITION.png,PASS,2752,1536,96.36,,CENTER_CROP_RESIZE_2560x1440,6360344,aa41c19bfb69fdfdd8fa797d69974814ec2a0ee42374964decc3dd4949a2aba8,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV07_PAPER_EDGE_TRANSITION.png
EP04A,RESERVE,EP04A_RSV08_BLACK_WATER_CLOSE.png,PASS,2752,1536,16.41,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,4671167,d065877e0c1c1a9e07f223e2dfa7d3cb09dd15f07b06d43d13df3379c6bf2a9e,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\RESERVE\EP04A_RSV08_BLACK_WATER_CLOSE.png
EP04B,MAIN,EP04B_IMG001_MODERN_RAINBOW_MAP.png,PASS,2752,1536,39.45,,CENTER_CROP_RESIZE_2560x1440,6598912,718b02d159fc9d5a4a2967af4480be1919d6269547241ac862c582e7c6a8e712,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG001_MODERN_RAINBOW_MAP.png
EP04B,MAIN,EP04B_IMG002_RAINBOW_LAYER_PEEL.png,PASS,2752,1536,82.01,,CENTER_CROP_RESIZE_2560x1440,6407366,39fb8a98f35e7a0759b43780d0fb8a9f191f4c600a29519ac838ff0d33d77e09,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG002_RAINBOW_LAYER_PEEL.png
EP04B,MAIN,EP04B_IMG003_MODERN_POSTER_IN_ROOM.png,PASS,2752,1536,181.25,,CENTER_CROP_RESIZE_2560x1440,6093118,0d1f60b981545a5aa6427fee212043c9826183e5118f2bef95147467b8390ab0,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG003_MODERN_POSTER_IN_ROOM.png
EP04B,MAIN,EP04B_IMG004_MANY_SYSTEMS_TABLE_BASE.png,PASS,2752,1536,108.98,,CENTER_CROP_RESIZE_2560x1440,6840205,b0abe71ec72c0693e2690e4eb7ce3e088873c171c5fafa8429c65f292a50530a,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG004_MANY_SYSTEMS_TABLE_BASE.png
EP04B,MAIN,EP04B_IMG005_MANUSCRIPT_MATERIAL_WORLD.png,PASS,2752,1536,102.37,,CENTER_CROP_RESIZE_2560x1440,6622419,f882c7f5352d461c6f4d5705f2bd844cee8ddc5a74931e3cf167aa4ac8c24bd4,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG005_MANUSCRIPT_MATERIAL_WORLD.png
EP04B,MAIN,EP04B_IMG006_SIX_PLUS_ABOVE_BASE.png,PASS,2752,1536,159.93,,CENTER_CROP_RESIZE_2560x1440,5234567,b644c2c1ef4a46d8038f06f99cf1639010b62b434058afe0b50fdecea667a8cc,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG006_SIX_PLUS_ABOVE_BASE.png
EP04B,MAIN,EP04B_IMG007_LONDON_PRINT_SHOP_1919.png,PASS,2752,1536,78.93,,CENTER_CROP_RESIZE_2560x1440,7506445,4fb85229139a152c502f063b400945f736c3dd893e7e0db2783917646483cdb3,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04B\MAIN\EP04B_IMG007_LONDON_PRINT_SHOP_1919.png
