source_id,local_file,source_url,source_type,creator_or_publisher,date,rights_or_license,rights_status,intended_use,spoken_claim,viewer_treatment
KZ-SRC-011,ORIGINALS/Kozyrev_Iofe_Smena_1989.jpg,https://arch.iofecenter.org/en/case/1102,archival newspaper clipping,Smena / Iofe Foundation Electronic Archive,1989-05-20,Archive preview; no explicit reuse license located,EXCLUDED_FROM_FINAL_RIGHTS_RISK,Research reference only; not selected for final timeline,Kozyrev biography research,Not viewer-facing
KZ-SRC-012,ORIGINALS/Kozyrev_Iofe_Evening_Petersburg_1998.jpg,https://arch.iofecenter.org/en/case/1102,archival newspaper clipping,Evening Petersburg / Iofe Foundation Electronic Archive,1998-09-04,Archive preview; no explicit reuse license located,EXCLUDED_FROM_FINAL_RIGHTS_RISK,Research reference only; not selected for final timeline,Later Kozyrev reception research,Not viewer-facing
KZ-SRC-013,ORIGINALS/Vlail_Kaznacheev_BSK.jpg,https://bsk.nios.ru/enciklodediya/kaznacheev-vlail-petrovich,authentic biographical portrait,Novosibirsk local-history encyclopedia,date not stated,Site copyright retained or unclear,EXCLUDED_FROM_FINAL_RIGHTS_RISK,Research reference only; replaced by KZ-SRC-004 in final timeline,Kaznacheev identity research,Not viewer-facing
KZ-SRC-014,ORIGINALS/Alexander_Trofimov_RKO.jpg,https://cosmatica.org/direction,authentic institutional portrait,Russian Cosmist Society,date not stated,Site copyright retained; no reuse license located,EXCLUDED_FROM_FINAL_RIGHTS_RISK,Research reference only; replaced by KZ-SRC-005 in final timeline,Trofimov identity research,Not viewer-facing
KZ-SRC-015,ORIGINALS/Pulkovo_Observatory_1855_Bernardsky_PD.jpg,https://commons.wikimedia.org/wiki/File:Ev._Bernardsky._Pulkovo_Observatory_in_1855.jpg,historical illustration,Ev. Bernardsky,1855,Public domain,CLEARED,Kozyrev astronomy context without reusing his portrait,Pulkovo Observatory grounds Kozyrev's astronomical profession and era,No archive badge; source and public-domain status in credits
KZ-SRC-016,ORIGINALS/Pulkovo_Observatory_1855_commons_metadata.json,https://commons.wikimedia.org/w/api.php?action=query&titles=File%3AEv._Bernardsky._Pulkovo_Observatory_in_1855.jpg&prop=imageinfo&iiprop=url%7Cextmetadata&format=json,license metadata,Wikimedia Commons,2026-08-26,Public-domain metadata record,CLEARED,License proof for KZ-SRC-015,Pulkovo illustration provenance,Not viewer-facing
KZ-SRC-017,ORIGINALS/Pulkovo_refractor_Vladimir_Ivanov_PD.jpg,https://commons.wikimedia.org/wiki/File:Pulkovo_refractor.jpg,authentic observatory photograph,Vladimir Ivanov,2008-07-08,Public domain,CLEARED,Distinct astronomy-instrument context at Kozyrev biography beat,Large refractor at Pulkovo Observatory,No archive badge; creator and public-domain status in credits
KZ-SRC-018,ORIGINALS/Pulkovo_refractor_commons_metadata.json,https://commons.wikimedia.org/w/api.php?action=query&titles=File%3APulkovo_refractor.jpg&prop=imageinfo&iiprop=url%7Cextmetadata&format=json,license metadata,Wikimedia Commons,2026-08-26,Public-domain metadata record,CLEARED,License proof for KZ-SRC-017,Pulkovo refractor provenance,Not viewer-facing
KZ-SRC-019,ORIGINALS/Pulkovo_big_refractor_1884_plate_PD.jpg,https://commons.wikimedia.org/wiki/File:Pulkoworefraktor.jpg,historical instrument plate,Schrajo / J. A. Repsold source plate,1914 scan of 1884 instrument,Public domain worldwide release,CLEARED,Distinct final Kozyrev chronology context without repeating the portrait or patent inventor crop,The astronomical instrument predates the later chamber patent and visually grounds Kozyrev's actual field,No archive badge; source and public-domain status in credits
KZ-SRC-020,ORIGINALS/Pulkovo_big_refractor_commons_metadata.json,https://commons.wikimedia.org/w/api.php?action=query&titles=File%3APulkoworefraktor.jpg&prop=imageinfo&iiprop=url%7Cextmetadata&format=json,license metadata,Wikimedia Commons,2026-08-26,Public-domain metadata record,CLEARED,License proof for KZ-SRC-019,Historical Pulkovo refractor provenance,Not viewer-facing
