event,record_in_seconds,record_out_seconds,duration_seconds,record_in_frame,record_out_frame,visual_state_id,primary_asset_id,semantic_mode,internal_mode,motion_class,selected_file_path,first_cue,last_cue,viewer_function,long_hold_reason
KZ-EDL-021,75.680,77.920,2.240,1892,1948,KZ_MYSTIC_TIME_ACTIVE_AFTERIMAGE,KZ_SEQ_KOZYREV_BIO_IDEA,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_TIME_ACTIVE_AFTERIMAGE.png,KZ-CUE-022,KZ-CUE-022,Shift from person to the specific speculative idea,
KZ-EDL-022,77.920,89.400,11.480,1948,2235,KZ_CLIP_INTERNAL_TIME_CONTINUOUS,KZ_INNER01_INTERNAL_TIME,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,PROGRESSIVE_MOTION,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_INTERNAL_TIME_CONTINUOUS.mp4,KZ-CUE-023,KZ-CUE-025,One continuously evolving internal-time sequence; never restart or recycle it,"The single uninterrupted sequence visibly evolves through dust, condensation and delayed reflection as the three spoken claims escalate; a camera move alone is insufficient."
KZ-EDL-023,89.400,94.800,5.400,2235,2370,KZ_SRC_KAZNACHEEV_TROFIMOV_PAIR,KZ_SEQ_RESEARCHER_IDENTITIES,PERSON_HISTORY,ARCHIVE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_KAZNACHEEV_TROFIMOV_PAIR.png,KZ-CUE-026,KZ-CUE-026,Show both later researchers at their first research-history beat,
KZ-EDL-024,94.800,100.280,5.480,2370,2507,KZ_DOC_028,KZ_SEQ_RESEARCHER_IDENTITIES,DOCUMENT_EVIDENCE,ORIGINAL_DOCUMENT,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_028.png,KZ-CUE-027,KZ-CUE-027,"Connect the named researchers to their documented work, not a generic chamber",
KZ-EDL-025,100.280,104.440,4.160,2507,2611,KZ_MYSTIC_THREE_STORIES_COLLAPSE,KZ_SEQ_THREE_STREAMS,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_THREE_STORIES_COLLAPSE.png,KZ-CUE-028,KZ-CUE-028,Visualize the online collapse of three distinct histories,
KZ-EDL-026,104.440,106.040,1.600,2611,2651,KZ_CARD_STREAM_KOZYREV_TIME,KZ_SEQ_THREE_STREAMS,PERSON_HISTORY,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_STREAM_KOZYREV_TIME.png,KZ-CUE-029,KZ-CUE-029,Identify stream one: Kozyrev's time theory,
KZ-EDL-027,106.040,109.600,3.560,2651,2740,KZ_RESEARCHERS_NIGHT_LAB,KZ_SEQ_THREE_STREAMS,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_RESEARCHERS_NIGHT_LAB.png,KZ-CUE-030,KZ-CUE-030,Identify stream two: later experiments,
KZ-EDL-028,109.600,113.080,3.480,2740,2827,KZ_CARD_STREAM_PATENT,KZ_SEQ_THREE_STREAMS,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_STREAM_PATENT.png,KZ-CUE-031,KZ-CUE-031,Identify stream three: the aluminum medical patent,
KZ-EDL-029,113.080,114.880,1.800,2827,2872,KZ_MYSTIC_SEPARATE_THREADS,KZ_SEQ_THREE_STREAMS,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_SEPARATE_THREADS.png,KZ-CUE-032,KZ-CUE-032,Restore the documentary separation between the three streams,
KZ-EDL-030,114.880,117.560,2.680,2872,2939,KZ_EN_REC04_CHAMBER_REVERSE_WIDE,KZ_EN_REC04_CHAMBER_REVERSE_WIDE,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/KZ_EN_REC04_CHAMBER_REVERSE_WIDE.png,KZ-CUE-033,KZ-CUE-033,New reverse-angle chamber moment before the physical specifications,
KZ-EDL-031,117.560,121.960,4.400,2939,3049,KZ_PHYSICAL_PANEL_SCALE,KZ_SEQ_PATENT_PHYSICAL_DESIGN,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/CLUSTER_BREAKS/KZ_PHYSICAL_PANEL_SCALE.png,KZ-CUE-034,KZ-CUE-034,Show the 2.8-metre limit where it is spoken,
KZ-EDL-032,121.960,124.720,2.760,3049,3118,KZ_FILM_ALUMINUM_SURFACE_MACRO,KZ_SEQ_PATENT_PHYSICAL_DESIGN,PHYSICAL_CHAMBER,PHYSICAL_DETAIL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/FINAL_DOCUMENT_REPAIR/KZ_FILM_ALUMINUM_SURFACE_MACRO.png,KZ-CUE-035,KZ-CUE-035,Use the patent's material wording instead of cropping the later HERO02 payoff,
KZ-EDL-033,124.720,130.360,5.640,3118,3259,KZ_DOC_032,KZ_SEQ_PATENT_PHYSICAL_DESIGN,DOCUMENT_EVIDENCE,ORIGINAL_DOCUMENT,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_032.png,KZ-CUE-036,KZ-CUE-036,Show the proposed fifty-centimetre focus in the patent,
KZ-EDL-034,130.360,134.120,3.760,3259,3353,KZ_PHYSICAL_PANEL_ARRAY,KZ_SEQ_PATENT_PHYSICAL_DESIGN,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/CLUSTER_BREAKS/KZ_PHYSICAL_PANEL_ARRAY.png,KZ-CUE-037,KZ-CUE-037,Show the four-to-ten panel range,
KZ-EDL-035,134.120,137.480,3.360,3353,3437,KZ_MODEL_DIRECTION_COMPARE,KZ_SEQ_PATENT_PHYSICAL_DESIGN,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_MODEL_DIRECTION_COMPARE.png,KZ-CUE-038,KZ-CUE-038,Compare clockwise and counterclockwise geometry without faking a source page,
KZ-EDL-036,137.480,138.960,1.480,3437,3474,KZ_MODEL_ROTATION_CUTAWAY,KZ_SEQ_PATENT_PHYSICAL_DESIGN,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_MODEL_ROTATION_CUTAWAY.png,KZ-CUE-039,KZ-CUE-039,Use a new cutaway state rather than returning to the earlier figure-four export,
KZ-EDL-037,138.960,140.960,2.000,3474,3524,KZ_MYSTIC_DIRECTION_REFLECTION,KZ_SEQ_PATENT_CONDITIONS_QUESTIONS,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_DIRECTION_REFLECTION.png,KZ-CUE-040,KZ-CUE-040,Turn direction into a clear unresolved question,
KZ-EDL-038,140.960,146.640,5.680,3524,3666,KZ_MYSTIC_LUNAR_REFLECTION,KZ_SEQ_PATENT_CONDITIONS_QUESTIONS,SUBJECTIVE_MYSTICAL,SUBJECTIVE_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_LUNAR_REFLECTION.png,KZ-CUE-041,KZ-CUE-042,Turn lunar timing into a clear unresolved question,
KZ-EDL-039,146.640,155.840,9.200,3666,3896,KZ_CLIP_FIELD_CONCENTRATION_PROPOSAL,KZ_SEQ_PATENT_CLAIMS_BOUNDARY,EXPLANATORY_GRAPHIC,CLAIM_VISUALIZATION,PROGRESSIVE_MOTION,04_ASSETS/CLIPS/LOCAL_PROGRESSIVE/KZ_CLIP_FIELD_CONCENTRATION_PROPOSAL.mp4,KZ-CUE-043,KZ-CUE-044,Frame the next explanation explicitly as the inventors' answer,One continuous 9.20-second proposal sequence adds field paths and convergence instead of holding a static graphic.
KZ-EDL-040,155.840,160.800,4.960,3896,4020,KZ_FILM_HELIOGEOPHYSICAL_CHAMBER,KZ_SEQ_PATENT_CLAIMS_BOUNDARY,SUBJECTIVE_MYSTICAL,CLAIM_VISUALIZATION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/FINAL_DOCUMENT_REPAIR/KZ_FILM_HELIOGEOPHYSICAL_CHAMBER.png,KZ-CUE-045,KZ-CUE-045,Show the exact heliogeophysical attribution,
KZ-EDL-041,160.800,164.400,3.600,4020,4110,KZ_CARD_PATENT_RECORDS_CLAIM,KZ_SEQ_PATENT_CLAIMS_BOUNDARY,EXPLANATORY_GRAPHIC,EPISTEMIC_GRAPHIC,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_PATENT_RECORDS_CLAIM.png,KZ-CUE-046,KZ-CUE-047,Put the claims back beside the people who made them,
KZ-EDL-042,164.400,166.680,2.280,4110,4167,KZ_CARD_CLAIM_NOT_PROOF,KZ_SEQ_PATENT_CLAIMS_BOUNDARY,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_CLAIM_NOT_PROOF.png,KZ-CUE-048,KZ-CUE-048,Hold the evidence boundary: claim is not proof,
KZ-EDL-043,166.680,171.440,4.760,4167,4286,KZ_DOC_013,KZ_SEQ_RESEARCHERS_LATER_WORK,DOCUMENT_EVIDENCE,ORIGINAL_DOCUMENT,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_013.png,KZ-CUE-049,KZ-CUE-049,Return to both researchers as the story leaves medicine,
KZ-EDL-044,171.440,175.520,4.080,4286,4388,KZ_DOC_014,KZ_SEQ_RESEARCHERS_LATER_WORK,DOCUMENT_EVIDENCE,ORIGINAL_DOCUMENT,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_014.png,KZ-CUE-050,KZ-CUE-050,Show their modeled-Kozyrev-space publication,
KZ-EDL-045,175.520,178.160,2.640,4388,4454,KZ_MYSTIC_INTERNAL_TIME_REFRACTION,KZ_SRC_2006_ALTERED_INTERNAL_TIME,SUBJECTIVE_MYSTICAL,SUBJECTIVE_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_INTERNAL_TIME_REFRACTION.png,KZ-CUE-051,KZ-CUE-051,Use a new publication detail; do not restart the earlier internal-time image,
KZ-EDL-046,178.160,185.640,7.480,4454,4641,KZ_CLIP_DISTANT_IMAGE_CONTINUOUS,KZ_INNER02_DISTANT_IMAGE,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,PROGRESSIVE_MOTION,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_DISTANT_IMAGE_CONTINUOUS.mp4,KZ-CUE-052,KZ-CUE-053,"One continuously evolving distant-image sequence; no portal, beam, badge or restart",
KZ-EDL-047,185.640,189.200,3.560,4641,4730,KZ_HERO01_REFLECTION_STATE,KZ_SEQ_CHAMBER_EXPERIENCE,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/KZ_HERO01_REFLECTION_STATE.png,KZ-CUE-054,KZ-CUE-054,Return to the metal reflector with a distinct slow reflective motion state,
KZ-EDL-048,189.200,192.880,3.680,4730,4822,KZ_EN_REC02_SEATED_NEUTRAL,KZ_SEQ_CHAMBER_EXPERIENCE,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/KZ_EN_REC02_SEATED_NEUTRAL.png,KZ-CUE-055,KZ-CUE-055,Place a neutral participant inside for the experience question,
KZ-EDL-049,192.880,196.880,4.000,4822,4922,KZ_CARD_THEORY_FORK_RETURN,KZ_SEQ_THEORY_PSYCHOLOGY,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_THEORY_FORK_RETURN.png,KZ-CUE-056,KZ-CUE-056,Re-open the three explanations before testing them,
KZ-EDL-050,196.880,198.560,1.680,4922,4964,KZ_CARD_THEORY_ISOLATION_ACTIVE,KZ_SEQ_THEORY_PSYCHOLOGY,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_THEORY_ISOLATION_ACTIVE.png,KZ-CUE-057,KZ-CUE-057,Activate the psychological branch,
KZ-EDL-051,198.560,208.520,9.960,4964,5213,KZ_CLIP_ISOLATION_SENSORY_CONTINUOUS,KZ_SEQ_THEORY_PSYCHOLOGY,PHYSICAL_CHAMBER,RECONSTRUCTION,PROGRESSIVE_MOTION,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_ISOLATION_SENSORY_CONTINUOUS.mp4,KZ-CUE-058,KZ-CUE-058,One evolving sensory-isolation sequence with new information throughout the long sentence,"The participant, acoustics, light and body-orientation cues develop across the sentence; the sequence cannot be a held still or simple zoom."
KZ-EDL-052,208.520,213.040,4.520,5213,5326,KZ_SENSORY_HAND_ON_ALUMINUM,KZ_SEQ_THEORY_PSYCHOLOGY,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/CLUSTER_BREAKS/KZ_SENSORY_HAND_ON_ALUMINUM.png,KZ-CUE-059,KZ-CUE-059,Separate genuine experience from external information,
KZ-EDL-053,213.040,216.360,3.320,5326,5409,KZ_CARD_THEORY_PHYSICAL_ACTIVE,KZ_SEQ_THEORY_PHYSICAL,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_THEORY_PHYSICAL_ACTIVE.png,KZ-CUE-060,KZ-CUE-060,Activate the ordinary physical branch,
KZ-EDL-054,216.360,224.120,7.760,5409,5603,KZ_CLIP_PHYSICAL_VARIABLES_SENSOR_RIG,KZ_SEQ_THEORY_PHYSICAL,PHYSICAL_CHAMBER,RECONSTRUCTION,PROGRESSIVE_MOTION,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_PHYSICAL_VARIABLES_SENSOR_RIG.mp4,KZ-CUE-061,KZ-CUE-061,"Map sound, temperature, reflections and body sensing onto physical details",
KZ-EDL-055,224.120,225.600,1.480,5603,5640,KZ_CARD_PHYSICAL_VARIABLES,KZ_SEQ_THEORY_PHYSICAL,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_PHYSICAL_VARIABLES.png,KZ-CUE-062,KZ-CUE-062,Keep the measurable ordinary variables available at both logic beats,
KZ-EDL-056,225.600,227.640,2.040,5640,5691,KZ_MYSTIC_MEASURABLE_NOT_TRAVEL,KZ_SEQ_THEORY_PHYSICAL,SUBJECTIVE_MYSTICAL,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_MEASURABLE_NOT_TRAVEL.png,KZ-CUE-063,KZ-CUE-063,Explicitly separate measurement from time travel,
KZ-EDL-057,227.640,231.240,3.600,5691,5781,KZ_CARD_THEORY_INFORMATION_ACTIVE,KZ_SEQ_THEORY_INFORMATION_TEST,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_THEORY_INFORMATION_ACTIVE.png,KZ-CUE-064,KZ-CUE-064,Activate the proponents' extraordinary branch,
KZ-EDL-058,231.240,235.680,4.440,5781,5892,KZ_OBSERVER_DISTANCE_REFLECTION,KZ_SEQ_THEORY_INFORMATION_TEST,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/CLUSTER_BREAKS/KZ_OBSERVER_DISTANCE_REFLECTION.png,KZ-CUE-065,KZ-CUE-065,Use a new theory diagram rather than returning to the distant-image sequence,
KZ-EDL-059,235.680,238.120,2.440,5892,5953,KZ_MYSTIC_EXTRAORDINARY_POSSIBILITY,KZ_SEQ_THEORY_INFORMATION_TEST,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_EXTRAORDINARY_POSSIBILITY.png,KZ-CUE-066,KZ-CUE-066,Name the extraordinary possibility without endorsing it,
KZ-EDL-060,238.120,241.600,3.480,5953,6040,KZ_CARD_CLEAN_TEST,KZ_SEQ_THEORY_INFORMATION_TEST,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_CLEAN_TEST.png,KZ-CUE-067,KZ-CUE-067,Pivot from mystery to a decisive test,
KZ-EDL-061,241.600,244.080,2.480,6040,6102,KZ_SUBJECTIVE_REPORT_HAND,KZ_SEQ_THEORY_INFORMATION_TEST,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/CLUSTER_BREAKS/KZ_SUBJECTIVE_REPORT_HAND.png,KZ-CUE-068,KZ-CUE-068,Reject subjective feeling as the decisive outcome,
