cue_id,act,voice_anchor,visual_type,visual_concept,subshots,avg_shot_s,archive_anchor,retention_function,notes
V5_016,S2,"Er geht absichtlich zurück hinein",AI_RECON,"Schreibtisch Licht aus -> Frame fällt ins Schwarz",3,4.0,"",cliffhanger,"Aktende auf Fallbewegung"
V5_017,S3,"Abends setzt er sich hin",AI_RECON,"Hände/Notizbuch/Lampe extrem nah",3,4.0,"",ritual_start,"materiell und ruhig"
V5_018,S3,"Bilder kommen",AI_RECON,"Papiertext löst sich in Formen/Wasser",3,4.5,"",threshold,"kein leuchtender VFX-Kitsch"
V5_019,S3,"fällt in die Tiefe",AI_RECON,"vertikaler Fall ohne sichtbaren Körper",4,3.5,"",spectacle,"Sounddesign übernimmt"
V5_020,S3,"Höhle Leichnam Käfer rote Sonne",AI_RECON_MONTAGE,"vier Symbolbilder mit ungewöhnlicher Zeitlupe",4,4.0,"",symbol_density,"Leichnam nur Silhouette/Spiegelung"
V5_021,S3,"Elias Salome Schlange",AI_RECON,"Figuren nur fragmentarisch hinter Schatten/Stein",3,5.0,"",uncanny,"keine Vollkörper-Fantasycharaktere"
V5_022,S3,"Philemon",AI_RECON,"alter Mann + Eisvogeltextur + Hornschatten als Doppelbelichtung",4,4.0,"",character_reveal,"ikonisch aber nicht literal"
V5_023,S3,"sagt Dinge die ihn überraschen",QUOTE_MOTION,"wenige Wörter erscheinen versetzt aus falscher Richtung",3,4.5,"",subjective_autonomy,"keine externe Stimme visualisieren"
V5_024,S3,"zwei billige Richtungen",SPLIT_MOTION,"VERRÜCKT / WESEN kurz gegeneinander, dann beide verschwinden",3,3.0,"",counterplot,"nicht debunkend"
V5_025,S3,"Patienten Familie Arbeit Alltag",ARCHIVE_RECON_BLEND,"echtes Jung-Foto + Praxis/Alltag rekonstruierte Details",3,4.5,"Jung_family_or_practice",grounding,"nur korrekt datierte Familienassets"
V5_026,S3,"diesmal heißt die Schlange Kundalini",MATCH_CUT,"schwarze Schlange hebt Kopf -> harter Cut historische Tafel",3,4.0,"SerpentPower_Kundalini",act_cliffhanger,"wichtigster Match Cut der Folge"
V5_027,S4,"Herbst 1932 wieder Zürich",ARCHIVE,"Limmat/Psychologischer Club/Hauer",4,3.5,"Zurich_1932;Hauer",reorientation,"kalter Realitätslook"
V5_028,S4,"Hauer hat gesprochen",ARCHIVE,"Hauer Porträt + Seminarhinweis",3,4.0,"Hauer",source_chain,"NS-Kontext hier nicht aufblasen"
V5_029,S4,"Kundalini unten zusammengerollt",ORIGINAL_ASSET,"Originaldiagramm langsam von unten nach oben scannen",3,5.0,"SerpentPower_Plate",mechanism,"erste volle Kartenansicht"
V5_030,S4,"kein Wellness-Poster",CONTRAST_MOTION,"historische Tafel vs moderne bunte Grafik 1 Sekunde",3,3.5,"SerpentPower_Plate",contrast,"modernes Poster eigene Grafik"
V5_031,S4,"Technik und Gefäß",AI_SYMBOLIC,"leeres Gefäß + herausgelöste glühende Linie",3,4.5,"",metaphor,"abstrakt statt Guru-Klischee"
V5_032,S4,"innere Inhalte eigene Schwerkraft",AI_RECON,"Raum kippt minimal, Gegenstände ziehen zur Figur",3,4.5,"",felt_experience,"surreal aber subtil"
V5_033,S4,"Er liest die Chakren als Zustände",MOTION_GRAPHIC,"historisches Chakra-Diagramm löst sich in vier Materialfelder",3,4.0,"SerpentPower_Plate",concept_turn,"Erde/Wasser/Feuer/Luft vorbereiten"
V5_034,S5,"Muladhara Erde Gewicht",MOTION_AI,"Stein/Boden/Körpergewicht/Schreibtisch",4,4.0,"",map_start,"keine New-Age-Farbe"
V5_035,S5,"Wasser Bewegung",AI_ABSTRACT,"Konturen eines Körpers werden flüssig",3,4.5,"",transition,"nur kurzer Beat"
V5_036,S5,"Manipura Affekt",AI_CINEMATIC,"Nahaufnahmen Kiefer Hand Brust Hitzeverzerrung",4,3.5,"",embodiment,"wichtigster körperlicher Beat"
V5_037,S5,"Gespräch beginnt sachlich",MODERN_RECON,"zwei Personen neutral, kein hörbarer Dialog",3,4.0,"",relatability,"zeitgenössisch aber markenfrei"
V5_038,S5,"Dann fällt ein Satz",MICRO_MONTAGE,"Mund/Hand/Schulter/rote Hitze ohne Text",4,3.0,"",escalation,"schneller als Voice"
V5_039,S5,"Du bist wütend",AI_ABSTRACT,"Bild wird eng, Ränder schließen sich",3,4.0,"",subjective_lock,"kein Text außer optional ICH BIN"
V5_040,S5,"Anahata Feuer zur Luft",MOTION_AI,"Flamme wird zu Atem/Nebel, Frame öffnet sich",4,4.5,"",release,"visuell befriedigender Payoff"
V5_041,S5,"Da ist Wut",TYPO_MOTION,"ICH BIN WUT -> DA IST WUT mit Abstand im Layout",3,4.0,"",cognitive_shift,"minimalistische Typo"
V5_042,S5,"eine Wahl",AI_CINEMATIC,"Hand stoppt 2 cm vor Handlung, langer Mikromoment",3,5.5,"",micro_climax,"Pause im Schnitt zulassen"
V5_043,S6,"Nachricht auf Display",MODERN_RECON,"anonymer Chat, nur geometrische Blöcke",3,4.0,"",immediate_hook,"keine lesbare private Nachricht"
V5_044,S6,"Körper reagiert",MACRO,"Atem Kiefer Pupille Finger",4,3.5,"",embodiment,"Sound Puls/Atem"
V5_045,S6,"Antwort schon formuliert",TYPO_AI,"Textfragmente entstehen und verbrennen vor Lesbarkeit",3,4.0,"",tension,"kein echter Satz nötig"
V5_046,S6,"zwei Sekunden schreibst du nicht",MYSTERY_HOLD,"Finger schwebt, nahezu stilles Bild",2,6.5,"",pause_payoff,"bewusst längster Hold des Mittelakts"
V5_047,S6,"Du siehst den Impuls",AI_ABSTRACT,"Kamera löst sich rückwärts aus engem Raum",3,4.5,"",release,"Anahata-Prinzip körperlich zeigen"
V5_048,S6,"Symbol nützlich",MOTION_GRAPHIC,"kleine historische Form wird moderne neutrale Markierung",3,4.0,"SerpentPower_detail",meaning,"kein Beweis-Overlay"
V5_049,S6,"KARTE oder PROJEKTION",CTA_CARD,"zwei Wörter auf schwarzem Grund, 50/50 Layout",2,4.0,"",interaction,"keine Like/Subscribe-Grafik"
V5_050,S6,"Die Karte war selbst in Bewegung",TRANSITION,"Papierkante klappt um und wird 1919-Titelblatt",3,3.5,"SerpentPower_title",second_twist,"harter Musikwechsel"
V5_051,S7,"The Serpent Power London 1919",ORIGINAL_ASSET,"echtes Titelblatt + Druckdetail",4,3.5,"SerpentPower_1919",document_reveal,"kein AI-Buch"
V5_052,S7,"Arthur Avalon",TYPO_ARCHIVE,"Name groß, dann Schicht löst sich",3,4.0,"SerpentPower_title",identity_mystery,"nicht 'Fake' schreiben"
V5_053,S7,"John Woodroffe",ARCHIVE,"Porträt + High Court/Kalkutta Karte",4,3.5,"Woodroffe;Calcutta",character_reveal,"Kolonialkontext visuell knapp"
V5_054,S7,"Atal Bihari Ghose Netzwerk",MOTION_DOCUMENT,"Netzwerk aus Namen/Dokumenten, kein erfundenes Porträt",3,4.5,"Ghose_source",counterhistory,"nur authentifiziertes Bild falls vorhanden"
V5_055,S7,"Beschreibung der sechs Zentren",ORIGINAL_ASSET_TYPO,"Texttitel + Zahl SECHS groß",4,3.5,"SatCakra_text",number_reveal,"Peak des zweiten Twists"
V5_056,S7,"Sahasrara darüber",ORIGINAL_ASSET,"historische Tafel nach oben scannen",3,4.5,"SerpentPower_Plate",nuance,"nicht 'seventh fake' suggerieren"
V5_057,S7,"Regenbogen später",TIMELINE_MOTION,"historische Farben -> spätere abstrahierte Regenbogenordnung",4,3.5,"Leadbeater_ref",map_mutation,"nur grobe Timeline in EP04"
V5_058,S7,"Die Karte hatte nie nur eine Form",MORPH_MOTION,"3 historische Varianten überblenden",3,4.5,"historic_chakra_set",philosophical_turn,"Cliffhanger zu eigener Folge"
V5_059,S8,"Zurück zu Jung",ARCHIVE,"Jung 1930s ruhig, kein heroischer Zoom",3,4.5,"Jung_1930s",return_character,"Musik reduziert"
V5_060,S8,"Höhle Wasser Feuer Gestalten Schlange",AI_REPRISE,"4 frühere Symbole in ruhigerer Form",4,4.5,"",motif_return,"keine neuen Motive"
V5_061,S8,"fremde symbolische Sprache",LAYERED_MOTION,"historische Tafel schwebt über Höhlenstruktur",3,5.0,"SerpentPower_Plate",integration,"bewusst abstrakt"
V5_062,S8,"Vielleicht hat Jung Indien falsch gelesen",ARCHIVE_ABSTRACT,"Jung-Porträt halb hinter Sanskrit/Diagramm",3,4.5,"Jung_1930s",open_question,"kein Urteil"
V5_063,S8,"Karte und Gelände",AI_SYMBOLIC,"Papierkarte liegt auf dunklem realem Boden und löst sich",3,5.0,"",residue,"ruhiger Mystery-Hold"
V5_064,S8,"er traute inneren Bildern viel zu",AI_RECON,"schwarze Schlange gleitet aus Licht und verschwindet",3,5.0,"",emotional_close,"kein Kundalini-Label"
V5_065,S8,"Wolfgang Pauli",ARCHIVE,"Pauli Porträt + ETH",4,3.5,"Pauli_1930s;ETH",next_episode_reveal,"erst Name nach Physiker/Nobelpreisträger"
V5_066,S8,"Zufälle ernst zu nehmen",MOTION_ABSTRACT,"Formeln/Traumskizzen/Punkte verbinden sich ohne Erklärung",3,4.0,"",next_hook,"nur Teaser"
V5_067,S8,"Das ist die nächste Folge",ENDCARD,"schwarz + einzelner Punkt + NOESIS Endcard",2,6.0,"",end_hold,"20s Endscreen danach separat"
