cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP04_V2_C012,S2,Die gestohlene Karte,87.9,95.9,"Die verschiedenen indischen Traditionen","unterschiedliche Anzahlen, Namen","Die verschiedenen indischen Traditionen kennen unterschiedliche Anzahlen, Namen",ORIGINAL_ASSET,Use original asset B_AJNA_1918 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_AJNA_1918,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C013,S2,Die gestohlene Karte,95.9,103.9,"und Deutungen der Chakren. Das System,","den tausendblaettrigen Lotus Sahasrara.","und Deutungen der Chakren. Das System, mit dem Jung arbeitete, beschreibt eine aufsteigende Folge von Zentren und den tausendblaettrigen Lotus Sahasrara.",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG10,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C014,S2,Die gestohlene Karte,103.9,111.9,"Aber es gibt nicht den einen,","Jung arbeitete mit einer Karte,","Aber es gibt nicht den einen, zeitlosen Chakra-Plan. Jung arbeitete mit einer Karte, die schon vor ihm gezeichnet worden war.",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG11,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C015,S2,Die gestohlene Karte,111.9,118.3,"Von jemandem, der sie fuer","vereinfacht hatte.","Von jemandem, der sie fuer ein westliches Publikum vereinfacht hatte.",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG12,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C016,S3,Die unteren Stockwerke,118.3,126.3,"Jungs Ausgangspunkt war Muladhara, das","unserer bewussten, irdischen und persoenlichen","Jungs Ausgangspunkt war Muladhara, das Wurzelzentrum. In seinem Seminar deutete er es als Bild unserer bewussten, irdischen und persoenlichen",VECTOR_DIAGRAM,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG13,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C017,S3,Die unteren Stockwerke,126.3,134.3,"Existenz. Erde, Gewicht, Verwurzelung, das","der Zustand, in dem Alltag,","Existenz. Erde, Gewicht, Verwurzelung, das Leben im Konkreten. Nicht niedrig im moralischen Sinn. Sondern der Zustand, in dem Alltag,",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C018,S3,Die unteren Stockwerke,134.3,142.3,"Koerper, Besitz, Rolle und unmittelbare","das mit Wasser verbunden ist.","Koerper, Besitz, Rolle und unmittelbare Realitaet den Horizont bilden. Dann kommt Svadhisthana, das mit Wasser verbunden ist.",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG14,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C019,S3,Die unteren Stockwerke,142.3,150.3,"In Jungs Lesart beginnt hier","nicht mehr so sauber kontrollieren laesst.","In Jungs Lesart beginnt hier die Begegnung mit einem Bereich, der sich nicht mehr so sauber kontrollieren laesst.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C020,S3,Die unteren Stockwerke,150.3,158.3,"Wasser wird zur passenden Metapher","nicht mehr auf festem Boden.","Wasser wird zur passenden Metapher fuer das Unbewusste: Man kann hineinsteigen, aber man steht nicht mehr auf festem Boden.",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG15,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C021,S3,Die unteren Stockwerke,158.3,166.3,"Danach Manipura, das Feuerzentrum. Jung","Hitze, in der wir nicht","Danach Manipura, das Feuerzentrum. Jung verbindet es mit Leidenschaft, Affekt, Begehren und jener inneren Hitze, in der wir nicht",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C022,S3,Die unteren Stockwerke,166.3,174.3,"nur etwas fuehlen, sondern vom","Ein Konflikt beginnt vielleicht mit","nur etwas fuehlen, sondern vom Gefuehl ergriffen werden. Man kann das sehr alltaeglich lesen. Ein Konflikt beginnt vielleicht mit",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG16,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C023,S3,Die unteren Stockwerke,174.3,182.3,"einer sachlichen Bedrohung: Arbeitsplatz, Geld,","nicht mehr um die Sache.","einer sachlichen Bedrohung: Arbeitsplatz, Geld, Status. Wenige Sekunden spaeter geht es laengst nicht mehr um die Sache.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C024,S3,Die unteren Stockwerke,182.3,190.3,"Der Koerper ist angespannt, die","mischen sich hinein. Die Karte","Der Koerper ist angespannt, die Stimme wird lauter, alte Kraenkungen mischen sich hinein. Die Karte",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG17,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C025,S3,Die unteren Stockwerke,190.3,197.1,"beschreibt dann keinen magischen Energiefluss.","einen Wechsel des psychischen Modus.","beschreibt dann keinen magischen Energiefluss. Sie beschreibt einen Wechsel des psychischen Modus.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C026,S4,Der Moment in dem alles still wird,197.1,205.1,"Fuer Jung liegt der entscheidende","In den unteren Stufen ist","Fuer Jung liegt der entscheidende Sprung zwischen Manipura und Anahata, dem Herz- oder Luftzentrum. In den unteren Stufen ist",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C027,S4,Der Moment in dem alles still wird,205.1,213.1,"der Mensch stark mit seinem","bin verletzt. Ich muss gewinnen.","der Mensch stark mit seinem Erleben identifiziert. Ich bin wuetend. Ich bin verletzt. Ich muss gewinnen.",AI_RECON,"psychological transition from emotional fire to observing awareness, heart and air as metaphors, elegant conceptual documentary illustration",,IMG18,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C028,S4,Der Moment in dem alles still wird,213.1,221.1,"In Anahata erscheint etwas Neues:","ohne mit ihm vollstaendig zusammenzufallen.","In Anahata erscheint etwas Neues: die Moeglichkeit, das eigene Erleben zu beobachten, ohne mit ihm vollstaendig zusammenzufallen.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C029,S4,Der Moment in dem alles still wird,221.1,229.1,"Das klingt unspektakulaer, ist psychologisch","der Handlung entsteht ein Abstand.","Das klingt unspektakulaer, ist psychologisch aber enorm. Zwischen dem Impuls und der Handlung entsteht ein Abstand.",AI_RECON,"psychological transition from emotional fire to observing awareness, heart and air as metaphors, elegant conceptual documentary illustration",,IMG19,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C030,S4,Der Moment in dem alles still wird,229.1,237.1,"Du bemerkst: Da ist Wut.","allein die Formulierung veraendert etwas.","Du bemerkst: Da ist Wut. Da ist Angst. Da ist Eifersucht. Und allein die Formulierung veraendert etwas.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C031,S4,Der Moment in dem alles still wird,237.1,245.1,"Aus Ich bin diese Emotion","einen Aufstieg von Feuer zu","Aus Ich bin diese Emotion wird Ich habe diese Emotion. Jungs Symbolsprache macht daraus einen Aufstieg von Feuer zu",AI_RECON,"psychological transition from emotional fire to observing awareness, heart and air as metaphors, elegant conceptual documentary illustration",,IMG20,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C032,S4,Der Moment in dem alles still wird,245.1,253.1,"Luft - vom Brennen zum","die den Affekt sehen kann.","Luft - vom Brennen zum Atmen, vom unmittelbaren Affekt zu einer Position, die den Affekt sehen kann.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C033,S4,Der Moment in dem alles still wird,253.1,261.1,"Genau hier wird die alte","beweisen muss, dass im Brustkorb","Genau hier wird die alte Karte fuer einen modernen Zuschauer interessant. Nicht weil man beweisen muss, dass im Brustkorb",AI_RECON,"psychological transition from emotional fire to observing awareness, heart and air as metaphors, elegant conceptual documentary illustration",,IMG21,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C034,S4,Der Moment in dem alles still wird,261.1,269.1,"ein unsichtbares Rad rotiert. Sondern","darauf beruhen, zwischen einem inneren","ein unsichtbares Rad rotiert. Sondern weil viele psychologische Verfahren ebenfalls darauf beruhen, zwischen einem inneren",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C035,S4,Der Moment in dem alles still wird,269.1,274.1,"Zustand und dem beobachtenden Bewusstsein","dem beobachtenden Bewusstsein zu unterscheiden.","Zustand und dem beobachtenden Bewusstsein zu unterscheiden.",AI_RECON,"psychological transition from emotional fire to observing awareness, heart and air as metaphors, elegant conceptual documentary illustration",,IMG22,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C036,S5,Die Reise nach oben,274.1,282.1,"Oberhalb von Anahata wird Jungs","in der psychische Tatsachen nicht","Oberhalb von Anahata wird Jungs Deutung immer abstrakter. Vishuddha verbindet er mit einer Sphaere, in der psychische Tatsachen nicht",AI_RECON,"increasing abstraction of psyche, geometric symbols, clean diagrammatic space, contemplative and intellectually serious",,IMG23,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C037,S5,Die Reise nach oben,282.1,290.1,"mehr automatisch als direkte Folgen","Was hat der andere mit","mehr automatisch als direkte Folgen aeusserer Ereignisse verstanden werden. Die Frage verschiebt sich von Was hat der andere mit",ORIGINAL_ASSET,Use original asset B_AJNA_1918 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_AJNA_1918,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C038,S5,Die Reise nach oben,290.1,298.1,"mir gemacht zu Was geschieht","ist keine Entschuldigung fuer reales","mir gemacht zu Was geschieht in mir, wenn ich auf den anderen reagiere? Das ist keine Entschuldigung fuer reales",AI_RECON,"increasing abstraction of psyche, geometric symbols, clean diagrammatic space, contemplative and intellectually serious",,IMG24,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C039,S5,Die Reise nach oben,298.1,306.1,"Unrecht. Es ist eine Verschiebung","In Jungs Darstellung wird die","Unrecht. Es ist eine Verschiebung des psychologischen Blickwinkels. Ajna treibt diese Bewegung noch weiter. In Jungs Darstellung wird die",ORIGINAL_ASSET,Use original asset B_AJNA_1918 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_AJNA_1918,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C040,S5,Die Reise nach oben,306.1,314.1,"Psyche hier nicht mehr nur","sich zunehmend als Teil eines","Psyche hier nicht mehr nur als etwas erlebt, das wir besitzen. Der Mensch erlebt sich zunehmend als Teil eines",AI_RECON,"increasing abstraction of psyche, geometric symbols, clean diagrammatic space, contemplative and intellectually serious",,IMG25,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C041,S5,Die Reise nach oben,314.1,322.1,"groesseren psychischen Zusammenhangs. Genau an","und fuer viele Leser spekulativ.","groesseren psychischen Zusammenhangs. Genau an dieser Stelle wird die Sprache schwer, religioes und fuer viele Leser spekulativ.",ORIGINAL_ASSET,Use original asset B_AJNA_1918 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_AJNA_1918,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C042,S5,Die Reise nach oben,322.1,330.1,"Und Sahasrara behandelte Jung letztlich","Das ist wichtig, weil Jung","Und Sahasrara behandelte Jung letztlich als etwas, das sich einer normalen psychologischen Beschreibung entzieht. Das ist wichtig, weil Jung",AI_RECON,"increasing abstraction of psyche, geometric symbols, clean diagrammatic space, contemplative and intellectually serious",,IMG26,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C043,S5,Die Reise nach oben,330.1,338.1,"selbst an der Grenze seiner","kein Messgeraet fuer Ajna. Er","selbst an der Grenze seiner Karte angekommen ist. Er hatte kein Messgeraet fuer Ajna. Er",ORIGINAL_ASSET,Use original asset B_AJNA_1918 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_AJNA_1918,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C044,S5,Die Reise nach oben,338.1,343.1,"hatte keinen biologischen Nachweis fuer","mit Bildern und psychischer Bedeutung.","hatte keinen biologischen Nachweis fuer Sahasrara. Er arbeitete mit Bildern und psychischer Bedeutung.",AI_RECON,"increasing abstraction of psyche, geometric symbols, clean diagrammatic space, contemplative and intellectually serious",,IMG27,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C045,S6,Der Selbsttest,343.1,351.1,"Man kann Jungs Karte deshalb","Situation, die dich stark trifft.","Man kann Jungs Karte deshalb benutzen, ohne sie fuer Anatomie zu halten. Nimm eine Situation, die dich stark trifft.",AI_RECON,"modern everyday self-observation scene, adult in conflict pausing before reaction, non-therapeutic educational illustration",,IMG28,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C046,S6,Der Selbsttest,351.1,359.1,"Die erste Frage lautet: Was","Status? Dann: Welche Emotion uebernimmt?","Die erste Frage lautet: Was ist konkret bedroht? Sicherheit, Geld, Zugehoerigkeit, Status? Dann: Welche Emotion uebernimmt?",AI_RECON,"modern everyday self-observation scene, adult in conflict pausing before reaction, non-therapeutic educational illustration",,IMG29,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
