order,kind,filename,prompt_source,generation_method,redesigned,bed_or_bedroom,technical_status,visual_status,width,height,mean_luminance,recommended_use
19,MAIN,IMG014_INCUBUS_PRESSURE.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,VERTEX_GEMINI_3_PRO_IMAGE_2K,False,True,PASS,PASS,2560,1440,53.58,MAIN_SEQUENCE_POOL
20,MAIN,IMG015_VESTIBULAR_FLOAT.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,74.32,MAIN_SEQUENCE_POOL
21,MAIN,IMG016_THREE_FAMILIES_TRIPTYCH_BASE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,62.38,MAIN_SEQUENCE_POOL
22,RESERVE,SHOT03_REM_VS_SLOW_WAVE_SOURCE_TABLE.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,DETERMINISTIC_SOURCE_LOCKED_COMPOSITE,False,False,PASS,PASS,2560,1440,86.45,RESERVE_INSERT
23,RESERVE,SHOT04_EMPTY_BEDROOM_SHADOWS.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,63.43,RESERVE_INSERT
24,MAIN,IMG017_SLEEP_LAB_WIDE_RECON.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,VERTEX_GEMINI_3_PRO_IMAGE_2K,False,True,PASS,PASS,2560,1440,66.45,MAIN_SEQUENCE_POOL
25,MAIN,IMG018_SLEEP_INTERRUPTION_CLOCK.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,68.1,MAIN_SEQUENCE_POOL
26,MAIN,IMG019_RETURN_TO_BED_RECON.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,63.46,MAIN_SEQUENCE_POOL
27,MAIN,IMG020_EEG_AWAKE_BODY_STILL_BASE.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,VERTEX_GEMINI_3_PRO_IMAGE_2K,False,True,PASS,PASS,2560,1440,81.13,MAIN_SEQUENCE_POOL
28,MAIN,IMG021_LAB_HALLUCINATION_AMBIGUOUS.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,BUILTIN_IMAGEGEN_UPSCALED_2K,False,True,PASS,PASS,2560,1440,65.27,MAIN_SEQUENCE_POOL
29,MAIN,IMG022_VIEWER_BEDROOM_TWO_STEPS.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,VERTEX_GEMINI_3_PRO_IMAGE_2K,False,True,PASS,PASS,2560,1440,72.97,MAIN_SEQUENCE_POOL
30,MAIN,IMG023_BODY_OR_VISITOR_SPLIT_BASE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,57.99,MAIN_SEQUENCE_POOL
31,MAIN,IMG024_EYE_CORNER_FORM.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,62.75,MAIN_SEQUENCE_POOL
32,RESERVE,SHOT05_LAB_SENSOR_MACRO.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,BUILTIN_IMAGEGEN_UPSCALED_2K,False,False,PASS,PASS,2560,1440,106.25,RESERVE_INSERT
33,RESERVE,SHOT06_CTA_EMPTY_ROOM.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,117.39,RESERVE_INSERT
34,MAIN,IMG025_ALARM_WITHOUT_CAUSE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,150.36,MAIN_SEQUENCE_POOL
35,MAIN,IMG026_SOUND_BECOMES_STEP.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,BUILTIN_IMAGEGEN_UPSCALED_2K,False,True,PASS,PASS,2560,1440,57.96,MAIN_SEQUENCE_POOL
36,MAIN,IMG027_SHADOW_BECOMES_SHOULDER.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,85.66,MAIN_SEQUENCE_POOL
37,MAIN,IMG028_PRESENCE_BEFORE_FORM.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,121.97,MAIN_SEQUENCE_POOL
38,MAIN,IMG029_OBSERVING_INTELLIGENCE_AMBIGUOUS.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,62.9,MAIN_SEQUENCE_POOL
39,MAIN,IMG030_HUFFORD_RETURN_WITHOUT_PORTRAIT.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,BUILTIN_IMAGEGEN_UPSCALED_2K,False,False,PASS,PASS,2560,1440,46.07,MAIN_SEQUENCE_POOL
40,MAIN,IMG031_NAMES_OVER_SAME_ROOM_BASE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,69.39,MAIN_SEQUENCE_POOL
41,MAIN,IMG032_BEDROOM_TO_COURT_HANDOFF.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,90.96,MAIN_SEQUENCE_POOL
42,RESERVE,SHOT07_EMPTY_CORNER_AFTER_PRESENCE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,158.56,RESERVE_INSERT
43,RESERVE,SHOT08_DAWN_AFTER_PARALYSIS.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,BUILTIN_IMAGEGEN_UPSCALED_2K,False,True,PASS,PASS,2560,1440,73.4,RESERVE_INSERT
