shot_id,take_id,act,take_start_est,take_end_est,visual_start_est,visual_end_est,semantic_anchor,asset_id,asset_class,asset_path_or_plan,asset_status,motion_policy,sfx_cue,music_atmo,edit_note
A011,EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,00:00:17.650,00:00:43.550,00:00:30.600,00:00:34.917,Gewicht auf der Brust,IMG005,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG005_CHEST_PRESSURE_CLOSE.png,READY,STATIC_HOLD,BREATH_BODY_LOW,MX_LOW_0.90+MX_NOISE_ROOM,
A012,EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,00:00:17.650,00:00:43.550,00:00:34.917,00:00:39.233,kein Ton,IMG035,PLANNED_GENERATED_STILL,PLANNED/IMG035_VOICE_WITHOUT_SOUND.png,MISSING_TO_CREATE_OR_LICENSE,GENTLE_PUSH_MAX_1.025_EASED,ROOMTONE_DROP,MX_LOW_0.90+MX_NOISE_ROOM,
A013,EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,00:00:17.650,00:00:43.550,00:00:39.233,00:00:43.550,Da ist etwas,IMG006,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG006_MALEVOLENT_PRESENCE_NEGATIVE_SPACE.png,READY,STATIC_HOLD,LOW_AIR_TEXTURE,MX_LOW_0.90+MX_NOISE_ROOM,
A014,EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,00:00:43.800,00:01:09.200,00:00:43.800,00:00:48.033,spätere Arbeit,IMG030,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG030_HUFFORD_RETURN_WITHOUT_PORTRAIT.png,READY,GENTLE_PUSH_MAX_1.025_EASED,PENCIL_NOTE,MX_LOW_0.90+MX_NOISE_ROOM,
A015,EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,00:00:43.800,00:01:09.200,00:00:48.033,00:00:52.267,keine Vorbekanntschaft,IMG036,PLANNED_GENERATED_STILL,PLANNED/IMG036_HUFFORD_FIELD_NOTES.png,MISSING_TO_CREATE_OR_LICENSE,STATIC_HOLD,PAPER_NOTE,MX_LOW_0.90+MX_NOISE_ROOM,
A016,EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,00:00:43.800,00:01:09.200,00:00:52.267,00:00:56.500,Jahre später / Neufundland,IMG007,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG007_FOGO_PLACE_ANCHOR_RECON.png,READY,GENTLE_PUSH_MAX_1.025_EASED,COAST_WIND_LOW,MX_LOW_0.90+MX_NOISE_ROOM,
A017,EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,00:00:43.800,00:01:09.200,00:00:56.500,00:01:00.733,Ort wird konkret,ORIG_FOGO_VILLAGE,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,READY,CONTAIN_STATIC_NO_CROP,COAST_WIND_LOW,MX_LOW_0.90+MX_NOISE_ROOM,Original · PD
A018,EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,00:00:43.800,00:01:09.200,00:01:00.733,00:01:04.967,Muster auf der Karte,SHOT02,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT02_FOGO_MAP_TABLE.png,READY,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.90+MX_NOISE_ROOM,
A019,EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,00:00:43.800,00:01:09.200,00:01:04.967,00:01:09.200,offene Frage / Erzählmuster,IMG031,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG031_NAMES_OVER_SAME_ROOM_BASE.png,READY,GENTLE_PUSH_MAX_1.025_EASED,MUSIC_PULSE_SOFT,MX_LOW_0.90+MX_NOISE_ROOM,
A020,EP06_TAKE_004_FOGO_ISLAND,S2,00:01:09.450,00:01:35.350,00:01:09.450,00:01:13.767,Neufundland / Fogo,ORIG_FOGO_VILLAGE,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,READY,CONTAIN_STATIC_NO_CROP,COAST_WIND_LOW,MX_LOW_0.72+MX_HARMONIC_COAST,Original · PD
A021,EP06_TAKE_004_FOGO_ISLAND,S2,00:01:09.450,00:01:35.350,00:01:13.767,00:01:18.083,Fogo Island,IMG007,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG007_FOGO_PLACE_ANCHOR_RECON.png,READY,GENTLE_PUSH_MAX_1.025_EASED,HARBOR_WIND_LOW,MX_LOW_0.72+MX_HARMONIC_COAST,
A022,EP06_TAKE_004_FOGO_ISLAND,S2,00:01:09.450,00:01:35.350,00:01:18.083,00:01:22.400,Inselkontext,ORIG_FOGO_CHART_1873,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,READY,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,Originalkarte 1873 · PD
A023,EP06_TAKE_004_FOGO_ISLAND,S2,00:01:09.450,00:01:35.350,00:01:22.400,00:01:26.717,lokale Verortung,SHOT09,PLANNED_GENERATED_DERIVATIVE,PLANNED/SHOT09_LOKALE_VERORTUNG.png,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,
A024,EP06_TAKE_004_FOGO_ISLAND,S2,00:01:09.450,00:01:35.350,00:01:26.717,00:01:31.033,Fogo Island–Cape Freels,ORIG_FOGO_DISTRICT_MAP,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Fogo_Island_Cape_Freels_map.svg,READY,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,YELLOW · Attribution/SA prüfen
A025,EP06_TAKE_004_FOGO_ISLAND,S2,00:01:09.450,00:01:35.350,00:01:31.033,00:01:35.350,to have the Old Hag,SHOT04,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT04_EMPTY_BEDROOM_SHADOWS.png,READY,STATIC_HOLD,TAPE_RECORDER_ROOM,MX_LOW_0.72+MX_HARMONIC_COAST,
A026,EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,00:01:35.600,00:02:01.000,00:01:35.600,00:01:39.833,vertrautes Zimmer,IMG008,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG008_OLD_HAG_BEDROOM_PATTERN.png,READY,GENTLE_PUSH_MAX_1.025_EASED,ROOMTONE_COAST_HOUSE,MX_LOW_0.72+MX_HARMONIC_COAST,
A027,EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,00:01:35.600,00:02:01.000,00:01:39.833,00:01:44.067,Erzählungen gesammelt,ORIG025,PLANNED_ORIGINAL_ASSET,PLANNED/ORIG025_ORAL_HISTORY_RECORDER.jpg,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,TAPE_CLICK_SINGLE,MX_LOW_0.72+MX_HARMONIC_COAST,
A028,EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,00:01:35.600,00:02:01.000,00:01:44.067,00:01:48.300,Hufford sammelt Berichte,IMG030,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG030_HUFFORD_RETURN_WITHOUT_PORTRAIT.png,READY,GENTLE_PUSH_MAX_1.025_EASED,PENCIL_NOTE,MX_LOW_0.72+MX_HARMONIC_COAST,
A029,EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,00:01:35.600,00:02:01.000,00:01:48.300,00:01:52.533,experience-centered approach,CARD005,CARD,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD005_FOGO_FELDFORSCHUNG.png,READY,STATIC_NO_ZOOM_NO_PAN,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,
A030,EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,00:01:35.600,00:02:01.000,00:01:52.533,00:01:56.767,1963 → 1982,SHOT10,PLANNED_GENERATED_DERIVATIVE,PLANNED/SHOT10_1963_1982.png,MISSING_TO_CREATE_OR_LICENSE,STATIC_HOLD,PAPER_TURN_SOFT,MX_LOW_0.72+MX_HARMONIC_COAST,
A031,EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,00:01:35.600,00:02:01.000,00:01:56.767,00:02:01.000,Buch / Überlieferung,IMG031,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG031_NAMES_OVER_SAME_ROOM_BASE.png,READY,STATIC_HOLD,TAPE_HISS_LOW,MX_LOW_0.72+MX_HARMONIC_COAST,
A032,EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,00:02:01.250,00:02:26.250,00:02:01.250,00:02:05.417,Was kommt zuerst?,IMG037,PLANNED_GENERATED_STILL,PLANNED/IMG037_CULTURE_EXPERIENCE_FORK.png,MISSING_TO_CREATE_OR_LICENSE,GENTLE_PUSH_MAX_1.025_EASED,MUSIC_HARMONIC_OPEN,MX_LOW_0.72+MX_HARMONIC_COAST,
A033,EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,00:02:01.250,00:02:26.250,00:02:05.417,00:02:09.583,Übergang zum Körper,IMG009,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG009_REM_BODY_STILL.png,READY,GENTLE_PUSH_MAX_1.025_EASED,LOW_BODY_TONE,MX_LOW_0.72+MX_HARMONIC_COAST,
A034,EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,00:02:01.250,00:02:26.250,00:02:09.583,00:02:13.750,REM-Atonie ankündigen,ORIG017,PLANNED_ORIGINAL_ASSET,PLANNED/ORIG017_BRAINSTEM_ANATOMY.png,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,
A035,EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,00:02:01.250,00:02:26.250,00:02:13.750,00:02:17.917,Schlaf als Rhythmus,ORIG019,PLANNED_ORIGINAL_ASSET,PLANNED/ORIG019_CIRCADIAN_RHYTHM_NIH.jpg,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,Original · NIH/PD
A036,EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,00:02:01.250,00:02:26.250,00:02:17.917,00:02:22.083,REM-Phase,ORIG018,PLANNED_ORIGINAL_ASSET,PLANNED/ORIG018_SLEEP_CYCLE_HYPNOGRAM.svg,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,EEG_TICK_SUBTLE,MX_LOW_0.72+MX_HARMONIC_COAST,
A037,EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,00:02:01.250,00:02:26.250,00:02:22.083,00:02:26.250,Schlafarchitektur,ORIG023,PLANNED_ORIGINAL_ASSET,PLANNED/ORIG023_SLEEP_DEPRIVATION.svg,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.72+MX_HARMONIC_COAST,
A038,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:26.500,00:02:29.629,REM-Schlaf,ORIG_REM_PSG,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_REM_Polysomnography_30sec.png,READY,CONTAIN_STATIC_NO_CROP,EEG_TICK_SUBTLE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,Original · PD
A039,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:29.629,00:02:32.757,REM-Aufzeichnung,IMG010,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG010_REM_RECORD_EDIT_BASE.png,READY,CONTAIN_STATIC_NO_CROP,EEG_TICK_SUBTLE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A040,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:32.757,00:02:35.886,Kontrast Tiefschlaf,ORIG_SLOW_WAVE_PSG,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Slow_Wave_Sleep_PSG.jpg,READY,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,Original · PD
A041,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:35.886,00:02:39.014,Schlafphasen,ORIG_SLEEP_PHASES,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Simplified_Sleep_Phases.jpg,READY,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,YELLOW · Attribution/SA prüfen
A042,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:39.014,00:02:42.143,REM versus Slow Wave,SHOT03,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT03_REM_VS_SLOW_WAVE_SOURCE_TABLE.png,READY,CONTAIN_STATIC_NO_CROP,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A043,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:42.143,00:02:45.271,Hirnstamm / Hemmung,SHOT11,PLANNED_EDITORIAL_DERIVATIVE,PLANNED/SHOT11_HIRNSTAMM_HEMMUNG.png,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,LOW_NEURAL_TICK,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A044,EP06_TAKE_007_REM_ATONIE,S3,00:02:26.500,00:02:48.400,00:02:45.271,00:02:48.400,REM-Atonie,CARD001,CARD,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD001_REM_ATONIE.png,READY,STATIC_NO_ZOOM_NO_PAN,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A045,EP06_TAKE_008_DER_TIMINGFEHLER,S3,00:02:48.650,00:03:11.450,00:02:48.650,00:02:52.450,Timing gerät auseinander,IMG011,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG011_WAKE_BODY_LAG.png,READY,STATIC_HOLD,MUSIC_LAYER_SPLIT,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A046,EP06_TAKE_008_DER_TIMINGFEHLER,S3,00:02:48.650,00:03:11.450,00:02:52.450,00:02:56.250,Wachheit / Körper versetzt,CLIP001,VEO_CLIP,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP001_SOUL_BODY_OFFSET.mp4,READY,NATIVE_MOTION_NO_RETIME_NO_EXTRA_CAMERA,SOFT_PHASE_SHIFT,MX_LOW_0.60+MX_HARMONIC_SCIENCE,subjektive Timing-Visualisierung
A047,EP06_TAKE_008_DER_TIMINGFEHLER,S3,00:02:48.650,00:03:11.450,00:02:56.250,00:03:00.050,Befehl im Arm,IMG003,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG003_HAND_WILL_NOT_MOVE.png,READY,GENTLE_PUSH_MAX_1.025_EASED,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A048,EP06_TAKE_008_DER_TIMINGFEHLER,S3,00:02:48.650,00:03:11.450,00:03:00.050,00:03:03.850,Signal trifft auf Hemmung,CLIP002,VEO_CLIP,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP002_REM_SIGNAL_GATE.mp4,READY,NATIVE_MOTION_NO_RETIME_NO_EXTRA_CAMERA,EEG_TICK_SUBTLE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,wissenschaftliche Metapher
A049,EP06_TAKE_008_DER_TIMINGFEHLER,S3,00:02:48.650,00:03:11.450,00:03:03.850,00:03:07.650,Arm reagiert nicht,IMG012,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG012_ARM_COMMAND_NO_RESPONSE.png,READY,STATIC_HOLD,FABRIC_HAND_MICRO,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A050,EP06_TAKE_008_DER_TIMINGFEHLER,S3,00:02:48.650,00:03:11.450,00:03:07.650,00:03:11.450,Wach + REM-Atonie,CARD009,PLANNED_CARD,PLANNED/CARD009_WAKE_REM_OVERLAP.png,MISSING_TO_CREATE_OR_LICENSE,STATIC_NO_ZOOM_NO_PAN,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A051,EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,00:03:11.700,00:03:35.800,00:03:11.700,00:03:15.717,Brustkorb,IMG005,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG005_CHEST_PRESSURE_CLOSE.png,READY,STATIC_HOLD,BREATH_BODY_LOW,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A052,EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,00:03:11.700,00:03:35.800,00:03:15.717,00:03:19.733,Atmung fühlt sich fremd an,IMG038,PLANNED_GENERATED_STILL,PLANNED/IMG038_BREATH_INTEROCEPTION.png,MISSING_TO_CREATE_OR_LICENSE,GENTLE_PUSH_MAX_1.025_EASED,BREATH_BODY_LOW,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A053,EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,00:03:11.700,00:03:35.800,00:03:19.733,00:03:23.750,Druck / Incubus-Symptom,IMG014,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG014_INCUBUS_PRESSURE.png,READY,STATIC_HOLD,FABRIC_PRESSURE_SOFT,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A054,EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,00:03:11.700,00:03:35.800,00:03:23.750,00:03:27.767,medizinischer Rahmen,ORIG_NHLBI_SLEEP_STUDIES,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,READY,CONTAIN_STATIC_NO_CROP,LAB_ROOMTONE_LOW,MX_LOW_0.60+MX_HARMONIC_SCIENCE,Original · NHLBI/PD
A055,EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,00:03:11.700,00:03:35.800,00:03:27.767,00:03:31.783,Sensorik,ORIG_SENSOR_CONNECTIONS,ORIGINAL_ASSET,IMAGE_GENERATION_KIT/02_ASSETS/EP06_Polysomnography_sensor_connections.jpg,READY,CONTAIN_STATIC_NO_CROP,CABLE_TOUCH_SOFT,MX_LOW_0.60+MX_HARMONIC_SCIENCE,YELLOW · Attribution/SA prüfen
A056,EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,00:03:11.700,00:03:35.800,00:03:31.783,00:03:35.800,Körper versus Deutung,IMG023,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG023_BODY_OR_VISITOR_SPLIT_BASE.png,READY,STATIC_HOLD,MUSIC_QUESTION_LOW,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A057,EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,00:03:36.050,00:04:00.150,00:03:36.050,00:03:40.067,Schritte im Flur,IMG013,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG013_INTRUDER_DOORWAY.png,READY,GENTLE_PUSH_MAX_1.025_EASED,FOOTSTEP_SINGLE_FAR,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A058,EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,00:03:36.050,00:04:00.150,00:03:40.067,00:03:44.083,Anwesenheit,SHOT12,PLANNED_GENERATED_DERIVATIVE,PLANNED/SHOT12_ANWESENHEIT.png,MISSING_TO_CREATE_OR_LICENSE,STATIC_HOLD,LOW_AIR_TEXTURE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A059,EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,00:03:36.050,00:04:00.150,00:03:44.083,00:03:48.100,Form im Augenwinkel,IMG024,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG024_EYE_CORNER_FORM.png,READY,STATIC_HOLD,CURTAIN_RUSTLE_SOFT,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A060,EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,00:03:36.050,00:04:00.150,00:03:48.100,00:03:52.117,Präsenz vor Form,IMG028,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG028_PRESENCE_BEFORE_FORM.png,READY,STATIC_HOLD,ROOMTONE_WIDE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
A061,EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,00:03:36.050,00:04:00.150,00:03:52.117,00:03:56.133,Geometrie wird Gestalt,CLIP004,VEO_CLIP,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP004_PRESENCE_GEOMETRY.mp4,READY,NATIVE_MOTION_NO_RETIME_NO_EXTRA_CAMERA,FABRIC_AIR_SOFT,MX_LOW_0.60+MX_HARMONIC_SCIENCE,Wahrnehmungsvervollständigung
A062,EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,00:03:36.050,00:04:00.150,00:03:56.133,00:04:00.150,Frage nach Präsenz,IMG042,PLANNED_GENERATED_STILL,PLANNED/IMG042_AGENT_DETECTION_LAYERS.png,MISSING_TO_CREATE_OR_LICENSE,STATIC_HOLD,NONE,MX_LOW_0.60+MX_HARMONIC_SCIENCE,
