shot_id,asset,kind,rights,asset_sha256,voice_beat,start_tc,end_tc
SP2_014,GENERATED\IMG033_AWAKE_BRAIN_BODY_LOCK.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,46eebb1f4b56e78483eb4ec1ee5a98307e7f229e692cfd4f84f6611b96745a38,Look closely at Coman's sequence. He is awake in a familiar room. …,00:01:02.140,00:01:08.100
SP2_015,GENERATED\IMG006_SAME_MECHANIC_DIFFERENT_ROOMS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,31b0fc085e1a1aa5ec5733bb8801eb0bfb7df1649de866f9a9381cfef0559e46,A figure appears. His voice fails. His body will not answer. Pressure,00:01:08.100,00:01:13.220
SP2_016,GENERATED\IMG005_NIGHTMARE_MOTIF_ROOM_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,d6d4445b39ca3b053a830ae33f320ddbf0270621f5e1a2ff250aac75821cfb52,"settles across his chest. Today, the pattern is recognizable. But Salem had …",00:01:13.220,00:01:18.960
SP2_017,GENERATED\IMG026_SHARED_MECHANIC_RELIEF.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,71add17930eeb082296cd3779df86c6b6688a2baca71cdbdd530f51201fa43b0,of REM sleep or muscle atonia. It had another language ready: witchcraft.,00:01:18.960,00:01:24.440
SP2_018,GENERATED\IMG025_MANY_ORIGINS_ARCHIVE_TABLE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,20340e69af2b46e89a0f3007e4d5496488ee552556442ba03ba4acfe9fd8d972,"And Salem did not invent the pattern. In 1781, Henry Fuseli painted …",00:01:24.440,00:01:29.740
SP2_019,ORIGINAL\SRC_EP07_Fuseli_The_Nightmare_1781_full_painting.png,ORIGINAL_SOURCE,public domain project source,1a6ba2d20d80409e61284f4f3cace8b6c3bc8ee2c919dffda183708871df3e1b,Nightmare. A woman lies thrown back across a bed. A squat figure …,00:01:29.740,00:01:35.080
SP2_020,ORIGINAL\SRC_EP07_Fuseli_The_Nightmare_1781_woman_detail.png,ORIGINAL_SOURCE,public domain project source,011404af13350227feaeba7d3bce479338202b287bf81822369fd6e688281310,"chest. From behind a curtain, a horse stares into the room with …",00:01:35.080,00:01:41.191
SP2_021,ORIGINAL\SRC_EP07_Fuseli_The_Nightmare_1781_incubus_detail.png,ORIGINAL_SOURCE,public domain project source,0a7662cf10a751138219d05bff0c33cc7b1f32e699eec22fc8da21537a3e1e44,"The painting became famous not because it explained the night, but because …",00:01:41.191,00:01:46.040
SP2_022,ORIGINAL\SRC_EP07_Fuseli_The_Nightmare_1781_horse_detail.png,ORIGINAL_SOURCE,public domain project source,86f25b40ac801996fb227853989d5edc2d3bdc6d4aba0de243975d726ec3c75e,"body. Across Europe, the nightmare was once more than a bad dream. …",00:01:46.040,00:01:52.100
SP2_023,GENERATED\IMG024_NIGHTMARE_PRINT_WORKSHOP.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,a44bf6ecfe338f67e4202c1e46470c028d7d375a94e05fea0db24b0d77dc564a,"carried weight: the mare, or mara, a visitor that rides or presses …",00:01:52.100,00:01:58.200
SP2_024,CLIPS\CLIP002_NIGHTMARE_PRESSURE.mp4,GENERATED_CLIP,internally generated for German EP07; approved main version,f097a6c1dda83a4082f1084aa99b9e77954148bf33ea722d5428ff41b3b4eb3c,"Christian Europe imagined the incubus. In Japan, people spoke of",00:01:58.200,00:02:02.420
SP2_025,GENERATED\IMG007_MARA_INCUBUS_KANASHIBARI_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,1ed945d78c97d3303f61cd3025acfce9e7f2dcf8dda4c8a7dbc1bbee7e1d96e9,"kanashibari—being bound as if by metal. In Newfoundland, the visitor became the …",00:02:02.420,00:02:09.160
SP2_026,ORIGINAL\SRC_EP07_Jinn_from_Ali_manuscript_full_manuscript.png,ORIGINAL_SOURCE,public domain project source,b9595a2acd73075a15fd344847d8d3e7bafb38fa2c6d8e5af50da68436eb1fcf,"Other traditions gave pressure, paralysis and nocturnal presence their own agents and",00:02:09.160,00:02:13.940
SP2_027,ORIGINAL\SRC_EP07_Kunisada_The_Ghost_full_print.png,ORIGINAL_SOURCE,public domain project source,c8f49fbe2cc3bce3994bed9c155671fa56e8fe5a7fcc31e54fc11b2138e64b06,names. These figures do not form one clean family tree. No single …,00:02:13.940,00:02:19.880
SP2_028,GENERATED\IMG027_KANASHIBARI_THRESHOLD.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,c7f3eb9d43977111e30d24e984247bd583fb08d35649bc60ed3daf81997cabf4,followed from one language to the next. What repeats is more basic. …,00:02:19.880,00:02:25.260
SP2_029,GENERATED\IMG028_NEWFOUNDLAND_ORAL_HISTORY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,280550967480a48a9a14c2bae98f5d1b7cd2510475f8c9486895019800e00148,known. The body is trapped. Something approaches. Pressure gains intention.,00:02:25.260,00:02:30.940
SP2_030,ORIGINAL\SRC_EP07_Abildgaard_Nightmare_1800_full_painting.png,ORIGINAL_SOURCE,public domain project source,8269a500062a63e59648c9b704080b830c988b38aa72b292e2ed0900d29d26b7,Perhaps the story begins because the body produces an experience that demands …,00:02:30.940,00:02:35.540
SP2_031,ORIGINAL\SRC_EP07_Queen_of_the_Night_Burney_Relief_full_object.png,ORIGINAL_SOURCE,CC0/PD project source,f43203cec6ba0208a8c07cfe202870c78c91914578b3c4a48488d5be621a8e9d,"cause. But once a culture has supplied that cause, the next person …",00:02:35.540,00:02:40.960
SP2_032,GENERATED\IMG008_BURNEY_RELIEF_SOURCE_ROOM.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,3f07a300ac9b4922ae05c1c83f7e6f1679f7db5ed662d7b1367dca9f4060adfc,"night empty-handed. In early modern Europe, a nocturnal attack belonged to a …",00:02:40.960,00:02:46.240
SP2_033,GENERATED\IMG009_MEDIEVAL_BEDROOM_EXPLANATION.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,642fca928b76deb4c96ba06a3c1fc844673297106a20e5ca7eb15f09a8e4031a,"of sin, spirits, curses and divine protection. If the cause was an",00:02:46.240,00:02:50.980
SP2_034,GENERATED\IMG029_HOUSEHOLD_EXPLANATION_CHOICES.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,38b2623ac2291d8eaaca1147b2e7cb3fce0800c1a6908e06868e5afcdb4fb471,"acting being, the response had to be an action: prayer, a cross, …",00:02:50.980,00:02:56.000
SP2_035,GENERATED\IMG030_RITUAL_AS_PRACTICAL_RESPONSE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,7f54bd383e7ca9b2ee6d32b08ed3d7244b49ed0aae1b10bcae4ea6461638a36f,"water, a household object placed near the bed. From the outside, these …",00:02:56.000,00:03:01.340
SP2_036,GENERATED\IMG010_RITUAL_RESPONSE_TABLE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,1142fa4029be10970a5e48d2c5c259745b865d928e986c32ba5d3ca63d5698a4,"look irrational. From inside that world, they are practical. If the ritual",00:03:01.340,00:03:06.460
SP2_037,ORIGINAL\SRC_EP07_Malleus_1494_Bull_Innocent_VIII_Wellcome_full_page.png,ORIGINAL_SOURCE,public domain project source,eeb12d46ce76810233779a0991305d8c095c3f1af4d4691aae0ede166600380f,"brings relief, the explanation feels confirmed. That is how the bedroom opens",00:03:06.460,00:03:11.440
SP2_038,ORIGINAL\SRC_EP07_Examination_of_a_Witch_Matteson_1853_full_painting_later_depiction.png,ORIGINAL_SOURCE,public domain project source,79bc2a123438e8bcb0b9d84103a34371c8813f321e496d9d915928682450d633,outward. An episode can support a family story. A religious order.,00:03:11.440,00:03:16.700
SP2_039,ORIGINAL\SRC_EP07_Trial_George_Jacobs_Salem_LOC_full_later_depiction.png,ORIGINAL_SOURCE,public domain project source,4813c0450e23402b57ad49759ac2d498d679e387d0df0001dc0cc25fea52abd1,"An accusation. In Salem, it could enter the machinery of a court.",00:03:16.700,00:03:21.500
SP2_040,GENERATED\IMG031_HUFFORD_FIELD_INTERVIEW.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,79a7e429dfaa6716f773ae3aa6da6ebd7eb508083e81f916713c0d4cea1db859,The simplest modern answer would be that people see the beings their …,00:03:21.500,00:03:26.140
SP2_041,CARDS\CARD_DAVID_HUFFORD_WORK.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,9403e5032f6b7931536f3bbcc88413ee2a21cf00b1f4e50b488a48a7a78c60b1,see. Then David Hufford creates a problem for that answer. Hufford studied …,00:03:26.140,00:03:31.560
SP2_042,GENERATED\IMG011_HUFFORD_FIELD_NOTES_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,9f15d3f6b1c9bda7cc9122bcd013f67e523fabaf763e0529e5627babe4e0b0ea,Old Hag tradition in Newfoundland. He also knew the experience personally.,00:03:31.560,00:03:36.530
SP2_043,GENERATED\IMG032_UNNAMED_FIRST_EPISODE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,d3af38ef5f78f4b16534e938becd1b950a9255ba3c18807dd6c7da351c35fae7,"What mattered most to his work, however, were people who described the …",00:03:36.530,00:03:41.500
SP2_044,GENERATED\IMG043_FIRST_EPISODE_BODY_TRACE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,32278d0a3f2b033851d3cc037378675b13f24a2d91f1fb55ad391fab9f38d32f,the local story that named it. Paralysis. Pressure. Presence,00:03:41.500,00:03:46.080
SP2_045,GENERATED\IMG012_EXPERIENCE_BEFORE_STORY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,aa591dbe649711d8fac39067525ff3d037c794b80401b3481bae8138c89ef451,first. The Old Hag later. Culture did not have to invent the …,00:03:46.080,00:03:51.160
SP2_046,CLIPS\CLIP001_CULTURAL_MASKS.mp4,GENERATED_CLIP,internally generated for German EP07; approved main version,df54ae77d493c2a03886616e3095cbbeb0bb6522d91256165199b41e289c213c,"event. A recurring human state could come first, and communities could build …",00:03:51.160,00:03:56.960
SP2_047,GENERATED\IMG013_BODY_TO_STORY_FLOW_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,62ce367de1781680a588c9e7eb7aff54f8d230535466ac3a72268bfe1080cd9d,around it. That helps explain why the same bodily structure can appear,00:03:56.960,00:04:01.640
SP2_048,GENERATED\IMG044_SAME_BODY_TWO_INTERPRETATIONS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,477e5fe5d1be14dc85f39305f428b404da3cb762a4047c593dedeb1e18aaf94e,in traditions with no simple line of descent. But it opens a …,00:04:01.640,00:04:06.900
SP2_049,GENERATED\IMG049_DECISION_LAYERS_HOLD.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,86bcfef5177212a442a363af6e974c43c57c7cc8a45763aa6f976ef0163f8489,"If culture does not have to create the first episode, what can …",00:04:06.900,00:04:11.640
SP2_050,GENERATED\IMG014_TWO_PEOPLE_SAME_BODY_DIFFERENT_MODEL.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,82a673354cecf577b95683b9d6f1d7fbfbc7b23142c654c695a440a562ff87e2,Imagine two people waking into the same paralysis. One knows the state …,00:04:11.640,00:04:17.519
SP2_051,GENERATED\IMG034_TWO_EXPECTATIONS_THRESHOLD.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,77f74778f4a35a3f947ebb0c3d108e75fdb0e4a615ebf6e0ad22576685adbab6,heard since childhood that this is the moment a real being attacks—and …,00:04:17.519,00:04:23.020
SP2_052,GENERATED\IMG015_EXPERIENCE_CULTURE_DECISION_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,7d826ff82ce707e0de8ad64dd597566ae5b1a6c230ce1fe4000241d3ce65e03d,grasp. The body may begin in the same place. Does the night …,00:04:23.020,00:04:29.340
SP2_053,CARDS\CARD_JALAL_HINTON_PAPER.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,1c7810b94b336ceda82076dac03b56c17d623f8e83ecbf87cdcc80228b1aba72,A research team led by Baland Jalal and Devon Hinton compared reports …,00:04:29.340,00:04:34.600
SP2_054,GENERATED\IMG035_EGYPT_INTERVIEW_CONTEXT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,d98808486c0bcb605ac7657d155198df9602476bc11091233fa57ab710f60c24,"Denmark. Sleep paralysis appeared in both settings, but its meaning did not …",00:04:34.600,00:04:40.740
SP2_055,MAPS\ORIG_ORIG_EGYPT_MAP_PD_full_map.png,VIEWER_MAP,public-domain location map rebuild,12a24ccb22ceb04573fee9c2ce45078149318c3c9676f422f58aa469169a0fca,"form. In the Egyptian sample, supernatural explanations—especially jinn—were far",00:04:40.740,00:04:46.660
SP2_056,CARDS\CARD_STUDY_SCOPE.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,c78c6cfd17db77412d2181b58d65474422785ecd4bdd05b6454c8b92593e1a18,"more common. In the Danish sample, physiological explanations were more common. These …",00:04:46.660,00:04:52.400
SP2_057,GENERATED\IMG036_DENMARK_INTERVIEW_CONTEXT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,9a682a8358e4826aa7c648d29196d487b8526f9b78f83912f9422017aace42b1,"specific samples, not portraits of two entire countries. Yet the difference inside …",00:04:52.400,00:04:58.200
SP2_058,MAPS\ORIG_ORIG_DENMARK_MAP_PD_full_map.png,VIEWER_MAP,public-domain location map rebuild,e97cd9f8de91b055a9077e78624830a73481da17275cece4077b45d5bb360898,"striking. Egyptian participants in the studies reported more lifetime episodes, longer",00:04:58.200,00:05:03.980
SP2_059,CARDS\CARD_STUDY_RESULTS.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,b613c48b248e4121a297c787042657225e061489895b7f6d59d12a2a09a9791f,immobility and greater fear of dying during an attack. Within the Egyptian …,00:05:03.980,00:05:09.780
SP2_060,CARDS\CARD_STUDY_ASSOCIATION.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,8d57b93945e591332f649bda65c1aa268557c7e12b6082504cc326f5a4089af0,supernatural force caused the paralysis was associated with greater fear and longer …,00:05:09.780,00:05:15.780
SP2_061,ORIGINAL\SRC_EP07_REM_Polysomnography_30sec_full_trace.png,ORIGINAL_SOURCE,public domain project source,e48d5497a7b67a4241dc42a90fd4764b2352278bfda29d06f87d5be886ec2d8b,Association is not a one-way spell. The studies do,00:05:15.780,00:05:19.460
SP2_062,ORIGINAL\SRC_EP07_Sleep_Studies_NHLBI_Polysomnography_full_photo.png,ORIGINAL_SOURCE,NHLBI public domain,a32c3d6f1e3b7ecb798685d0a67c47b315dec3ec122522111f62f54cd6f25c30,not show that belief simply manufactures paralysis. They show,00:05:19.460,00:05:23.400
SP2_063,GENERATED\IMG045_EXPECTATION_ENTERS_BODY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,2ad5dc15d57e22111763e97736936c035e2c3fbf95874e6bfcb850e23641c5db,something more intimate: interpretation and bodily distress,00:05:23.400,00:05:27.260
SP2_064,GENERATED\IMG046_RAW_MATERIAL_TO_FORM.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,f6a685714beed66fcc128963bf332124850b44ba1f67f25a87f72cf95cfbfac2,can become entangled. Fear can fracture sleep.,00:05:27.260,00:05:30.860
SP2_065,CLIPS\CLIP004_FEEDBACK_ENTITY.mp4,GENERATED_CLIP,internally generated for German EP07; approved main version,464bdfa0374c6188032f81608d06088b8fc01329b9de336bcd20cc76ea5126e5,Fractured sleep can make another episode more likely. Another,00:05:30.860,00:05:34.780
SP2_066,GENERATED\IMG017_FEAR_SLEEP_FEEDBACK_LOOP_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,d1af5130e1bbba0d11036e327b835763811b1c8b97c4cdcbcc99da36a21cf130,episode can feel like confirmation. The expectation,00:05:34.780,00:05:38.340
SP2_067,GENERATED\IMG047_CULTURE_FEEDBACK_BRAID.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,45bf1d9ec699643485f49d30f2bc5b0a557c26d364ddd9ed06a1d754cb360951,waiting for the next night grows heavier. The story has entered the,00:05:38.340,00:05:42.080
SP2_068,GENERATED\IMG018_STORY_BECOMES_BODY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,21a75f780ffe0a2d7e87e8073e1d231d6bce1d93fed9263236efc63bb2e56932,loop. And that may be the most unsettling possibility in this,00:05:42.080,00:05:45.980
SP2_069,GENERATED\IMG048_STORY_BODY_RETURN.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,5399945fa0e3fe74d1b41933ae319eee195f8320f6c3bddaa8790a9d9ff44344,entire history. A being does not have to stand physically in,00:05:45.980,00:05:49.700
SP2_070,GENERATED\IMG052_QUESTION_BETWEEN_MODELS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,060c88269d9a4587bf6f0e4e064873569aa068cccc4574272da74359ba1f5905,the room for belief in it to produce physical consequences.,00:05:49.700,00:05:53.490
SP2_071,GENERATED\IMG053_PRESSURE_PRESENCE_RELIEF.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,c9c5e4cee24739b819a28496edfbf36dd8e4d3aff7393adc6b493b9b7508cd8e,"So return to Richard Coman. His body supplied wakefulness, immobility, pressure and …",00:05:53.490,00:05:59.800
SP2_072,GENERATED\IMG038_BODY_CULTURE_BRAID.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,ab084babfcb38f720444dc00fecb22dc64ff3f014622ab1f494d6f4e4b113a8c,"Salem supplied a name, a cause and a court willing to hear …",00:05:59.800,00:06:04.760
SP2_073,GENERATED\IMG055_CULTURAL_FORM_SETTLES.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,a37ee9b09008fdc5e269141c03cae780523b63147d8d702851d548d7f2045e3e,moved outward into testimony. The testimony returned to the community as truth. …,00:06:04.760,00:06:10.360
SP2_074,GENERATED\IMG056_PRESSURE_AS_MEMORY_RELIEF.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,d155c7c1a022bd909e6ae94b57cd67983241a1fb2a8dccb080c921ba065ecbbb,"first? For one person, perhaps the experience. For a culture, experience and",00:06:10.360,00:06:16.320
SP2_075,GENERATED\SHOT02_MANY_NAMES_PAPER_LAYERS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,10b020df29d21b1d91a8876196aa6b5a6e76981b4f155b1f9041f8ef755b0765,story may already be braided together. Every new night meets images that …,00:06:16.320,00:06:22.120
SP2_076,GENERATED\IMG039_GENERATIONS_OF_NIGHT_STORIES.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,8cca3486513b846b16b2716894038cec2776f1bc4b6a445bf0ac93abb16404c4,Every new account changes what the next person expects. That is why …,00:06:22.120,00:06:27.860
SP2_077,GENERATED\IMG057_PUBLIC_MEMORY_SHADOWS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,212c920a03057e6ebcda8e5254d34763362e378158d3795e942ffa698e1c0068,the visitor was real. The deeper question is what kind of reality …,00:06:27.860,00:06:34.060
SP2_078,GENERATED\IMG061_ONE_BODY_THREE_STORIES.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,28c610ffab15e1cbf202d0864fd1c2ec236f9c2e72e8554724593c6e322cf153,"a body, inside a memory, and finally inside a room full of …",00:06:34.060,00:06:39.280
SP2_079,CARDS\CARD_EXPERIENCE_OR_STORY.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,4de968fca1b2070cba03674a20819c2f3a323053712f7c86c1b7b08e7fe2b15e,"Which carries more power into the next night: the EXPERIENCE, or the …",00:06:39.280,00:06:46.840
SP2_080,GENERATED\IMG060_WORD_LAYERS_CTA_BG.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,a9900bdb3bfcf77460f5f085d5952937f0d3ddd24a87fc1752ad6eb42b195a0c,Because the body may open the door. But once a culture,00:06:46.840,00:06:49.960
SP2_081,GENERATED\SHOT04_FUSELI_TO_SCREEN_TRANSITION.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,ca16afc828a8906ef194207e836ac8ab82168ea0ba7dbad5838d18f32224a95b,"gives the darkness a face, that face can travel.",00:06:49.960,00:06:52.990
