asset_id,category,title,source_page,verification_status,availability,rights_status,use,claim_limit
EP11_V_AJNA_RAJASTHAN,esoteric_art,Brow Chakra Rajasthan 18th Century,https://commons.wikimedia.org/wiki/File:Brow_Chakra_Rajasthan_18th_Century.JPG,VERIFIED_EXACT,LIVE,Public domain,Pre-modern brow-center visual,Do not overclaim school/text provenance
EP11_V_AJNA_WELLCOME,esoteric_primary,Centres or Lotuses of Yoga M0005455,"https://commons.wikimedia.org/wiki/File:The_centres_or_Lotuses_of_Yoga,_in_Avalon%27s_The_Serpent_Power_Wellcome_M0005455.jpg",RIGHTS_HOLD_METADATA_CONFLICT,LIVE,Commons CC BY 4.0 metadata conflicts with current Wellcome catalogue marking glass plate in copyright,Optional full subtle-body map,Use only after rights basis for exact binary is locked
EP11_V_SHIVA_GUIMET,esoteric_art,Shiva Musée Guimet third-eye head,https://commons.wikimedia.org/wiki/File:Shiva_Mus%C3%A9e_Guimet_22971.jpg,VERIFIED_EXACT,LIVE,Photographer public-domain release worldwide,Eye of Shiva symbolism full object plus forehead crop,Religious art not anatomical evidence
EP11_V_COSMIC_MAN,esoteric_art,Cosmic Man with Newar six-chakra diagrams LACMA,https://commons.wikimedia.org/wiki/File:Cosmic_Man_with_Diagrams_of_Newar_Yogic_Six_Chakra_Transformation_LACMA_M.91.118.jpg,VERIFIED_EXACT_CONTENT_RIGHTS_CAPTURE_REQUIRED,LIVE,Record exact Commons/LACMA rights at acquisition,Body-as-symbolic-map montage,Secondary contextual art only
EP11_V_LEADBEATER_PINEAL,esoteric_primary,Pineal Gland and Pituitary Body 1927,https://commons.wikimedia.org/wiki/File:Pineal_Gland_and_Pituitary_Body.jpg,VERIFIED_EXACT,LIVE,Public domain per Commons life+70 statement,Crucial later occult gland mapping,Attributed to Leadbeater's 1927 model only
EP11_V_TS_SEAL,esoteric_history,Theosophical Society seal vector,https://commons.wikimedia.org/wiki/File:Theosophicalseal.svg,VERIFIED_EXACT,LIVE,Public-domain release plus historical PD design,Organization/context transition,Organizational context only
EP11_V_DESCARTES,history_science,Descartes Treatise of Man pineal diagram,https://commons.wikimedia.org/wiki/File:Descartes_diagram.png,VERIFIED_EXACT,LIVE,Historical public domain; preserve reproduction metadata,Brief EP10 callback on soul-body pineal significance,Historical philosophical anatomy only
EP11_V_DESCARTES_WELLCOME,history_science,Descartes posterior brain showing pineal in situ,https://commons.wikimedia.org/wiki/File:Descartes%3B_view_of_posterior_of_brain_Wellcome_L0008518.jpg,VERIFIED_EXACT_CONTENT_RIGHTS_CAPTURE_REQUIRED,LIVE,Capture exact Wellcome/Commons license before lock,Higher-context Descartes anatomy alternative,Historical illustration only
EP11_V_DMT_NATURE,scientific_document,Dean et al. 2019 Scientific Reports,https://www.nature.com/articles/s41598-019-45812-w,VERIFIED_EXACT,LIVE,Open access; use PMC license statement for capture,Final EP12 laboratory bridge,Rat/mammalian-brain data only
EP11_V_DMT_PMC,scientific_document,Dean et al. 2019 PMC mirror,https://pmc.ncbi.nlm.nih.gov/articles/PMC6597727/,VERIFIED_EXACT,LIVE,CC BY 4.0 subject to third-party credit exceptions,License and searchable evidence backup,Rat/mammalian-brain data only
EP11_D_AJNA,discovery,Ajna Commons category,https://commons.wikimedia.org/wiki/Category:Ajna,VERIFIED_DISCOVERY,LIVE,Per-file rights vary,Optional additional historical Ajna candidates,Promote exact file before use
EP11_D_CHAKRAS,discovery,Chakras Commons category,https://commons.wikimedia.org/wiki/Category:Chakras,VERIFIED_DISCOVERY,LIVE,Per-file rights vary,Optional broader historical chakra pool,Promote exact file before use
EP11_D_LEADBEATER,discovery,The Chakras by C. W. Leadbeater category,https://commons.wikimedia.org/wiki/Category:The_Chakras_by_C._W._Leadbeater,VERIFIED_DISCOVERY,LIVE,Per-file rights must be captured,Additional color plates and nervous-plexus diagrams,Promote exact file before use
EP11_D_PINEAL,discovery,Pineal gland Commons category,https://commons.wikimedia.org/wiki/Category:Pineal_gland,VERIFIED_DISCOVERY,LIVE,Per-file rights vary,Select exact human anatomy illustration,Anatomical location only
EP11_D_TS,discovery,Theosophical Society Commons category,https://commons.wikimedia.org/wiki/Category:Theosophical_Society,VERIFIED_DISCOVERY,LIVE,Per-file rights vary,Optional movement/context imagery,Promote exact file before use
EP11_D_ADYAR,discovery,Theosophical Society Adyar category,https://commons.wikimedia.org/wiki/Category:Theosophical_Society_Adyar,VERIFIED_DISCOVERY,LIVE,Per-file rights vary,Optional period/place texture,Do not imply Blavatsky presence unless metadata says so
EP11_R_SECRET_DOCTRINE,reference,Secret Doctrine Pasadena transcription/index,https://www.theosociety.org/pasadena/sd/sd-hp.htm,VERIFIED_REFERENCE,LIVE,Underlying 1888 text public domain; website presentation not picture master,Text/page verification,Acquire viewer-facing pages from a rights-clean scan
EP11_R_SECRET_DOCTRINE_ST,reference,Secret Doctrine Sacred Texts transcription,https://sacred-texts.com/the/sd/sd2-0-co.htm,VERIFIED_REFERENCE,LIVE,Reference transcription,Text/page cross-check,Not viewer-facing archive master
EP11_R_SERPENT_POWER,reference,The Serpent Power research PDF,https://www.aghori.it/woodroffe_the_serpent_power.pdf,VERIFIED_REFERENCE,LIVE,Research endpoint; prefer exact PD Commons files for pictures,Text wording verification,Not preferred picture master
EP11_R_LEADBEATER_PDF,reference,The Chakras research PDF,https://lakshminarayanlenasia.com/articles/Chakras-by-CW-Leadbeater.pdf,VERIFIED_REFERENCE,LIVE,Research endpoint; exact Commons files preferred for selected visuals,Wording/page verification,Do not assume PDF host grants commercial image rights
