cue_id,take_id,section,plan_start,plan_end,timing_method,take_anchor,voice_anchor,asset_id,asset_type,asset_path,source_master,asset_status,movement_rule,overlay_rule,sfx_key,edit_note
V017,EP07_TAKE_003,S1,01:03.57,01:07.71,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,größeres Verfahren,IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,,READY,HOLD_STATIC_0_TO_1_PERCENT,Rekonstruktion,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
V018,EP07_TAKE_003,S1,01:07.71,01:11.86,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,konkrete historische Frau,SRC_EP07_Bridget_Bishop_lithograph_full_portrait,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Bridget_Bishop_lithograph_full_portrait.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Bridget_Bishop_lithograph.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
V019,EP07_TAKE_003,S1,01:11.86,01:16.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,privat wird öffentlich,CLIP003_SALEM_PUBLIC_TRANSFORMATION,TRANSFORM_CLIP,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\CLIP003_SALEM_PUBLIC_TRANSFORMATION.mp4,,READY,NATIVE_MOTION_NO_ADDITIONAL_CAMERA,Kulturelle Visualisierung,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
V020,EP07_TAKE_004,S2,01:16.00,01:21.40,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Füsslis Nachtmahr,Henry Füssli,SRC_EP07_Fuseli_The_Nightmare_1781_full_painting,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Fuseli_The_Nightmare_1781_full_painting.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Fuseli_The_Nightmare_1781.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,GALLERY_AIR,Hard cut within act; 0.35 s dissolve only at act boundary
V021,EP07_TAKE_004,S2,01:21.40,01:26.80,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Füsslis Nachtmahr,Frau rücklings,SRC_EP07_Fuseli_The_Nightmare_1781_woman_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Fuseli_The_Nightmare_1781_woman_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Fuseli_The_Nightmare_1781.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,GALLERY_AIR,Hard cut within act; 0.35 s dissolve only at act boundary
V022,EP07_TAKE_004,S2,01:26.80,01:32.20,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Füsslis Nachtmahr,Gestalt auf der Brust,SRC_EP07_Fuseli_The_Nightmare_1781_incubus_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Fuseli_The_Nightmare_1781_incubus_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Fuseli_The_Nightmare_1781.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,GALLERY_AIR,Hard cut within act; 0.35 s dissolve only at act boundary
V023,EP07_TAKE_004,S2,01:32.20,01:37.60,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Füsslis Nachtmahr,Pferdekopf,SRC_EP07_Fuseli_The_Nightmare_1781_horse_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Fuseli_The_Nightmare_1781_horse_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Fuseli_The_Nightmare_1781.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,GALLERY_AIR,Hard cut within act; 0.35 s dissolve only at act boundary
V024,EP07_TAKE_004,S2,01:37.60,01:43.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Füsslis Nachtmahr,Motiv im Raum,IMG005_NIGHTMARE_MOTIF_ROOM_BASE,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG005_NIGHTMARE_MOTIF_ROOM_BASE.png,,READY,LOCKED_STATIC_SOURCE_COMPOSITE,Kein Zusatztext,GALLERY_AIR,Hard cut within act; 0.35 s dissolve only at act boundary
V025,EP07_TAKE_005,S2,01:43.00,01:48.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Das wiedererkannte Motiv,anderer Künstler,SRC_EP07_Abildgaard_Nightmare_1800_full_painting,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Abildgaard_Nightmare_1800_full_painting.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Abildgaard_Nightmare_1800.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,CANVAS_DETAIL,Hard cut within act; 0.35 s dissolve only at act boundary
V026,EP07_TAKE_005,S2,01:48.00,01:53.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Das wiedererkannte Motiv,Druckmotiv,SRC_EP07_Abildgaard_Nightmare_1800_figure_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Abildgaard_Nightmare_1800_figure_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Abildgaard_Nightmare_1800.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,CANVAS_DETAIL,Hard cut within act; 0.35 s dissolve only at act boundary
V027,EP07_TAKE_005,S2,01:53.00,01:58.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Das wiedererkannte Motiv,Bild wandert weiter,SHOT04_FUSELI_TO_SCREEN_TRANSITION,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\SHOT04_FUSELI_TO_SCREEN_TRANSITION.png,,READY,LOCKED_STATIC_SOURCE_COMPOSITE,Kein Zusatztext,CANVAS_DETAIL,Hard cut within act; 0.35 s dissolve only at act boundary
V028,EP07_TAKE_005,S2,01:58.00,02:03.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Das wiedererkannte Motiv,Druck als Bildform,IMG024_NIGHTMARE_PRINT_WORKSHOP,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG024_NIGHTMARE_PRINT_WORKSHOP.png,,MISSING_GENERATION,GENTLE_ZOOM_1P5_TO_2P5_PERCENT,Bei historischer Szene: Rekonstruktion; sonst kein Overlay,CANVAS_DETAIL,Hard cut within act; 0.35 s dissolve only at act boundary
V029,EP07_TAKE_005,S2,02:03.00,02:08.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Das wiedererkannte Motiv,Angriff statt freier Fantasie,SRC_EP07_Abildgaard_Nightmare_1800_pressure_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Abildgaard_Nightmare_1800_pressure_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Abildgaard_Nightmare_1800.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,CANVAS_DETAIL,Hard cut within act; 0.35 s dissolve only at act boundary
V030,EP07_TAKE_006,S2,02:08.00,02:12.33,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Viele Ursprünge,ähnliche Abläufe,IMG006_SAME_MECHANIC_DIFFERENT_ROOMS,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG006_SAME_MECHANIC_DIFFERENT_ROOMS.png,,READY,HOLD_STATIC_0_TO_1_PERCENT,Kein Zusatztext,PAPER_GEOGRAPHY,Hard cut within act; 0.35 s dissolve only at act boundary
V031,EP07_TAKE_006,S2,02:12.33,02:16.67,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Viele Ursprünge,weit auseinanderliegende Orte,SRC_EP07_Salem_Village_1692_map_Upham_1866_map_edge_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Salem_Village_1692_map_Upham_1866_map_edge_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Salem_Village_1692_map_Upham_1866.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,PAPER_GEOGRAPHY,Hard cut within act; 0.35 s dissolve only at act boundary
V032,EP07_TAKE_006,S2,02:16.67,02:21.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Viele Ursprünge,kein einzelner Ursprung,IMG025_MANY_ORIGINS_ARCHIVE_TABLE,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG025_MANY_ORIGINS_ARCHIVE_TABLE.png,,MISSING_GENERATION,GENTLE_ZOOM_1P5_TO_2P5_PERCENT,Bei historischer Szene: Rekonstruktion; sonst kein Overlay,PAPER_GEOGRAPHY,Hard cut within act; 0.35 s dissolve only at act boundary
