asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,hd_capable,bytes,sha256,shared_with
EP13-C11,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Primeira_Missa_na_Capelinha_jpg.jpg,File:Primeira Missa na Capelinha.jpg,https://commons.wikimedia.org/wiki/File:Primeira_Missa_na_Capelinha.jpg,Public domain,Unknown photographer,Original:  Taken on 13 October,1668x1080,1.8,NO,527438,3f578fa9941c10c247aee28847416d71a5e47ed5590988d85ad53a048ae6722f,-
EP13-C12,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Pope_John_XXIII_1959_jpg.jpg,File:Pope John XXIII - 1959.jpg,https://commons.wikimedia.org/wiki/File:Pope_John_XXIII_-_1959.jpg,Public domain,Unknown authorUnknown author,1959,1167x1503,1.75,NO,1264644,dda3d7850d65d944347f96e7df82e85e15ea6ab32d52c5d24d8fb0e812c33d79,-
EP13-C13,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Pope_John_Paul_II_After_Assassination_Attempt_jpg.jpg,File:Pope John Paul II After Assassination Attempt.jpg,https://commons.wikimedia.org/wiki/File:Pope_John_Paul_II_After_Assassination_Attempt.jpg,Public domain,Arturo Mari / Associated Press,1981-05-13,1576x1045,1.65,NO,310636,eadb3220622f98f2b313e173a2e5d85f05dcc0dd4fab34aff9027933d6d6750b,-
EP13-C14,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Fatima_in_1920s_jpg.jpg,File:Fatima in 1920s.jpg,https://commons.wikimedia.org/wiki/File:Fatima_in_1920s.jpg,CC BY 2.0,Carlos Goulão,2007-02-19 11:39:05,1258x1280,1.61,NO,438660,fe7e5ba0eca88272f963d6ae53274e40c43fa94eaf1fd15a45cbe05c428f7aed,-
EP13-C15,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Newspaper_fatima_353_jpg.jpg,File:Newspaper fatima 353.jpg,https://commons.wikimedia.org/wiki/File:Newspaper_fatima_353.jpg,Public domain,"Avelino de Almeia, journalist at the O Seculo dialy",1917-10-29,1000x1535,1.53,NO,550317,afdca50760bf2ac38734d98bcad0be7ed943fa7a2f7ca1e923b52e47a34a4b63,-
EP13-C16,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_ChildrensofFatima_jpg.jpg,File:ChildrensofFatima.jpg,https://commons.wikimedia.org/wiki/File:ChildrensofFatima.jpg,Public domain,Attributed to Joshua Benoliel,"circa October 1917date QS:P,+1",886x1417,1.26,NO,1741814,146673ab6aefc8679f1d5bd99efc193abb455d684293447655e8ec88f2b58f9a,-
EP13-C17,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Portugal_w1_locator_svg.svg,File:Portugal w1 locator.svg,https://commons.wikimedia.org/wiki/File:Portugal_w1_locator.svg,CC0,Sanjay Rao,2021-11-29,1000x1000,1.0,NO,129460,391bee67a99beb4ee62482b99ac1af2f6f096042142f53a057cd3d0c952cd411,-
EP13-C18,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Coroa_de_Nossa_Senhora_de_F_tima_12_de_Maio_de_2017_png.png,File:Coroa de Nossa Senhora de Fátima (12 de Maio de 2017).png,https://commons.wikimedia.org/wiki/File:Coroa_de_Nossa_Senhora_de_Fátima_(12_de_Maio_de_2017).png,CC BY 3.0,Centro Televisivo Vaticano,2017-05-12,1174x768,0.9,NO,1146201,3500d7bb56f17660b2cbc694b8168818694b9df49c9ff586b45c936d3bea2372,-
EP13-C19,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Miracle_du_soleil_attente_pluie_jpg.jpg,File:Miracle du soleil attente pluie.jpg,https://commons.wikimedia.org/wiki/File:Miracle_du_soleil_attente_pluie.jpg,Public domain,Judah Bento Ruah,2019-02-26,1562x466,0.73,NO,208095,220c591a96cfbfc15a9f23fb23f2f015d8512c12496607c9ff1ddafa07001815,-
EP13-C20,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Immaculate_Heart_of_Mary_svg.svg,File:Immaculate Heart of Mary.svg,https://commons.wikimedia.org/wiki/File:Immaculate_Heart_of_Mary.svg,Public domain,User:RootOfAllLight,2020-05-23,850x850,0.72,NO,26254,99f78d0382ce8081ed0caca2d8b8fc69743367d58c6d406c80aa26765edf9744,-
EP13-C21,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Albrecht_D_rer_The_Revelation_of_St_John_8_The_Battle_of_the_Angels_WG.jpg,File:Albrecht Dürer - The Revelation of St John - 8. The Battle of the Angels - WGA07140.jpg,https://commons.wikimedia.org/wiki/File:Albrecht_Dürer_-_The_Revelation_of_St_John_-_8._The_Battle_of_the_Angels_-_WGA07140.jpg,Public domain,Albrecht Dürer,between 1497 and 1498date QS:P,650x898,0.58,NO,216018,d54d6cd8a08f1c8aca8dbbef9b8adb1e1dbcef608182a1dc43bcd4c40229fe63,-
EP13-C22,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Tarcisio_Bertone_jpg.jpg,File:Tarcisio Bertone.jpg,https://commons.wikimedia.org/wiki/File:Tarcisio_Bertone.jpg,CC BY-SA 4.0,Manfredo Ferrari,2005-02-20 20:28:26,590x830,0.49,NO,103723,c22e8f9754a0a77ad10289707977dc273b1764042e22597d5f2764b66a989b5b,-
EP13-C23,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Miracle_of_the_Sun_jpg.jpg,File:Miracle of the Sun.jpg,https://commons.wikimedia.org/wiki/File:Miracle_of_the_Sun.jpg,Public domain,Judah Bento Ruah,Taken on 13 October 1917,639x469,0.3,NO,48837,5d82154e869f06d50677e747382772db58dfb0d8612e4bc177f11fde6e55cda6,-
EP13-C24,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Jacinta_marto_fatima_portugal_1917_jpg.jpg,File:Jacinta-marto-fatima-portugal-1917.jpg,https://commons.wikimedia.org/wiki/File:Jacinta-marto-fatima-portugal-1917.jpg,Public domain,Unknown authorUnknown author,1917,398x606,0.24,NO,204872,1dcdb15414716effc1f14544a77dbf1294180753641bcf5ce97801a65d17284e,-
EP13-C25,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Sodano_jpg.jpg,File:Sodano.jpg,https://commons.wikimedia.org/wiki/File:Sodano.jpg,Public domain,No machine-readable author provided. Starlight~commonswiki assumed (ba,15 January 2006 (original uplo,340x564,0.19,NO,130768,f3d406fe993544f00db2d4d19f8342927f27bc5a30029c56de9b87d5417e7d3f,-
EP13-C26,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Sister_L_cia_jpg.jpg,File:Sister Lúcia.jpg,https://commons.wikimedia.org/wiki/File:Sister_Lúcia.jpg,Public domain,Unknown photographer,Original:  May 1946;  This ver,324x485,0.16,NO,97708,de32adaf09d223886e15c8a32578c5a58e36d0fbc2dcf49246a71f3e9b933da5,-
EP13-C27,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Sister_L_cia_mourning_portrait_Aljustrel_Fatima_1919_jpg.jpg,"File:Sister Lúcia mourning portrait (Aljustrel, Fatima, 1919).jpg","https://commons.wikimedia.org/wiki/File:Sister_Lúcia_mourning_portrait_(Aljustrel,_Fatima,_1919).jpg",Public domain,Unknown photographer,Original:  after 31 July 1919d,334x463,0.15,NO,65524,3f6d09a28bd09d5f4fa3b69325bd9e45439ff1beda297498385b890ff3a745ff,-
EP13-C28,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_L_cia_Santos_ChildrensofFatima_jpg.jpg,File:Lúcia Santos (ChildrensofFatima).jpg,https://commons.wikimedia.org/wiki/File:Lúcia_Santos_(ChildrensofFatima).jpg,Public domain,Attributed to Joshua Benoliel,"circa October 1917date QS:P,+1",308x431,0.13,NO,166681,f0eec508812186b66b11103232c89853f05e00a3cda2e69f7d38c29654b917af,-
EP13-C29,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Jacinta_Marto_ChildrensofFatima_jpg.jpg,File:Jacinta Marto (ChildrensofFatima).jpg,https://commons.wikimedia.org/wiki/File:Jacinta_Marto_(ChildrensofFatima).jpg,Public domain,Attributed to Joshua Benoliel,"circa October 1917date QS:P,+1",263x463,0.12,NO,211994,cb083c94e791ca4d805738b90ba57fa5cc636ac1d255e9005c30baf31e2fe28a,-
EP13-C30,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Joseph_Ratzinger_cardinal4_jpg.jpg,File:Joseph Ratzinger cardinal4.jpg,https://commons.wikimedia.org/wiki/File:Joseph_Ratzinger_cardinal4.jpg,Public domain,CamilloPIZ,2005,280x427,0.12,NO,23285,d531d5c6781a2d3e32f394a9dc530655cfb49cd444e7a860710efd744a67078f,-
EP13-C31,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Angelo_Sodano_jpg.jpg,File:Angelo Sodano.jpg,https://commons.wikimedia.org/wiki/File:Angelo_Sodano.jpg,Public domain,,,277x341,0.09,NO,23836,95edbc74a17a30b67fa658fdb60bc638d4d86f0bae4b6d629b586b4d984fa1bb,-
