asset_id,relative_path,bytes,sha256,status,provider_or_source,rights_status,visible_mode_badge,series_usage
GW-EN-0062,03_VISUALS/CARDS/GW_EN_CARD_H_COMPARE.png,32014,34e39b05eda7f2d93ecfca38154f87abd9982212aa64f32b6942593704ecd106,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0063,03_VISUALS/CARDS/GW_EN_CARD_H_FUTURE.png,31256,0bc62a55da2e14ac9f4a8b78b59d24cc216d4efb2dac08c4e4d6d19cdb290d9e,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0064,03_VISUALS/CARDS/GW_EN_CARD_H_PAST.png,31850,41e65436b3a3bb2c55950eaa6c59c1d75223cb8132622b712b5ad92edd642784,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0065,03_VISUALS/CARDS/GW_EN_CARD_H_PRESENT.png,28032,9496a07d9a4ec78f36f5a482b73dec5e2a996c2579f098a293f601b67e041363,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0066,03_VISUALS/CARDS/GW_EN_CARD_H_PROTOCOL_RECAP.png,37827,d3c2cc364ccaf73d6da03a17b3eaca5458fe1ced92202f9265f2e972c25e7838,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0067,03_VISUALS/CARDS/GW_EN_CARD_H_RECOMMENDATION_H.png,22815,3d876805db17b5516f482054f545b877c89d194ea116dd49d383f7ed041d50ac,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0068,03_VISUALS/CARDS/GW_EN_CARD_HANDOFF.png,32162,1595ebeb9360690c80aea34e927c24405c701b2b69c6845009f33d1f6861b047,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0069,03_VISUALS/CARDS/GW_EN_CARD_HIDDEN_DIGITS_GAP.png,28067,9ca0b181100e8b54e2bc979b65b5adba37835008712667df99176d1da2ea3a88,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0070,03_VISUALS/CARDS/GW_EN_CARD_INTERPRETATION_TEST.png,33992,b8f7eca9c7c7874adb8906921d1f2dbdddddac4ea9f33db2a59c37f982660489,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0071,03_VISUALS/CARDS/GW_EN_CARD_MODERN_METHODS.png,43115,8dc0e3359e4ff905cb480e087757827f043c81ed97eae379cc97e35aa4e634c1,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0072,03_VISUALS/CARDS/GW_EN_CARD_NO_DATASET.png,27572,4aead39febb8497539d8d16c2172a9d1a175fb0344a356381544a39b236d1046,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0073,03_VISUALS/CARDS/GW_EN_CARD_ONE_OPERATOR.png,35716,9799cefd17236b771e0a2b0dc53eece5b99ace5838f7465a8884ac444782c63c,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0074,03_VISUALS/CARDS/GW_EN_CARD_OVERREACH.png,32834,c51bd28920d26818666c66c786b01b6d9105f8146a2aa4a6bc4f02a14609d400,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0075,03_VISUALS/CARDS/GW_EN_CARD_PROOF_BOUNDARY.png,37696,b9fba13eb9c71b52f8db1cd0a1f3ed389d012ef52d88c161e116ff0420c3572e,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0076,03_VISUALS/CARDS/GW_EN_CARD_RECOMMENDATION_JK.png,38956,20034783cd57bf03c0c2986f621b80fd1cc2c2138445a1ad6b7e885e7ad887e1,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0077,03_VISUALS/CARDS/GW_EN_CARD_SOURCE_UNCERTAIN.png,44458,0110460d7450d94a791ab6f857e01d572273d71f3308b2dc29f311c73e43f9b0,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0078,03_VISUALS/CARDS/GW_EN_CARD_STATE_NOT_INFO.png,30235,6a59530b54a15fd45355c49eae0dd84f865d88793200bbb9b1e3450af71d296c,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0079,03_VISUALS/CARDS/GW_EN_CARD_TEST_NOT_PROOF.png,31994,507bf25e0f829c1d00685bbdfb917d113976a9f84ec7f60d9a9f49a5139ca28e,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0080,03_VISUALS/CARDS/GW_EN_CARD_THREE_INPUTS.png,49037,281eb242146c12db58c36da014af63600fcab22c9954b16b92f4f42011583652,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0081,03_VISUALS/CARDS/GW_EN_CARD_THREE_INPUTS_COMBINED.png,27516,f9d7f35fafbffc79cb18a0ed666a7495e411c37aed363bdee2bdd6e71c89931f,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0082,03_VISUALS/CARDS/GW_EN_CARD_TIME_COORDINATE.png,25765,1cf9b03978fa42df1c60558f61e9c47fc2af1187e163601443287acfa4256c93,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0083,03_VISUALS/CARDS/GW_EN_CARD_WEAK_NOT_DISCARDED.png,38897,0a87edc9ca379e51ac39d616163241e4b1758ff92730357e8d9d0d550836fa37,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0084,03_VISUALS/CLIPS/GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.json,313,2733f8685bc4247876047a88f3c26e1b0d8a87d6f886f723dc4335ca859c89d3,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0085,03_VISUALS/CLIPS/GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,1269156,91aa5be2dfab3dd7d072aac40cee4925ab677f29e0fcce2e4300eb46d63e19e9,timeline_selected,code-native,project-owned,NO,EP02_ONLY
GW-EN-0086,03_VISUALS/CLIPS/GW_EN_CLIP02_ARCHIVE_CHAIN.json,283,2b63380ce7a43d9dfbe4e051542a7f326faa9fee300648b313175fb8048d9123,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0087,03_VISUALS/CLIPS/GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,698486,c45159ac3852d00da5cd2298fd8e8aedf79d8edc09dd8cb6a660f7ff96f324ed,timeline_selected,code-native,project-owned,NO,EP02_ONLY
GW-EN-0088,03_VISUALS/CLIPS/GW_EN_CLIP03_MONROE_EXIT.mp4,7363374,45c9806bb2d09f3401932d2a47a84eaba62d9fccba1a5d401d5577d2d35a9df7,timeline_selected,Vertex AI Veo 3.1,project-owned,NO,EP02_ONLY
GW-EN-0089,03_VISUALS/CLIPS/GW_EN_CLIP04_BEAT_RESONANCE.json,279,c1156012996a040aec1aaa67e7e6224988e35bf44e71076746113da50e22cb0f,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0090,03_VISUALS/CLIPS/GW_EN_CLIP04_BEAT_RESONANCE.mp4,1080839,4c452f5f57d2ead0a899408ae7f560a729ab25d94d5cf0c8ccab102b7400d964,timeline_selected,code-native,project-owned,NO,EP02_ONLY
GW-EN-0091,03_VISUALS/CLIPS/GW_EN_CLIP05_CROSSING.mp4,24248011,863e1a04a9273d572a8004f3fe4609066bdca90d7b8c781f78983389313d3d0e,timeline_selected,Vertex AI Veo 3.1,project-owned,NO,EP02_ONLY
GW-EN-0092,03_VISUALS/CLIPS/GW_EN_CLIP06_FOCUS_WHEEL.mp4,20623549,ae7049e4619263dae4cd31e03369baa73c94bd30b2799be047cf50da75e8fed8,timeline_selected,Vertex AI Veo 3.1,project-owned,NO,EP02_ONLY
GW-EN-0093,03_VISUALS/CLIPS/GW_EN_CLIP07_TEN_DIGITS.json,285,3869b442517f05b9543ffc99bd5456b96f469950ab037d646a264bb2f4ac4c56,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0094,03_VISUALS/CLIPS/GW_EN_CLIP07_TEN_DIGITS.mp4,1057685,8dffddc3296ae1c17bbff68b2c809c71cbd1e704757ad039ab45bf5540cc41bb,timeline_selected,code-native,project-owned,NO,EP02_ONLY
GW-EN-0095,03_VISUALS/CLIPS/GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.json,664,147186f5f0f0dcd0d0f88fb165fdeda4882caaa50f08a48d8b4adfb21e554054,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0096,03_VISUALS/CLIPS/GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,1290395,6db8b27ee7bf6bd7b668bd32c8fc71d12864779fd79ebbd04578087f0363499b,timeline_selected,code-native controlled motion,project-owned,NO,EP02_ONLY
GW-EN-0097,03_VISUALS/CLIPS/GW_EN_CLIP10_ZERO_ONE_HANDOFF.json,284,3973ae3dfc41924b95ce0451f30025efff8089485dbae7bb3aecb367d5e907fd,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0098,03_VISUALS/CLIPS/GW_EN_CLIP10_ZERO_ONE_HANDOFF.mp4,301952,1248b37b6e1ca4d11a32e8bbba3e3df489a2e4a40e86b556f6b0a21f411bb002,timeline_selected,code-native,project-owned,NO,EP02_ONLY
GW-EN-0099,03_VISUALS/CLIPS/GW_EN_CLIP12_THREE_INPUTS_PROGRESS.json,514,15290d5055277031b349f091d507523cc7dc29771319e13171920ae8ae5f6ae3,accepted,code-native,project-owned,NO,EP02_ONLY
GW-EN-0100,03_VISUALS/CLIPS/GW_EN_CLIP12_THREE_INPUTS_PROGRESS.mp4,1527959,7ffcb570b197ea89bf8c5baf7a7bd594d819dd42c9be66af994360d981d02a2e,timeline_selected,code-native controlled motion,project-owned,NO,EP02_ONLY
GW-EN-0101,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC01_ARMY_HEADER.png,634664,64bcc7089dd71b03e5697a2d6e708b9c3fce3e8278426bd8dec2a400e05d54b2,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0102,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC02_MCDONNELL_SIGNATURE.png,294355,e2b2489fc66254d29465d61f617eab99371ce4be1330a2a1ae4422b094a5c1aa,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0103,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC03_HEMISYNC.png,1299656,6830a76a84ec7b5ad29e4f3fee82e61682d51edc48f8a8f8eb98891eabf06833,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0104,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC04_FREQUENCY_RESPONSE.png,1137230,bf2811caec30ecb08e8ea2bc24bcb2f83863bcaaadefdfb264d5ec7a86a20aa0,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0105,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC05_RESONANCE.png,1178147,0df99606824357a28d084eaeb1caf20f623f65db4f1a47f31ee1ccb8323698f8,accepted,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0106,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC06_BODY_OSCILLATOR.png,740444,88f282ae552c31b947a43737699ab8180d0e3bc216dbbd2f1320d4074ec68281,accepted,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0107,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC07_TIME_SPACE.png,1103495,588ec895cb86288b097c58cf7a223b3c63e5c9fddbbc8dc4afd78bc70e1c3368,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0108,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC08_OUT_OF_BODY_STATUS.png,971569,4a615ca27bac20b35a69603aa4ff3992a2e425cf030c7562fb0d8664e3ced761,accepted,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0109,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC09_FOCUS15.png,1134780,dbf8ecc63ffdcca0694e92d94cbacf47f987164ff09675f23aea139df5c15d6a,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0110,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC10_FOCUS21.png,1180319,268c6b1200cd834c33b672652dfb8ece4a6b9b7ba8d60aac1c3c95d736c4f808,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0111,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC11_ROLLOUT.png,1130958,962b625aec0adef759df64f9457de83dcf6c0530ee1a4e149881d95a36964c00,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
GW-EN-0112,03_VISUALS/DOCUMENT_CROPS/GW_EN_DOC12_TEN_DIGITS.png,707933,2666b52dc7c5c9aeb05080889255ca4921c88df77741a34262db32108c0bb79d,timeline_selected,source crop,inherits original document status,NO,EP02_ONLY
