edit_shot_id,start,end,duration,cue_first,cue_last,primary_asset,asset_state,internal_mode,editorial_use,fallback_asset,source_in,source_out,playback_rate,retention_review,visible_mode_badge,series_usage
GW-SHOT-011,45.800,48.110,2.310,GW-CUE-017,GW-CUE-017,GW_EN_STILL01_MCDONNELL_REPORT_V2_FINAL.png,officer studies report from behind,RECONSTRUCTION,anonymous officer action anchored earlier by signature,,,,,,NO,EP02_ONLY
GW-SHOT-012,48.110,51.390,3.280,GW-CUE-018,GW-CUE-018,GW_EN_CARD_CROSSING_SOUND.png,sound begins,MODEL,two-tone path preview,,,,,,NO,EP02_ONLY
GW-SHOT-013,51.390,54.235,2.845,GW-CUE-019,GW-CUE-019,GW_EN_CARD_TIME_COORDINATE.png,time as coordinate,MODEL,time-coordinate preview,,,,,,NO,EP02_ONLY
GW-SHOT-014,54.235,57.050,2.815,GW-CUE-020,GW-CUE-020,GW_EN_CARD_DIGITS_SOME.png,some digits,MODEL,ten-digit preview,,,,,,NO,EP02_ONLY
GW-SHOT-015,57.050,59.510,2.460,GW-CUE-021,GW-CUE-021,GW_EN_CARD_DIGITS_NONE.png,none complete,MODEL,negative result preview,,,,,,NO,EP02_ONLY
GW-SHOT-016,59.510,62.625,3.115,GW-CUE-022,GW-CUE-022,GW_EN_CARD_WEAK_NOT_DISCARDED.png,prove versus discard,MODEL,weak but retained result,,,,,,NO,EP02_ONLY
GW-SHOT-017,62.625,65.450,2.825,GW-CUE-023,GW-CUE-023,GW_EN_DOC64_MONROE_INVENTOR.png,patent inventor line,ORIGINAL DOCUMENT,Robert Monroe introduction,,,,,,NO,EP02_ONLY
GW-SHOT-018,65.450,69.355,3.905,GW-CUE-024,GW-CUE-024,GW_EN_FILMIC06_MONROE_RADIO_STUDIO_FINAL.png,anonymous period broadcast studio,RECONSTRUCTION,radio career context,,,,,,NO,EP02_ONLY
GW-SHOT-019,69.355,75.300,5.945,GW-CUE-025,GW-CUE-025,GW_EN_CLIP03_MONROE_EXIT.mp4,elevated viewpoint,INNER / HYPOTHESIS,reported subjective episode,,0.000,6.000,1.009x,,NO,EP02_ONLY
GW-SHOT-020,75.300,80.925,5.625,GW-CUE-026,GW-CUE-028,GW_EN_FILMIC07_MONROE_LAB_BUILDER_FINAL.png,anonymous engineer at equipment bench,RECONSTRUCTION,engineering response and laboratory construction,,,,,,NO,EP02_ONLY
GW-SHOT-021,80.925,88.550,7.625,GW-CUE-029,GW-CUE-029,GW_EN_FILMIC08_GATEWAY_TRAINING_SESSION_FINAL.png,anonymous headphone session,RECONSTRUCTION,training-system context,,,,,,NO,EP02_ONLY
GW-SHOT-022,88.550,90.310,1.760,GW-CUE-030,GW-CUE-030,GW_EN_DOC03_HEMISYNC.png,Hemi-Sync line,ORIGINAL DOCUMENT,Hemi-Sync source,,,,,,NO,EP02_ONLY
GW-SHOT-023,90.310,94.780,4.470,GW-CUE-031,GW-CUE-031,GW_EN_DOC21_HYPNOSIS.png,comparative technique detail,ORIGINAL DOCUMENT,assessment mechanism context,,,,,,NO,EP02_ONLY
GW-SHOT-024,94.780,99.515,4.735,GW-CUE-032,GW-CUE-032,GW_EN_DOC17_BIBLIOGRAPHY.png,Bentov bibliography line,ORIGINAL DOCUMENT,dead inventor source trail,,,,,,NO,EP02_ONLY
GW-SHOT-025,99.515,101.800,2.285,GW-CUE-033,GW-CUE-033,GW_EN_DOC65_BENTOV_INVENTOR.png,patent inventor line and device drawing,ORIGINAL DOCUMENT,Itzhak Bentov introduction,,,,,,NO,EP02_ONLY
GW-SHOT-026,101.800,105.230,3.430,GW-CUE-034,GW-CUE-034,GW_EN_FILMIC09_BENTOV_CATHETER_BENCH_FINAL.png,identity-neutral biomedical bench,RECONSTRUCTION,catheter contribution context,,,,,,NO,EP02_ONLY
GW-SHOT-027,105.230,109.450,4.220,GW-CUE-035,GW-CUE-035,GW_EN_FILMIC10_BODY_OSCILLATION_TEST_FINAL.png,anonymous physiological test,RECONSTRUCTION,body oscillator concept,,,,,,NO,EP02_ONLY
GW-SHOT-028,109.450,113.395,3.945,GW-CUE-036,GW-CUE-037,GW_EN_INNER05_BODY_RESONANCE_NATIVE.png,pressure wave through body and room,INNER / HYPOTHESIS,heart-aorta rhythm and resonance,,,,,,NO,EP02_ONLY
GW-SHOT-029,113.395,118.900,5.505,GW-CUE-038,GW-CUE-038,GW_EN_INNER06_COHERENT_FIELD_NATIVE.png,coherence opens into structured field,INNER / HYPOTHESIS,larger-reality hypothesis,,,,,,NO,EP02_ONLY
GW-SHOT-030,118.900,125.010,6.110,GW-CUE-039,GW-CUE-039,GW_EN_DOC19_NTSB_FLIGHT191.png,NTSB title and date,ORIGINAL DOCUMENT,Flight 191 official record,,,,,,NO,EP02_ONLY
GW-SHOT-031,125.010,127.200,2.190,GW-CUE-040,GW-CUE-040,GW_EN_MAP02_FLIGHT191_ROUTE_CONTEXT.png,Chicago to Los Angeles,MAP,scheduled destination context,,,,,,NO,EP02_ONLY
GW-SHOT-032,127.200,131.150,3.950,GW-CUE-041,GW-CUE-041,AA191_CRASH_SITE_NTSB_PD.png,FAA overhead crash site,ARCHIVE,official crash-site archive,,,,,,NO,EP02_ONLY
GW-SHOT-033,131.150,135.190,4.040,GW-CUE-042,GW-CUE-042,GW_EN_DOC58_BENTOV_REAPPEARS.png,Bentov citation in report,ORIGINAL DOCUMENT,model reappears in Army analysis,,,,,,NO,EP02_ONLY
GW-SHOT-034,135.190,137.175,1.985,GW-CUE-043,GW-CUE-043,GW_EN_FILMIC12_RIGHT_EAR_HEADPHONE_MACRO_FINAL.png,physical headphone detail,RECONSTRUCTION,Monroe supplied the training system,,,,,,NO,EP02_ONLY
GW-SHOT-035,137.175,139.605,2.430,GW-CUE-044,GW-CUE-044,GW_EN_STILL02_BENTOV_OSCILLATOR_OBJECT_V4_FINAL.png,oscillator-object bench,RECONSTRUCTION,Bentov supplied the physical model,,,,,,NO,EP02_ONLY
GW-SHOT-036,139.605,141.390,1.785,GW-CUE-045,GW-CUE-045,GW_EN_STILL04_REPORTS_SIDE_BY_SIDE_V2_FINAL.png,single report-comparison block,RECONSTRUCTION,McDonnell connects the sources,,,,,,NO,EP02_ONLY
GW-SHOT-037,141.390,144.550,3.160,GW-CUE-046,GW-CUE-046,GW_EN_DOC23_BIOFEEDBACK.png,biofeedback detail,ORIGINAL DOCUMENT,real and modest comparison,,,,,,NO,EP02_ONLY
GW-SHOT-038,144.550,147.110,2.560,GW-CUE-047,GW-CUE-047,GW_EN_CARD_BEAT_400.png,400 hertz,MODEL,left-ear carrier,,,,,,NO,EP02_ONLY
GW-SHOT-039,147.110,149.130,2.020,GW-CUE-048,GW-CUE-048,GW_EN_CARD_BEAT_410.png,410 hertz,MODEL,right-ear carrier,,,,,,NO,EP02_ONLY
GW-SHOT-040,149.130,155.690,6.560,GW-CUE-049,GW-CUE-050,GW_EN_CLIP04_BEAT_RESONANCE.mp4,difference tone resolves,MODEL,linear binaural-beat result,,0.000,8.000,1.220x,,NO,EP02_ONLY
GW-SHOT-041,155.690,159.820,4.130,GW-CUE-051,GW-CUE-051,GW_EN_DOC04_FREQUENCY_RESPONSE.png,Frequency Following Response,ORIGINAL DOCUMENT,auditory-processing attribution,,,,,,NO,EP02_ONLY
GW-SHOT-042,159.820,161.740,1.920,GW-CUE-052,GW-CUE-052,GW_EN_CARD_BEAT_10HZ.png,400 / 410 / 10,MODEL,binaural beat resolved,,,,,,NO,EP02_ONLY
GW-SHOT-043,161.740,166.605,4.865,GW-CUE-053,GW-CUE-053,GW_EN_DOC25_FFR_DETAIL.png,FFR close detail,ORIGINAL DOCUMENT,Monroe brain-pattern proposal,,,,,,NO,EP02_ONLY
GW-SHOT-044,166.605,171.990,5.385,GW-CUE-054,GW-CUE-054,GW_EN_DOC26_ELECTROMAGNETIC_RESPONSE.png,electromagnetic-response detail,ORIGINAL DOCUMENT,hemispheric-coherence hypothesis,,,,,,NO,EP02_ONLY
GW-SHOT-045,171.990,177.040,5.050,GW-CUE-055,GW-CUE-055,GW_EN_DOC18_MONROE_PATENT.png,inventor/date/title,ORIGINAL DOCUMENT,1975 patent anchor,,,,,,NO,EP02_ONLY
GW-SHOT-046,177.040,183.320,6.280,GW-CUE-056,GW-CUE-056,GW_EN_DOC24_GATEWAY_COMPARISON.png,Gateway comparison detail,ORIGINAL DOCUMENT,modest mechanism recap,,,,,,NO,EP02_ONLY
GW-SHOT-047,183.320,190.450,7.130,GW-CUE-057,GW-CUE-060,GW_EN_CLIP05_CROSSING.mp4,wave crosses conceptual threshold,INNER / HYPOTHESIS,linear acoustics-to-cosmology transition,,0.000,6.000,0.842x,,NO,EP02_ONLY
GW-SHOT-048,190.450,197.050,6.600,GW-CUE-061,GW-CUE-062,GW_EN_INNER17_INFORMATION_FIELD_NATIVE.png,wavefront enters nonordinary lattice → field bends ordinary perspective,INNER / HYPOTHESIS,coherence becomes speculation / information-field claim,GW_EN_DOC60_FIELD_INFORMATION_DETAIL.png,,,,,NO,EP02_ONLY
GW-SHOT-049,197.050,203.645,6.595,GW-CUE-061,GW-CUE-062,GW_EN_DOC60_FIELD_INFORMATION_DETAIL.png,alternate verified source/state,INNER / HYPOTHESIS,coherence becomes speculation / information-field claim,GW_EN_INNER17_INFORMATION_FIELD_NATIVE.png,,,,,NO,EP02_ONLY
GW-SHOT-050,203.645,205.950,2.305,GW-CUE-063,GW-CUE-063,GW_EN_DOC07_TIME_SPACE.png,full time-space page,ORIGINAL DOCUMENT,engineering appearance,,,,,,NO,EP02_ONLY
GW-SHOT-051,205.950,206.760,0.810,GW-CUE-064,GW-CUE-064,GW_EN_DOC31_TIME_SPACE_DETAIL.png,arrow detail,ORIGINAL DOCUMENT,document visual syntax,,,,,,NO,EP02_ONLY
GW-SHOT-052,206.760,208.485,1.725,GW-CUE-065,GW-CUE-066,GW_EN_DOC52_NESTED_SYSTEMS.png,axes and vortices,ORIGINAL DOCUMENT,document visual syntax,,,,,,NO,EP02_ONLY
GW-SHOT-053,208.485,209.780,1.295,GW-CUE-067,GW-CUE-067,GW_EN_DOC32_CLICKING_OUT.png,system-boundary detail,ORIGINAL DOCUMENT,nested-system context,,,,,,NO,EP02_ONLY
GW-SHOT-054,209.780,211.020,1.240,GW-CUE-068,GW-CUE-068,GW_EN_DOC01_ARMY_HEADER.png,Army letterhead,ORIGINAL DOCUMENT,institutional contrast,,,,,,NO,EP02_ONLY
GW-SHOT-055,211.020,214.655,3.635,GW-CUE-069,GW-CUE-069,GW_EN_CARD_CROSSING_SUMMARY.png,acoustics to cosmology,MODEL,crossing summary,,,,,,NO,EP02_ONLY
GW-SHOT-056,214.655,217.360,2.705,GW-CUE-070,GW-CUE-070,GW_EN_DOC42_STUDY_LIMIT.png,study-limit line,ORIGINAL DOCUMENT,three-reading setup,,,,,,NO,EP02_ONLY
GW-SHOT-057,217.360,222.400,5.040,GW-CUE-071,GW-CUE-071,GW_EN_CARD_CROSSING_COSMOLOGY.png,mechanism or metaphor,MODEL,speculative-metaphor reading,,,,,,NO,EP02_ONLY
GW-SHOT-058,222.400,229.050,6.650,GW-CUE-072,GW-CUE-072,FORT_MEADE_CURRENT_CC_BY_SA_2.jpg,Fort Meade aerial,ARCHIVE,military-era context; contemporary image disclosed in credits,,,,,,NO,EP02_ONLY
GW-SHOT-059,229.050,235.305,6.255,GW-CUE-073,GW-CUE-073,GW_EN_CARD_INTERPRETATION_TEST.png,test-the-model question,MODEL,unusual reports motivate a test,,,,,,NO,EP02_ONLY
GW-SHOT-060,235.305,238.810,3.505,GW-CUE-074,GW-CUE-074,GW_EN_DOC14_CONCLUSION.png,Conclusion line,ORIGINAL DOCUMENT,interpretive limit,,,,,,NO,EP02_ONLY
GW-SHOT-061,238.810,242.325,3.515,GW-CUE-075,GW-CUE-076,GW_EN_DOC09_FOCUS15.png,full Focus-level page,ORIGINAL DOCUMENT,Focus map entry,,,,,,NO,EP02_ONLY
GW-SHOT-062,242.325,245.584,3.260,GW-CUE-077,GW-CUE-079,GW_EN_CARD_FOCUS10_STATE.png,mind awake / body asleep,MODEL,Focus 10 definition,,,,,,NO,EP02_ONLY
GW-SHOT-063,245.584,249.120,3.536,GW-CUE-080,GW-CUE-081,GW_EN_INNER07_FOCUS12_EXPANSION_NATIVE.png,room expands beyond ordinary geometry,INNER / HYPOTHESIS,Focus 12 subjective expansion,,,,,,NO,EP02_ONLY
GW-SHOT-064,249.120,251.790,2.670,GW-CUE-082,GW-CUE-082,GW_EN_CARD_FOCUS15.png,Focus 15 / The Past,MODEL,Focus 15 heading reveal,,,,,,NO,EP02_ONLY
GW-SHOT-065,251.790,254.870,3.080,GW-CUE-083,GW-CUE-084,GW_EN_DOC45_FOCUS15_RECAP.png,Travel into the Past detail,ORIGINAL DOCUMENT,Focus 15 source proof,,,,,,NO,EP02_ONLY
GW-SHOT-066,254.870,262.340,7.470,GW-CUE-085,GW-CUE-087,GW_EN_CLIP06_FOCUS_WHEEL.mp4,hub and past spokes,MODEL,linear time-wheel model,,0.000,6.000,0.803x,,NO,EP02_ONLY
GW-SHOT-067,262.340,265.880,3.540,GW-CUE-088,GW-CUE-088,GW_EN_INNER16_BODY_TURN_DIFFICULTY_NATIVE.png,stable body / displaced room,INNER / HYPOTHESIS,difficulty caveat embodied,,,,,,NO,EP02_ONLY
GW-SHOT-068,265.880,272.020,6.140,GW-CUE-089,GW-CUE-089,GW_EN_CARD_FEWER_5.png,fewer than five percent,MODEL,participation caveat,,,,,,NO,EP02_ONLY
GW-SHOT-069,272.020,275.035,3.015,GW-CUE-090,GW-CUE-091,GW_EN_DOC10_FOCUS21.png,Focus 21 / The Future,ORIGINAL DOCUMENT,Focus 21 source proof,,,,,,NO,EP02_ONLY
GW-SHOT-070,275.035,279.510,4.475,GW-CUE-092,GW-CUE-092,GW_EN_DOC11_ROLLOUT.png,Out-of-Body Movement paragraph,ORIGINAL DOCUMENT,physical instructions,,,,,,NO,EP02_ONLY
GW-SHOT-071,279.510,280.630,1.120,GW-CUE-093,GW-CUE-093,GW_EN_DOC49_ROLL_OUT_DETAIL.png,roll out line,ORIGINAL DOCUMENT,instruction one,,,,,,NO,EP02_ONLY
GW-SHOT-072,280.630,281.680,1.050,GW-CUE-094,GW-CUE-094,GW_EN_INNER09_RISE_UPWARD_NATIVE.png,first-person rise upward,INNER / HYPOTHESIS,instruction two visualized,,,,,,NO,EP02_ONLY
GW-SHOT-073,281.680,283.155,1.475,GW-CUE-095,GW-CUE-095,GW_EN_DOC51_OPENING_DETAIL.png,opening line,ORIGINAL DOCUMENT,instruction three,,,,,,NO,EP02_ONLY
GW-SHOT-074,283.155,286.990,3.835,GW-CUE-096,GW-CUE-096,GW_EN_INNER08_FOCUS21_THRESHOLD_NATIVE.png,impossible threshold,INNER / HYPOTHESIS,field-manual contrast,,,,,,NO,EP02_ONLY
GW-SHOT-075,286.990,291.130,4.140,GW-CUE-097,GW-CUE-097,GW_EN_STILL03_TEN_DIGIT_PARTICIPANT_V2_FINAL.png,anonymous participant,RECONSTRUCTION,intelligence-test question,,,,,,NO,EP02_ONLY
GW-SHOT-076,291.130,293.030,1.900,GW-CUE-098,GW-CUE-098,GW_EN_DOC35_DIGIT_PROCEDURE.png,computer-generated numbers detail,ORIGINAL DOCUMENT,hidden sequence procedure,,,,,,NO,EP02_ONLY
GW-SHOT-077,293.030,295.080,2.050,GW-CUE-099,GW-CUE-099,GW_EN_DOC12_TEN_DIGITS.png,full paragraph,ORIGINAL DOCUMENT,ten-digit source entry,,,,,,NO,EP02_ONLY
GW-SHOT-078,295.080,303.940,8.860,GW-CUE-100,GW-CUE-102,GW_EN_CLIP07_TEN_DIGITS.mp4,placement to attempted retrieval,MODEL,linear test procedure,,0.000,9.000,1.016x,ACCEPT: 8.9s test sequence progresses from placement to blinding to partial retrieval; no repeated material.,NO,EP02_ONLY
GW-SHOT-079,303.940,307.960,4.020,GW-CUE-103,GW-CUE-103,GW_EN_DOC57_MATCHING_DIGITS.png,matching-digits source,ORIGINAL DOCUMENT,trainer-attributed partial result,GW_EN_FILMIC19_PARTIAL_DIGIT_NOTES_NATIVE.png,,,,,NO,EP02_ONLY
GW-SHOT-080,307.960,311.970,4.010,GW-CUE-103,GW-CUE-103,GW_EN_FILMIC19_PARTIAL_DIGIT_NOTES_NATIVE.png,alternate verified source/state,ORIGINAL DOCUMENT,trainer-attributed partial result,GW_EN_DOC57_MATCHING_DIGITS.png,,,,,NO,EP02_ONLY
GW-SHOT-081,311.970,313.950,1.980,GW-CUE-104,GW-CUE-104,GW_EN_DOC36_DIGIT_FAILURE.png,none got all ten,ORIGINAL DOCUMENT,negative boundary,,,,,,NO,EP02_ONLY
GW-SHOT-082,313.950,320.020,6.070,GW-CUE-105,GW-CUE-107,GW_EN_CARD_TEST_NOT_PROOF.png,not a clean demonstration,MODEL,episode hinge,,,,,,NO,EP02_ONLY
GW-SHOT-083,320.020,322.950,2.930,GW-CUE-108,GW-CUE-108,GW_EN_DOC37_DISTORTION_DETAIL.png,distortion detail,ORIGINAL DOCUMENT,partial-resemblance rationale,,,,,,NO,EP02_ONLY
GW-SHOT-084,322.950,324.950,2.000,GW-CUE-109,GW-CUE-109,GW_EN_DOC13_DISTORTION.png,information-distortion paragraph,ORIGINAL DOCUMENT,distortion attribution,,,,,,NO,EP02_ONLY
GW-SHOT-085,324.950,330.240,5.290,GW-CUE-110,GW-CUE-110,GW_EN_INNER10_DISTORTION_BLEND_NATIVE.png,target / room / time impressions,INNER / HYPOTHESIS,three-source blend,,,,,,NO,EP02_ONLY
GW-SHOT-086,330.240,332.930,2.690,GW-CUE-111,GW-CUE-111,GW_EN_CARD_SOURCE_UNCERTAIN.png,which belongs where,MODEL,observer source ambiguity,,,,,,NO,EP02_ONLY
GW-SHOT-087,332.930,336.540,3.610,GW-CUE-112,GW-CUE-112,GW_EN_DOC38_MULTIFOCUS_DETAIL.png,multi-focus detail,ORIGINAL DOCUMENT,failed result becomes H,,,,,,NO,EP02_ONLY
GW-SHOT-088,336.540,338.120,1.580,GW-CUE-113,GW-CUE-113,GW_EN_CARD_DECISION_QUESTION.png,authorize question,MODEL,viewer decision,,,,,,NO,EP02_ONLY
GW-SHOT-089,338.120,343.405,5.285,GW-CUE-114,GW-CUE-116,GW_EN_STILL05_THREE_OBSERVERS_V2_FINAL.png,present / past / future observers,RECONSTRUCTION,H protocol participants,,,,,,NO,EP02_ONLY
GW-SHOT-090,343.405,349.525,6.120,GW-CUE-117,GW-CUE-117,GW_EN_INNER14_RECOMMENDATION_H_TRIAL_NATIVE.png,three booths converge on target,INNER / HYPOTHESIS,H comparison logic,,,,,,NO,EP02_ONLY
GW-SHOT-091,349.525,355.755,6.230,GW-CUE-118,GW-CUE-120,GW_EN_FILMIC20_AUTHORIZATION_HAND_NATIVE.png,hand suspended above authorization,RECONSTRUCTION,binary viewer decision,,,,,,NO,EP02_ONLY
GW-SHOT-092,355.755,357.745,1.990,GW-CUE-121,GW-CUE-121,GW_EN_DOC41_RECOMMENDATION_INTRO.png,recommendations heading,ORIGINAL DOCUMENT,McDonnell continues,,,,,,NO,EP02_ONLY
GW-SHOT-093,357.745,362.755,5.010,GW-CUE-122,GW-CUE-122,GW_EN_DOC39_NONCORPOREAL_DETAIL.png,non-corporal forms detail,ORIGINAL DOCUMENT,Recommendation J exact attribution,GW_EN_INNER15_NONPHYSICAL_PRESENCE_NATIVE.png,,,,,NO,EP02_ONLY
GW-SHOT-094,362.755,367.625,4.870,GW-CUE-122,GW-CUE-122,GW_EN_INNER15_NONPHYSICAL_PRESENCE_NATIVE.png,alternate verified source/state,ORIGINAL DOCUMENT,Recommendation J exact attribution,GW_EN_DOC39_NONCORPOREAL_DETAIL.png,,,,,NO,EP02_ONLY
GW-SHOT-095,367.625,372.905,5.280,GW-CUE-123,GW-CUE-123,GW_EN_DOC40_HOLOGRAPHIC_DEFENCE.png,holographic defence detail,ORIGINAL DOCUMENT,Recommendation K exact attribution,GW_EN_INNER11_DEFENSIVE_PERIMETER_NATIVE.png,,,,,NO,EP02_ONLY
GW-SHOT-096,372.905,377.825,4.920,GW-CUE-123,GW-CUE-123,GW_EN_INNER11_DEFENSIVE_PERIMETER_NATIVE.png,alternate verified source/state,ORIGINAL DOCUMENT,Recommendation K exact attribution,GW_EN_DOC40_HOLOGRAPHIC_DEFENCE.png,,,,,NO,EP02_ONLY
GW-SHOT-097,377.825,381.595,3.770,GW-CUE-124,GW-CUE-124,GW_EN_CARD_RECOMMENDATION_JK.png,J and K,MODEL,headphones-to-doctrine contrast,,,,,,NO,EP02_ONLY
GW-SHOT-098,381.595,386.855,5.260,GW-CUE-125,GW-CUE-125,GW_EN_DOC16_RECOMMENDATIONS_JK.png,J/K source context,ORIGINAL DOCUMENT,unestablished defensive doctrine,,,,,,NO,EP02_ONLY
GW-SHOT-099,386.855,390.670,3.815,GW-CUE-126,GW-CUE-126,GW_EN_DOC59_FFR_MODERN_BOUNDARY.png,frequency-response detail,ORIGINAL DOCUMENT,return to testable sound,,,,,,NO,EP02_ONLY
GW-SHOT-100,390.670,396.330,5.660,GW-CUE-127,GW-CUE-127,GW_EN_FILMIC22_MODERN_EEG_LAB_NATIVE.png,anonymous EEG test,RECONSTRUCTION,modern study domains,,,,,,NO,EP02_ONLY
GW-SHOT-101,396.330,402.300,5.970,GW-CUE-128,GW-CUE-129,GW_EN_CARD_EVIDENCE_MIXED.png,modest psychological effects,MODEL,review outcome,,,,,,NO,EP02_ONLY
GW-SHOT-102,402.300,406.830,4.530,GW-CUE-130,GW-CUE-130,GW_EN_CARD_EEG_MIXED.png,EEG entrainment mixed,MODEL,entrainment uncertainty,,,,,,NO,EP02_ONLY
GW-SHOT-103,406.830,411.820,4.990,GW-CUE-131,GW-CUE-131,GW_EN_INNER12_STATE_NOT_INFORMATION_NATIVE.png,altered state separated from hidden target,INNER / HYPOTHESIS,central evidentiary gap,,,,,,NO,EP02_ONLY
GW-SHOT-104,411.820,415.395,3.575,GW-CUE-132,GW-CUE-132,GW_EN_CARD_HIDDEN_DIGITS_GAP.png,not reading digits,MODEL,feeling versus retrieval,,,,,,NO,EP02_ONLY
GW-SHOT-105,415.395,419.230,3.835,GW-CUE-133,GW-CUE-133,GW_EN_FILMIC23_NO_DATASET_EMPTY_LAB_NATIVE.png,empty modern lab,RECONSTRUCTION,controlled-data gap,,,,,,NO,EP02_ONLY
GW-SHOT-106,419.230,422.395,3.165,GW-CUE-134,GW-CUE-135,GW_EN_DOC54_SUBJECT_RECAP.png,memorandum subject detail,ORIGINAL DOCUMENT,authenticity and subject recap,,,,,,NO,EP02_ONLY
GW-SHOT-107,422.395,426.970,4.575,GW-CUE-136,GW-CUE-136,GW_EN_DOC55_AUTHOR_RECAP.png,author detail,ORIGINAL DOCUMENT,visible author provenance,,,,,,NO,EP02_ONLY
GW-SHOT-108,426.970,429.640,2.670,GW-CUE-137,GW-CUE-137,GW_EN_DOC56_FOCUS_RECAP_ALT.png,Travel into the Past,ORIGINAL DOCUMENT,verified Focus claim recap,,,,,,NO,EP02_ONLY
GW-SHOT-109,429.640,432.130,2.490,GW-CUE-138,GW-CUE-138,GW_EN_DOC46_DIGIT_RECAP.png,all-ten context,ORIGINAL DOCUMENT,verified digit result recap,,,,,,NO,EP02_ONLY
GW-SHOT-110,432.130,434.750,2.620,GW-CUE-139,GW-CUE-139,GW_EN_DOC53_NONCORPOREAL_RECAP.png,non-corporal detail,ORIGINAL DOCUMENT,verified doctrine recap,,,,,,NO,EP02_ONLY
GW-SHOT-111,434.750,439.695,4.945,GW-CUE-140,GW-CUE-140,GW_EN_CARD_PROOF_BOUNDARY.png,authentic document / unproven claim,MODEL,proof boundary,,,,,,NO,EP02_ONLY
GW-SHOT-112,439.695,442.950,3.255,GW-CUE-141,GW-CUE-141,GW_EN_CARD_ARMY_NOT_CIA_RECAP.png,Army written / CIA archived,MODEL,viral-claim correction,,,,,,NO,EP02_ONLY
GW-SHOT-113,442.950,445.790,2.840,GW-CUE-142,GW-CUE-142,GW_EN_DOC47_ARMY_HEADER_RECAP.png,Army header detail,ORIGINAL DOCUMENT,real document,,,,,,NO,EP02_ONLY
GW-SHOT-114,445.790,453.860,8.070,GW-CUE-143,GW-CUE-143,GW_EN_CLIP12_THREE_INPUTS_PROGRESS.mp4,audio / Bentov / anomalous reports illuminate in sequence,RECONSTRUCTION,three borrowed inputs,,0.000,8.000,0.991x,REVIEWED: continuous motion with documented internal progression.,NO,EP02_ONLY
GW-SHOT-115,453.860,457.880,4.020,GW-CUE-144,GW-CUE-144,GW_EN_CARD_H_PROTOCOL_RECAP.png,three times / one target,MODEL,three-time test recap,,,,,,NO,EP02_ONLY
GW-SHOT-116,457.880,459.990,2.110,GW-CUE-145,GW-CUE-145,GW_EN_CARD_OVERREACH.png,bureaucratic overreach,MODEL,closing interpretation one,,,,,,NO,EP02_ONLY
GW-SHOT-117,459.990,461.665,1.675,GW-CUE-146,GW-CUE-146,GW_EN_FILMIC25_COLD_WAR_DESPERATION_NATIVE.png,Cold War institutional anxiety,RECONSTRUCTION,closing interpretation two,,,,,,NO,EP02_ONLY
