cue_id,start,end,duration,voice_text,internal_mode,primary_asset,asset_state,fallback_asset,editorial_use,visible_mode_badge,reconstruction_context
GW-CUE-024,65.740,68.830,3.090,Monroe had built a successful career in radio broadcasting.,RECONSTRUCTION,GW_EN_FILMIC06_MONROE_RADIO_STUDIO_FINAL.png,anonymous period broadcast studio,,radio career context,NO,optional 1.5-2.0s at first block entry only
GW-CUE-025,69.880,75.280,5.400,Then he began describing episodes in which he seemed to observe his own body from outside it.,INNER / HYPOTHESIS,GW_EN_CLIP03_MONROE_EXIT.mp4,elevated viewpoint,,reported subjective episode,NO,none
GW-CUE-026,75.320,76.940,1.620,He did not respond like a mystic.,RECONSTRUCTION,GW_EN_FILMIC07_MONROE_LAB_BUILDER_FINAL.png,anonymous engineer at equipment bench,,engineering response and laboratory construction,NO,optional 1.5-2.0s at first block entry only
GW-CUE-027,77.560,79.540,1.980,He responded like an engineer.,RECONSTRUCTION,GW_EN_FILMIC07_MONROE_LAB_BUILDER_FINAL.png,anonymous engineer at equipment bench,,engineering response and laboratory construction,NO,optional 1.5-2.0s at first block entry only
GW-CUE-028,79.580,80.570,0.990,He built a laboratory.,RECONSTRUCTION,GW_EN_FILMIC07_MONROE_LAB_BUILDER_FINAL.png,anonymous engineer at equipment bench,,engineering response and laboratory construction,NO,optional 1.5-2.0s at first block entry only
GW-CUE-029,81.280,88.520,7.240,"At the Monroe Institute in Virginia, recordings, spoken instructions, and numbered mental states became a training system.",RECONSTRUCTION,GW_EN_FILMIC08_GATEWAY_TRAINING_SESSION_FINAL.png,anonymous headphone session,,training-system context,NO,optional 1.5-2.0s at first block entry only
GW-CUE-030,88.580,90.000,1.420,Monroe called it Hemi-Sync.,ORIGINAL DOCUMENT,GW_EN_DOC03_HEMISYNC.png,Hemi-Sync line,,Hemi-Sync source,NO,none
GW-CUE-031,90.620,94.340,3.720,McDonnell was asked to assess how it might work and whether it could be useful.,ORIGINAL DOCUMENT,GW_EN_DOC21_HYPNOSIS.png,comparative technique detail,,assessment mechanism context,NO,none
GW-CUE-032,95.220,99.240,4.020,"To build an explanation, he turned to a man who had already been dead for four years.",ORIGINAL DOCUMENT,GW_EN_DOC17_BIBLIOGRAPHY.png,Bentov bibliography line,,dead inventor source trail,NO,none
GW-CUE-033,99.790,101.480,1.690,Itzhak Bentov was an inventor.,ORIGINAL DOCUMENT,GW_EN_DOC65_BENTOV_INVENTOR.png,patent inventor line and device drawing,,Itzhak Bentov introduction,NO,none
GW-CUE-034,102.120,104.940,2.820,His work contributed to the steerable cardiac catheter.,RECONSTRUCTION,GW_EN_FILMIC09_BENTOV_CATHETER_BENCH_FINAL.png,identity-neutral biomedical bench,,catheter contribution context,NO,optional 1.5-2.0s at first block entry only
GW-CUE-035,105.520,109.440,3.920,He also believed the human body behaved like an oscillating system.,RECONSTRUCTION,GW_EN_FILMIC10_BODY_OSCILLATION_TEST_FINAL.png,anonymous physiological test,,body oscillator concept,NO,optional 1.5-2.0s at first block entry only
GW-CUE-036,109.460,111.300,1.840,The heart and aorta created rhythm.,INNER / HYPOTHESIS,GW_EN_INNER05_BODY_RESONANCE_NATIVE.png,pressure wave through body and room,,heart-aorta rhythm and resonance,NO,none
GW-CUE-037,111.870,113.210,1.340,The body entered resonance.,INNER / HYPOTHESIS,GW_EN_INNER05_BODY_RESONANCE_NATIVE.png,pressure wave through body and room,,heart-aorta rhythm and resonance,NO,none
GW-CUE-038,113.580,118.880,5.300,"And consciousness, he proposed, could ride that resonance into a larger structure of reality.",INNER / HYPOTHESIS,GW_EN_INNER06_COHERENT_FIELD_NATIVE.png,coherence opens into structured field,,larger-reality hypothesis,NO,none
GW-CUE-039,118.920,124.760,5.840,"On May twenty-fifth, 1979, Bentov boarded American Airlines Flight 191 in Chicago.",ORIGINAL DOCUMENT,GW_EN_DOC19_NTSB_FLIGHT191.png,NTSB title and date,,Flight 191 official record,NO,none
GW-CUE-040,125.260,126.880,1.620,The flight was bound for Los Angeles.,MAP,GW_EN_MAP02_FLIGHT191_ROUTE_CONTEXT.png,Chicago to Los Angeles,,scheduled destination context,NO,none
GW-CUE-041,127.520,130.840,3.320,"Moments after takeoff, the aircraft lost an engine and crashed.",ARCHIVE,AA191_CRASH_SITE_NTSB_PD.png,FAA overhead crash site,,official crash-site archive,NO,none
GW-CUE-042,131.460,134.880,3.420,"Four years later, his model reappeared inside an Army analysis.",ORIGINAL DOCUMENT,GW_EN_DOC58_BENTOV_REAPPEARS.png,Bentov citation in report,,model reappears in Army analysis,NO,none
GW-CUE-043,135.500,136.829,1.329,Monroe supplied the training.,RECONSTRUCTION,GW_EN_FILMIC12_RIGHT_EAR_HEADPHONE_MACRO_FINAL.png,physical headphone detail,,Monroe supplied the training system,NO,optional 1.5-2.0s at first block entry only
GW-CUE-044,137.520,139.410,1.890,Bentov supplied the proposed physics.,RECONSTRUCTION,GW_EN_STILL02_BENTOV_OSCILLATOR_OBJECT_V4_FINAL.png,oscillator-object bench,,Bentov supplied the physical model,NO,optional 1.5-2.0s at first block entry only
GW-CUE-045,139.800,140.900,1.100,McDonnell connected them.,RECONSTRUCTION,GW_EN_STILL04_REPORTS_SIDE_BY_SIDE_V2_FINAL.png,single report-comparison block,,McDonnell connects the sources,NO,optional 1.5-2.0s at first block entry only
GW-CUE-046,141.880,144.260,2.380,"At first, the mechanism is real and modest.",ORIGINAL DOCUMENT,GW_EN_DOC23_BIOFEEDBACK.png,biofeedback detail,,real and modest comparison,NO,none
GW-CUE-047,144.840,146.800,1.960,Play four hundred hertz in the left ear.,MODEL,GW_EN_CARD_BEAT_400.png,400 hertz,,left-ear carrier,NO,none
GW-CUE-048,147.420,148.840,1.420,Four hundred and ten in the right.,MODEL,GW_EN_CARD_BEAT_410.png,410 hertz,,right-ear carrier,NO,none
GW-CUE-049,149.420,152.420,3.000,The listener perceives a pulse of roughly ten beats per second.,MODEL,GW_EN_CLIP04_BEAT_RESONANCE.mp4,difference tone resolves,,linear binaural-beat result,NO,none
GW-CUE-050,153.120,155.680,2.560,No speaker produces that pulse directly.,MODEL,GW_EN_CLIP04_BEAT_RESONANCE.mp4,difference tone resolves,,linear binaural-beat result,NO,none
GW-CUE-051,155.700,159.520,3.820,It emerges as the auditory system processes the difference between the tones.,ORIGINAL DOCUMENT,GW_EN_DOC04_FREQUENCY_RESPONSE.png,Frequency Following Response,,auditory-processing attribution,NO,none
GW-CUE-052,160.120,161.440,1.320,That is a binaural beat.,MODEL,GW_EN_CARD_BEAT_10HZ.png,400 / 410 / 10,,binaural beat resolved,NO,none
GW-CUE-053,162.040,166.150,4.110,Monroe proposed that these beats could help guide the brain toward particular patterns.,ORIGINAL DOCUMENT,GW_EN_DOC25_FFR_DETAIL.png,FFR close detail,,Monroe brain-pattern proposal,NO,none
GW-CUE-054,167.060,171.680,4.620,"If the hemispheres became more coherent, perhaps unusual states became easier to reach.",ORIGINAL DOCUMENT,GW_EN_DOC26_ELECTROMAGNETIC_RESPONSE.png,electromagnetic-response detail,,hemispheric-coherence hypothesis,NO,none
GW-CUE-055,172.300,176.720,4.420,Monroe had patented a related sound-based sleep technique in 1975.,ORIGINAL DOCUMENT,GW_EN_DOC18_MONROE_PATENT.png,inventor/date/title,,1975 patent anchor,NO,none
GW-CUE-056,177.360,183.040,5.680,"Up to this point, the document is talking about sound, attention, electrical activity, and altered state.",ORIGINAL DOCUMENT,GW_EN_DOC24_GATEWAY_COMPARISON.png,Gateway comparison detail,,modest mechanism recap,NO,none
GW-CUE-057,183.600,185.180,1.580,Then the report changes scale.,INNER / HYPOTHESIS,GW_EN_CLIP05_CROSSING.mp4,wave crosses conceptual threshold,,linear acoustics-to-cosmology transition,NO,none
GW-CUE-058,185.760,186.420,0.660,Watch the leap.,INNER / HYPOTHESIS,GW_EN_CLIP05_CROSSING.mp4,wave crosses conceptual threshold,,linear acoustics-to-cosmology transition,NO,none
GW-CUE-059,186.940,187.900,0.960,The body oscillates.,INNER / HYPOTHESIS,GW_EN_CLIP05_CROSSING.mp4,wave crosses conceptual threshold,,linear acoustics-to-cosmology transition,NO,none
GW-CUE-060,188.240,190.160,1.920,The brain produces electrical patterns.,INNER / HYPOTHESIS,GW_EN_CLIP05_CROSSING.mp4,wave crosses conceptual threshold,,linear acoustics-to-cosmology transition,NO,none
GW-CUE-061,190.740,193.200,2.460,Synchronization makes the patterns more coherent.,INNER / HYPOTHESIS,GW_EN_INNER17_INFORMATION_FIELD_NATIVE.png,wavefront enters nonordinary lattice,,coherence becomes speculation,NO,none
GW-CUE-062,193.820,203.360,9.540,"And then, McDonnell proposes, sufficiently coherent consciousness may connect with a field of information in which space and time do not behave as they do in ordinary perception.",INNER / HYPOTHESIS,GW_EN_INNER17_INFORMATION_FIELD_NATIVE.png,field bends ordinary perspective,GW_EN_DOC60_FIELD_INFORMATION_DETAIL.png,information-field claim,NO,none
GW-CUE-063,203.930,205.700,1.770,The page still looks like engineering.,ORIGINAL DOCUMENT,GW_EN_DOC07_TIME_SPACE.png,full time-space page,,engineering appearance,NO,none
GW-CUE-064,206.200,206.580,0.380,Arrows.,ORIGINAL DOCUMENT,GW_EN_DOC31_TIME_SPACE_DETAIL.png,arrow detail,,document visual syntax,NO,none
GW-CUE-065,206.940,207.370,0.430,Axes.,ORIGINAL DOCUMENT,GW_EN_DOC52_NESTED_SYSTEMS.png,axes and vortices,,document visual syntax,NO,none
GW-CUE-066,207.700,208.290,0.590,Vortices.,ORIGINAL DOCUMENT,GW_EN_DOC52_NESTED_SYSTEMS.png,axes and vortices,,document visual syntax,NO,none
GW-CUE-067,208.680,209.590,0.910,Nested systems.,ORIGINAL DOCUMENT,GW_EN_DOC32_CLICKING_OUT.png,system-boundary detail,,nested-system context,NO,none
GW-CUE-068,209.970,210.700,0.730,Army letterhead.,ORIGINAL DOCUMENT,GW_EN_DOC01_ARMY_HEADER.png,Army letterhead,,institutional contrast,NO,none
GW-CUE-069,211.340,214.130,2.790,But the report has crossed from acoustics into cosmology.,MODEL,GW_EN_CARD_CROSSING_SUMMARY.png,acoustics to cosmology,,crossing summary,NO,none
GW-CUE-070,215.180,217.040,1.860,There are three ways to read this crossing.,ORIGINAL DOCUMENT,GW_EN_DOC42_STUDY_LIMIT.png,study-limit line,,three-reading setup,NO,none
GW-CUE-071,217.680,222.060,4.380,One: McDonnell built a speculative metaphor and began treating it like a mechanism.,MODEL,GW_EN_CARD_CROSSING_COSMOLOGY.png,mechanism or metaphor,,speculative-metaphor reading,NO,none
GW-CUE-072,222.740,228.660,5.920,Two: the language reflects a military era willing to investigate any possible intelligence advantage.,ARCHIVE,FORT_MEADE_CURRENT_CC_BY_SA_2.jpg,Fort Meade aerial,,military-era context; contemporary image disclosed in credits,NO,none
GW-CUE-073,229.440,235.040,5.600,Three: unusual experiences persisted often enough that he believed the model deserved a test.,MODEL,GW_EN_CARD_INTERPRETATION_TEST.png,test-the-model question,,unusual reports motivate a test,NO,none
GW-CUE-074,235.570,238.460,2.890,The document does not tell us which interpretation is correct.,ORIGINAL DOCUMENT,GW_EN_DOC14_CONCLUSION.png,Conclusion line,,interpretive limit,NO,none
GW-CUE-075,239.160,240.700,1.540,It does show what he did next.,ORIGINAL DOCUMENT,GW_EN_DOC09_FOCUS15.png,full Focus-level page,,Focus map entry,NO,none
GW-CUE-076,241.320,241.990,0.670,He drew a map.,ORIGINAL DOCUMENT,GW_EN_DOC09_FOCUS15.png,full Focus-level page,,Focus map entry,NO,none
GW-CUE-077,242.660,243.329,0.669,Focus 10.,MODEL,GW_EN_CARD_FOCUS10_STATE.png,mind awake / body asleep,,Focus 10 definition,NO,none
GW-CUE-078,243.680,244.269,0.589,Mind awake.,MODEL,GW_EN_CARD_FOCUS10_STATE.png,mind awake / body asleep,,Focus 10 definition,NO,none
GW-CUE-079,244.580,245.269,0.689,Body asleep.,MODEL,GW_EN_CARD_FOCUS10_STATE.png,mind awake / body asleep,,Focus 10 definition,NO,none
GW-CUE-080,245.900,246.650,0.750,Focus 12.,INNER / HYPOTHESIS,GW_EN_INNER07_FOCUS12_EXPANSION_NATIVE.png,room expands beyond ordinary geometry,,Focus 12 subjective expansion,NO,none
GW-CUE-081,247.000,248.900,1.900,Awareness beyond the ordinary senses.,INNER / HYPOTHESIS,GW_EN_INNER07_FOCUS12_EXPANSION_NATIVE.png,room expands beyond ordinary geometry,,Focus 12 subjective expansion,NO,none
GW-CUE-082,249.340,251.360,2.020,Then comes the heading that changes the file.,MODEL,GW_EN_CARD_FOCUS15.png,Focus 15 / The Past,,Focus 15 heading reveal,NO,none
GW-CUE-083,252.220,253.140,0.920,Focus 15.,ORIGINAL DOCUMENT,GW_EN_DOC45_FOCUS15_RECAP.png,Travel into the Past detail,,Focus 15 source proof,NO,none
GW-CUE-084,253.480,254.560,1.080,Travel into the Past.,ORIGINAL DOCUMENT,GW_EN_DOC45_FOCUS15_RECAP.png,Travel into the Past detail,,Focus 15 source proof,NO,none
GW-CUE-085,255.180,257.380,2.200,McDonnell imagines time as a giant wheel.,MODEL,GW_EN_CLIP06_FOCUS_WHEEL.mp4,hub and past spokes,,linear time-wheel model,NO,none
GW-CUE-086,257.899,258.920,1.021,The hub is the present.,MODEL,GW_EN_CLIP06_FOCUS_WHEEL.mp4,hub and past spokes,,linear time-wheel model,NO,none
GW-CUE-087,259.300,262.000,2.700,The spokes extend toward points in a person's past.,MODEL,GW_EN_CLIP06_FOCUS_WHEEL.mp4,hub and past spokes,,linear time-wheel model,NO,none
GW-CUE-088,262.680,265.560,2.880,He also admits that the state is extremely difficult to reach.,INNER / HYPOTHESIS,GW_EN_INNER16_BODY_TURN_DIFFICULTY_NATIVE.png,stable body / displaced room,,difficulty caveat embodied,NO,none
GW-CUE-089,266.200,271.740,5.540,McDonnell wrote that fewer than five percent of participants in any given Gateway training achieved it fully.,MODEL,GW_EN_CARD_FEWER_5.png,fewer than five percent,,participation caveat,NO,none
GW-CUE-090,272.300,273.780,1.480,Then comes Focus 21.,ORIGINAL DOCUMENT,GW_EN_DOC10_FOCUS21.png,Focus 21 / The Future,,Focus 21 source proof,NO,none
GW-CUE-091,274.260,274.830,0.570,The Future.,ORIGINAL DOCUMENT,GW_EN_DOC10_FOCUS21.png,Focus 21 / The Future,,Focus 21 source proof,NO,none
GW-CUE-092,275.240,279.180,3.940,"Immediately afterward, the report gives physical instructions for leaving the body.",ORIGINAL DOCUMENT,GW_EN_DOC11_ROLLOUT.png,Out-of-Body Movement paragraph,,physical instructions,NO,none
GW-CUE-093,279.840,280.440,0.600,Roll out.,ORIGINAL DOCUMENT,GW_EN_DOC49_ROLL_OUT_DETAIL.png,roll out line,,instruction one,NO,none
GW-CUE-094,280.820,281.430,0.610,Rise upward.,INNER / HYPOTHESIS,GW_EN_INNER09_RISE_UPWARD_NATIVE.png,first-person rise upward,,instruction two visualized,NO,none
GW-CUE-095,281.930,282.950,1.020,Move through an opening.,ORIGINAL DOCUMENT,GW_EN_DOC51_OPENING_DETAIL.png,opening line,,instruction three,NO,none
GW-CUE-096,283.360,286.440,3.080,The language reads like a field manual for an impossible maneuver.,INNER / HYPOTHESIS,GW_EN_INNER08_FOCUS21_THRESHOLD_NATIVE.png,impossible threshold,,field-manual contrast,NO,none
GW-CUE-097,287.540,290.820,3.280,But an intelligence officer eventually has to ask a harder question.,RECONSTRUCTION,GW_EN_STILL03_TEN_DIGIT_PARTICIPANT_V2_FINAL.png,anonymous participant,,intelligence-test question,NO,optional 1.5-2.0s at first block entry only
GW-CUE-098,291.440,292.720,1.280,Can it retrieve information?,ORIGINAL DOCUMENT,GW_EN_DOC35_DIGIT_PROCEDURE.png,computer-generated numbers detail,,hidden sequence procedure,NO,none
GW-CUE-099,293.340,294.900,1.560,This is where the ten digits appear.,ORIGINAL DOCUMENT,GW_EN_DOC12_TEN_DIGITS.png,full paragraph,,ten-digit source entry,NO,none
GW-CUE-100,295.260,298.220,2.960,A computer-generated sequence is placed at another location.,MODEL,GW_EN_CLIP07_TEN_DIGITS.mp4,placement to attempted retrieval,,linear test procedure,NO,none
GW-CUE-101,298.880,300.080,1.200,Nobody in the room knows it.,MODEL,GW_EN_CLIP07_TEN_DIGITS.mp4,placement to attempted retrieval,,linear test procedure,NO,none
GW-CUE-102,300.640,303.620,2.980,Participants are supposed to read the sequence while out of body.,MODEL,GW_EN_CLIP07_TEN_DIGITS.mp4,placement to attempted retrieval,,linear test procedure,NO,none
GW-CUE-103,304.260,311.660,7.400,"According to a Monroe Institute trainer cited by McDonnell, some obtained enough matching digits to convince him their attention had reached the lab.",ORIGINAL DOCUMENT,GW_EN_DOC57_MATCHING_DIGITS.png,matching-digits source,GW_EN_FILMIC19_PARTIAL_DIGIT_NOTES_NATIVE.png,trainer-attributed partial result,NO,none
GW-CUE-104,312.280,313.680,1.400,Nobody obtains all ten.,ORIGINAL DOCUMENT,GW_EN_DOC36_DIGIT_FAILURE.png,none got all ten,,negative boundary,NO,none
GW-CUE-105,314.220,316.090,1.870,That result is the center of the episode.,MODEL,GW_EN_CARD_TEST_NOT_PROOF.png,not a clean demonstration,,episode hinge,NO,none
GW-CUE-106,316.800,317.870,1.070,Not a clean success.,MODEL,GW_EN_CARD_TEST_NOT_PROOF.png,not a clean demonstration,,episode hinge,NO,none
GW-CUE-107,318.420,319.710,1.290,Not a clean demonstration.,MODEL,GW_EN_CARD_TEST_NOT_PROOF.png,not a clean demonstration,,episode hinge,NO,none
GW-CUE-108,320.330,322.660,2.330,Just enough resemblance to keep the report moving.,ORIGINAL DOCUMENT,GW_EN_DOC37_DISTORTION_DETAIL.png,distortion detail,,partial-resemblance rationale,NO,none
GW-CUE-109,323.240,324.780,1.540,McDonnell blames distortion.,ORIGINAL DOCUMENT,GW_EN_DOC13_DISTORTION.png,information-distortion paragraph,,distortion attribution,NO,none
GW-CUE-110,325.120,329.840,4.720,"Impressions from the target, the present environment, and other moments supposedly blend together.",INNER / HYPOTHESIS,GW_EN_INNER10_DISTORTION_BLEND_NATIVE.png,target / room / time impressions,,three-source blend,NO,none
GW-CUE-111,330.640,332.720,2.080,The observer cannot tell what belongs where.,MODEL,GW_EN_CARD_SOURCE_UNCERTAIN.png,which belongs where,,observer source ambiguity,NO,none
GW-CUE-112,333.140,336.160,3.020,And the failed result becomes the design for Recommendation H.,ORIGINAL DOCUMENT,GW_EN_DOC38_MULTIFOCUS_DETAIL.png,multi-focus detail,,failed result becomes H,NO,none
GW-CUE-113,336.920,337.840,0.920,Would you authorize it?,MODEL,GW_EN_CARD_DECISION_QUESTION.png,authorize question,,viewer decision,NO,none
GW-CUE-114,338.400,339.660,1.260,One observer in the present.,RECONSTRUCTION,GW_EN_STILL05_THREE_OBSERVERS_V2_FINAL.png,present / past / future observers,,H protocol participants,NO,optional 1.5-2.0s at first block entry only
GW-CUE-115,340.140,341.360,1.220,One in the immediate past.,RECONSTRUCTION,GW_EN_STILL05_THREE_OBSERVERS_V2_FINAL.png,present / past / future observers,,H protocol participants,NO,optional 1.5-2.0s at first block entry only
GW-CUE-116,341.820,342.990,1.170,One in the immediate future.,RECONSTRUCTION,GW_EN_STILL05_THREE_OBSERVERS_V2_FINAL.png,present / past / future observers,,H protocol participants,NO,optional 1.5-2.0s at first block entry only
GW-CUE-117,343.820,349.150,5.330,"If all three describe the same thing, McDonnell hopes agreement will isolate the target from the distortion.",INNER / HYPOTHESIS,GW_EN_INNER14_RECOMMENDATION_H_TRIAL_NATIVE.png,three booths converge on target,,H comparison logic,NO,none
GW-CUE-118,349.900,350.920,1.020,Authorize the test?,RECONSTRUCTION,GW_EN_FILMIC20_AUTHORIZATION_HAND_NATIVE.png,hand suspended above authorization,,binary viewer decision,NO,optional 1.5-2.0s at first block entry only
GW-CUE-119,351.320,352.520,1.200,Or stop the program here?,RECONSTRUCTION,GW_EN_FILMIC20_AUTHORIZATION_HAND_NATIVE.png,hand suspended above authorization,,binary viewer decision,NO,optional 1.5-2.0s at first block entry only
GW-CUE-120,353.310,355.390,2.080,Leave one word: AUTHORIZE or STOP.,RECONSTRUCTION,GW_EN_FILMIC20_AUTHORIZATION_HAND_NATIVE.png,hand suspended above authorization,,binary viewer decision,NO,optional 1.5-2.0s at first block entry only
GW-CUE-121,356.120,357.230,1.110,McDonnell did not stop.,ORIGINAL DOCUMENT,GW_EN_DOC41_RECOMMENDATION_INTRO.png,recommendations heading,,McDonnell continues,NO,none
GW-CUE-122,358.260,367.250,8.990,"Recommendation J says participants should be intellectually prepared for possible encounters with intelligent, non-corporeal energy forms beyond ordinary space-time.",ORIGINAL DOCUMENT,GW_EN_DOC39_NONCORPOREAL_DETAIL.png,non-corporal forms detail,GW_EN_INNER15_NONPHYSICAL_PRESENCE_NATIVE.png,Recommendation J exact attribution,NO,none
GW-CUE-123,368.000,377.810,9.810,Recommendation K proposes that groups in Focus 12 build holographic patterns around sensitive areas to repel possible unwanted out-of-body presences.,ORIGINAL DOCUMENT,GW_EN_DOC40_HOLOGRAPHIC_DEFENCE.png,holographic defence detail,GW_EN_INNER11_DEFENSIVE_PERIMETER_NATIVE.png,Recommendation K exact attribution,NO,none
GW-CUE-124,377.840,381.270,3.430,The report is no longer merely asking whether headphones change attention.,MODEL,GW_EN_CARD_RECOMMENDATION_JK.png,J and K,,headphones-to-doctrine contrast,NO,none
GW-CUE-125,381.920,386.510,4.590,It is outlining a defensive doctrine for a space whose existence has not been established.,ORIGINAL DOCUMENT,GW_EN_DOC16_RECOMMENDATIONS_JK.png,J/K source context,,unestablished defensive doctrine,NO,none
GW-CUE-126,387.200,390.400,3.200,"Decades later, the modest part of the chain remains testable.",ORIGINAL DOCUMENT,GW_EN_DOC59_FFR_MODERN_BOUNDARY.png,frequency-response detail,,return to testable sound,NO,none
GW-CUE-127,390.940,396.020,5.080,"Studies of binaural beats have examined attention, anxiety, pain, and brain activity.",RECONSTRUCTION,GW_EN_FILMIC22_MODERN_EEG_LAB_NATIVE.png,anonymous EEG test,,modern study domains,NO,optional 1.5-2.0s at first block entry only
GW-CUE-128,396.640,398.640,2.000,Results vary by method and outcome.,MODEL,GW_EN_CARD_EVIDENCE_MIXED.png,modest psychological effects,,review outcome,NO,none
GW-CUE-129,399.400,401.880,2.480,Some reviews find modest psychological effects.,MODEL,GW_EN_CARD_EVIDENCE_MIXED.png,modest psychological effects,,review outcome,NO,none
GW-CUE-130,402.720,406.520,3.800,Evidence that the brain reliably locks to the intended frequency is mixed.,MODEL,GW_EN_CARD_EEG_MIXED.png,EEG entrainment mixed,,entrainment uncertainty,NO,none
GW-CUE-131,407.140,411.420,4.280,"Even if the sound changes a mental state, the central evidentiary gap remains.",INNER / HYPOTHESIS,GW_EN_INNER12_STATE_NOT_INFORMATION_NATIVE.png,altered state separated from hidden target,,central evidentiary gap,NO,none
GW-CUE-132,412.220,415.070,2.850,Feeling different is not evidence of reading hidden digits.,MODEL,GW_EN_CARD_HIDDEN_DIGITS_GAP.png,not reading digits,,feeling versus retrieval,NO,none
