id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind,script_act,shot_use,verification_status,verification_date
EP04A_PORTRAIT_003,EP04A,C. G. Jung – historisches Portrait aus Ortsmuseum-Zollikon-Kontext,GREEN,Public domain / old photograph per Commons,https://commons.wikimedia.org/wiki/File:CGJung.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/CGJung.jpg,EP04A_Jung_portrait_PD.jpg,EP04A/01_ORIGINAL_GREEN/PORTRAITS,1,image,S1;S4,"Allgemeines Portrait für Name-/Person-Reveal; kein exaktes Jahr behaupten.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04A_PLACE_006,EP04A,Bollingen Tower – heutige Außenansicht,YELLOW,CC BY-SA 4.0 — Davide Mauro,https://commons.wikimedia.org/wiki/File:Bollingen%20Tower%201.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bollingen%20Tower%201.jpg,EP04A_Bollingen_Tower_CC-BY-SA-4.0.jpg,EP04A/02_REVIEW_YELLOW/PLACES,1,image,S3;S8,"Symbolischer Ort/ruhiger Hold 5–7 s; heutige Aufnahme, kein Beleg für 1913.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04A_PORTRAIT_004,EP04A,"Jakob Wilhelm Hauer, 1935",YELLOW,"CC BY-SA 3.0 DE — Bundesarchiv, Bild 183-2004-0413-500",https://commons.wikimedia.org/wiki/File:Bundesarchiv%20Bild%20183-2004-0413-500%2C%20Prof.%20Jakob%20Wilhelm%20Hauer.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bundesarchiv%20Bild%20183-2004-0413-500%2C%20Prof.%20Jakob%20Wilhelm%20Hauer.jpg,EP04A_Jakob_Wilhelm_Hauer_1935_Bundesarchiv_CC-BY-SA-3.0.jpg,EP04A/02_REVIEW_YELLOW/PORTRAITS,1,image,S4,"Hauer-Reveal; Aufnahme 1935 labeln, nicht als Foto seines Zürcher Vortrags 1932.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04A_MAP_001,EP04A,Europa 1914 – Shepherd Historical Atlas map,GREEN,Public domain / old atlas work,https://commons.wikimedia.org/wiki/File:Europe%201914%20Shepherd.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Europe%201914%20Shepherd.jpg,EP04A_Europe_1914_Shepherd_PD.jpg,EP04A/01_ORIGINAL_GREEN/MAPS,1,image,S2,"1914-Kriegssnap / Zeitanker; 2–3 s, nicht als Beleg für Jungs Vision.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
SHARED_CHAKRA_001,EP04A;EP04B,The centres or Lotuses of Yoga — Serpent Power / Wellcome M0005455,GREEN,"CC BY 4.0 — Wellcome Library, London, M0005455",https://commons.wikimedia.org/wiki/File:The%20centres%20or%20Lotuses%20of%20Yoga%2C%20in%20Avalon%27s%20The%20Serpent%20Power%20Wellcome%20M0005455.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/The%20centres%20or%20Lotuses%20of%20Yoga%2C%20in%20Avalon%27s%20The%20Serpent%20Power%20Wellcome%20M0005455.jpg,SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,00_SHARED/01_ORIGINAL_GREEN/SERPENT_POWER,1,image,EP04A S1;S4;S7 / EP04B S3;S6,"Hero-Beleg: historisches Chakra-/Lotusbild. In EP04A niemals als Jungs persönliche schwarze Schlange ausgeben.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
SHARED_CHAKRA_002,EP04A;EP04B,"Traditional Hindu Diagram of Brow Chakra — The Serpent Power, early edition context",GREEN,Public domain / old work,https://commons.wikimedia.org/wiki/File:Traditional%20Hindu%20Diagram%20of%20Brow%20Chakra.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Traditional%20Hindu%20Diagram%20of%20Brow%20Chakra.jpg,SHARED_Brow_Chakra_Serpent_Power_PD.jpg,00_SHARED/01_ORIGINAL_GREEN/SERPENT_POWER,1,image,EP04A S7 / EP04B S3;S6,"Detailbeleg für historische Symbolgrammatik; 3–5 s Detailcrop.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
SHARED_CHAKRA_003,EP04A;EP04B,Uddiyana Bandha in Siddhasana — plate from The Serpent Power,GREEN,Public domain / old work,https://commons.wikimedia.org/wiki/File:Plate%20XII.%20Uddiyana%20Bandha%20in%20Siddhasana%20%E2%80%94%202nd%20Stage.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Plate%20XII.%20Uddiyana%20Bandha%20in%20Siddhasana%20%E2%80%94%202nd%20Stage.jpg,SHARED_Serpent_Power_Uddiyana_Bandha_PD.jpg,00_SHARED/01_ORIGINAL_GREEN/SERPENT_POWER,1,image,EP04A S4 / EP04B S3,"Historischer Praxis-/Körperkontext; nie als anatomischer Chakra-Beweis verwenden.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
SHARED_BOOK_001,EP04A;EP04B,"Arthur Avalon / John Woodroffe — The Serpent Power, 1924 scan",GREEN,Internet Archive item metadata: dc.rights 'In public domain',https://archive.org/details/in.ernet.dli.2015.283748,https://archive.org/download/in.ernet.dli.2015.283748/2015.283748.The-Serpent.pdf,SHARED_The_Serpent_Power_1924_PD.pdf,00_SHARED/04_MANUAL_LARGE_SOURCE/SERPENT_POWER,0,pdf,EP04A S7 / EP04B S3;S4,"Primärscan zum manuellen Seitenziehen; Ausgabe 1924 im Bild labeln. Nicht als facsimile der 1919-Erstausgabe ausgeben.",SOURCE_OK_DOWNLOAD_ROUTE_RESOLVED_RUNTIME_REDIRECT_QA,2026-08-23
EP04B_PORTRAIT_001,EP04B,"Charles Webster Leadbeater, ca. 1925",GREEN,Public domain / author died 1934,https://commons.wikimedia.org/wiki/File:Charles%20Webster%20Leadbeater.001.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Charles%20Webster%20Leadbeater.001.jpg,EP04B_Leadbeater_c1925_PD.jpg,EP04B/01_ORIGINAL_GREEN/PORTRAITS,1,image,S5,"Leadbeater-Hero-Portrait; 3–4 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_PORTRAIT_002,EP04B,Charles Webster Leadbeater — alternative historical photograph,GREEN,Public domain / old photograph,https://commons.wikimedia.org/wiki/File:Charles%20Webster%20Leadbeater.005.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Charles%20Webster%20Leadbeater.005.jpg,EP04B_Leadbeater_alt_PD.jpg,EP04B/01_ORIGINAL_GREEN/PORTRAITS,1,image,S5,"Variation nach Hero-Portrait; nicht zwei Portraits direkt nacheinander halten.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_GROUP_001,EP04B,"Annie Besant und C. W. Leadbeater, London 1901",GREEN,Public domain / PD-Art / old photograph,https://commons.wikimedia.org/wiki/File:Annie%20Besant%20and%20CWLeadbeater%20London%201901.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Annie%20Besant%20and%20CWLeadbeater%20London%201901.jpg,EP04B_Besant_Leadbeater_London_1901_PD.jpg,EP04B/01_ORIGINAL_GREEN/GATHERINGS,1,image,S5,"Theosophisches Netzwerk; kurzer Kontextbeat, exaktes Jahr 1901 labeln.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_PORTRAIT_003,EP04B,"Annie Besant — Library of Congress portrait, ca. 1897",GREEN,Public domain / Library of Congress old photograph,https://commons.wikimedia.org/wiki/File:Annie%20Besant%2C%20half-length%20portrait%2C%20seated%2C%20facing%20slightly%20right%20LCCN91786293.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Annie%20Besant%2C%20half-length%20portrait%2C%20seated%2C%20facing%20slightly%20right%20LCCN91786293.jpg,EP04B_Annie_Besant_c1897_LOC_PD.jpg,EP04B/01_ORIGINAL_GREEN/PORTRAITS,1,image,S5,"Zusätzlicher Theosophie-Kontext; nicht als 1927-Aufnahme ausgeben.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_GROUP_002,EP04B,"Erste Theosophical Society Convention in Adyar/Madras, 1883",GREEN,CC BY 3.0,https://commons.wikimedia.org/wiki/File:1st-TS-convention%20Adyar-Madras-1883.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/1st-TS-convention%20Adyar-Madras-1883.jpg,EP04B_TS_Convention_Adyar_1883_CC-BY-3.0.jpg,EP04B/01_ORIGINAL_GREEN/ADYAR_GATHERINGS,1,image,S2;S5,"Historische Institution/Versammlung; 1883 explizit labeln, nicht als Leadbeater-1927-Ereignis.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_PLACE_001,EP04B,"Theosophical Society Headquarters Adyar, 1890",GREEN,Public domain / old work,https://commons.wikimedia.org/wiki/File:Adyar%20TG.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Adyar%20TG.jpg,EP04B_Adyar_HQ_1890_PD.jpg,EP04B/01_ORIGINAL_GREEN/ADYAR,1,image,S5,"Historischer Ortsanker für Theosophie/Adyar; 3–4 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_PLACE_002,EP04B,"Library building, Theosophical Society Adyar, 1920",GREEN,Public domain / 1920 publication,"https://commons.wikimedia.org/wiki/File:Library%20building%20at%20Theosophical%20Society%2C%20Adyar%20from%20Grandhalaya%20Sarvasvamu.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Library%20building%20at%20Theosophical%20Society%2C%20Adyar%20from%20Grandhalaya%20Sarvasvamu.jpg,EP04B_Adyar_Library_1920_PD.jpg,EP04B/01_ORIGINAL_GREEN/ADYAR,1,image,S4;S5,"Text-/Archiv-/Vermittlungswelt; langsamer Detailpush.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_PLACE_003,EP04B,Theosophical Society Adyar – heutige Campusansicht,YELLOW,CC BY-SA 2.0 — Aleksandr Zykov,https://commons.wikimedia.org/wiki/File:The%20Theosophical%20Society%20%286708431041%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/The%20Theosophical%20Society%20%286708431041%29.jpg,EP04B_Adyar_current_CC-BY-SA-2.0.jpg,EP04B/02_REVIEW_YELLOW/ADYAR,1,image,S7;S8,"Moderne Orts-/Kontinuitätsatmosphäre; als 2011-Aufnahme labeln.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04B_PLACE_004,EP04B,Banyan Tree auf dem Adyar-Campus,YELLOW,CC BY-SA 2.0 — Aleksandr Zykov,https://commons.wikimedia.org/wiki/File:Banyan%20Tree%20%286708442469%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Banyan%20Tree%20%286708442469%29.jpg,EP04B_Adyar_Banyan_CC-BY-SA-2.0.jpg,EP04B/02_REVIEW_YELLOW/ADYAR,1,image,S7;S8,"Atmosphärischer Hold für kulturelle Kontinuität; kein historischer Beleg.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04B_PLACE_005,EP04B,High Court of Calcutta — historische Ansicht von Francis Frith,GREEN,"Public domain / Francis Frith (1822–1898), term expired",https://commons.wikimedia.org/wiki/File:High%20Court%20of%20Calcutta%20%28Third%20view%29%20by%20Francis%20Frith.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/High%20Court%20of%20Calcutta%20%28Third%20view%29%20by%20Francis%20Frith.jpg,EP04B_Calcutta_High_Court_Frith_PD.jpg,EP04B/01_ORIGINAL_GREEN/CALCUTTA,1,image,S4,"Woodroffe/kolonialer Rechtskontext; als 19.-Jh.-Ansicht labeln, nicht exakte Woodroffe-Aufnahme.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_001,EP04B,"Leadbeater: sieben Chakra-Abbildungen kombiniert, 1927",GREEN,Public domain / C. W. Leadbeater (d. 1934),https://commons.wikimedia.org/wiki/File:7%20Chakras%20Combined%20Reordered.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/7%20Chakras%20Combined%20Reordered.JPG,EP04B_Leadbeater_7_Chakras_Combined_1927_PD.jpg,EP04B/01_ORIGINAL_GREEN/LEADBEATER_PLATES,1,image,S5;S6,"Starker Dokument-Reveal und Morph-Quelle; langsam Details isolieren.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_002,EP04B,"Leadbeater: Chakras picture sheet, 1927",GREEN,Public domain / C. W. Leadbeater (d. 1934),https://commons.wikimedia.org/wiki/File:Leadbeater%27s%20Chakras%20Pictures.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/Leadbeater%27s%20Chakras%20Pictures.JPG,EP04B_Leadbeater_Chakras_Pictures_1927_PD.jpg,EP04B/01_ORIGINAL_GREEN/LEADBEATER_PLATES,1,image,S5;S6,"Hero-Plate-Set; dokumentiert die farbige clairvoyante Neuinterpretation.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_003,EP04B,"Leadbeater: Root chakra plate, 1927",GREEN,Public domain / C. W. Leadbeater (d. 1934),https://commons.wikimedia.org/wiki/File:Chakraroot.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Chakraroot.jpg,EP04B_Leadbeater_Root_1927_PD.jpg,EP04B/01_ORIGINAL_GREEN/LEADBEATER_PLATES,1,image,S6,"Detail für Mutationssequenz; 2–3 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_004,EP04B,"Leadbeater: Heart chakra plate, 1927",GREEN,Public domain / C. W. Leadbeater (d. 1934),https://commons.wikimedia.org/wiki/File:Chakraheart.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Chakraheart.jpg,EP04B_Leadbeater_Heart_1927_PD.jpg,EP04B/01_ORIGINAL_GREEN/LEADBEATER_PLATES,1,image,S6,"Detail für Mutationssequenz; 2–3 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_005,EP04B,"Leadbeater: Throat chakra plate, 1927",GREEN,Public domain / C. W. Leadbeater (d. 1934),https://commons.wikimedia.org/wiki/File:Chakrathroat.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Chakrathroat.jpg,EP04B_Leadbeater_Throat_1927_PD.jpg,EP04B/01_ORIGINAL_GREEN/LEADBEATER_PLATES,1,image,S6,"Detail für Mutationssequenz; 2–3 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_006,EP04B,"Leadbeater: Crown chakra plate, 1927",GREEN,Public domain / C. W. Leadbeater (d. 1934),https://commons.wikimedia.org/wiki/File:Chakracrown.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Chakracrown.jpg,EP04B_Leadbeater_Crown_1927_PD.jpg,EP04B/01_ORIGINAL_GREEN/LEADBEATER_PLATES,1,image,S6,"Detail für Mutationssequenz; 2–3 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_007,EP04B,"Sapta Chakra, India, 1899",GREEN,Public domain / anonymous Indian work; British Library source,"https://commons.wikimedia.org/wiki/File:Sapta%20Chakra,%201899.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Sapta%20Chakra%2C%201899.jpg,EP04B_Sapta_Chakra_1899_PD.jpg,EP04B/01_ORIGINAL_GREEN/HISTORICAL_CHAKRA,1,image,S2;S6,"Beleg historischer visueller Vielfalt; 1899 labeln, nicht als Ṣaṭ-cakra-nirūpaṇa-Manuskript ausgeben.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04B_CHAKRA_008,EP04B,"Yogin with six chakras, Kangra/Punjab Hills, late 18th century",GREEN,Public domain / old Indian artwork,"https://commons.wikimedia.org/wiki/File:Yogin%20with%20six%20chakras,%20India,%20Punjab%20Hills,%20Kangra,%20late%2018th%20century.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Yogin%20with%20six%20chakras%2C%20India%2C%20Punjab%20Hills%2C%20Kangra%2C%20late%2018th%20century.jpg,EP04B_Yogin_six_chakras_late18c_PD.jpg,EP04B/01_ORIGINAL_GREEN/HISTORICAL_CHAKRA,1,image,S2;S3,"Starker Six-beat / historische Fremdheit. Nur 250×498 px: kurz/mit kontrolliertem Crop.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_LOW_RES,2026-08-23
EP04B_REF_001,EP04B,Crown/Brow/Throat Chakras — Commons metadata conflict on region/date,RED,"Rights appear public domain, but source metadata conflicts (title vs description); content/provenance not production-locked",https://commons.wikimedia.org/wiki/File:Crown%20Brow%20Throat%20Chakras%2C%20Rajasthan%2018th%20Century.jpg,,EP04B_REFERENCE_Crown_Brow_Throat_metadata_conflict.url.txt,EP04B/03_REFERENCE_ONLY/HISTORICAL_CHAKRA,0,none,S2,"Nur Recherche. Nicht verwenden, bis Provenienz/Datierung geklärt ist.",SOURCE_OK_REFERENCE_ONLY_METADATA_CONFLICT,2026-08-23
EP04B_REF_002,EP04B,"Sir John George Woodroffe portrait, NPG x42937, 1928",RED,Rights-managed / NPG reuse permission required; no production-safe reusable file confirmed,https://www.npg.org.uk/collections/search/portrait/mw173985/Sir-John-George-Woodroffe,,EP04B_REFERENCE_Woodroffe_NPG_1928.url.txt,EP04B/03_REFERENCE_ONLY/PORTRAITS,0,none,S4,"Likeness/reference only. Use Calcutta context + generic reconstruction instead of presenting a fake archive portrait.",SOURCE_OK_REFERENCE_ONLY_RIGHTS_MANAGED,2026-08-23
EP04B_REF_003,EP04B,Atal Bihari Ghose / Woodroffe collaboration research reference,RED,Research source; no verified reusable portrait found,https://soas-repository.worktribe.com/output/415744/the-creation-of-a-legendary-orientalist-sir-john-woodroffe-as-arthur-avalon-in-calcutta,,EP04B_REFERENCE_Atal_Bihari_Ghose_research.url.txt,EP04B/03_REFERENCE_ONLY/PORTRAITS_RESEARCH,0,none,S4,"Kein erfundenes Ghose-Portrait. Generic scholarly-collaboration reconstruction, explicitly labeled.",SOURCE_OK_REFERENCE_ONLY_NO_REUSABLE_PORTRAIT,2026-08-23
EP04A_REF_001,EP04A,"C. G. Jung, The Red Book / Liber Novus — Library of Congress exhibition reference",RED,Copyrighted modern publication/art reproduction; research/reference only unless separately cleared,https://www.loc.gov/exhibits/red-book-of-carl-jung/the-red-book-and-beyond.html,,EP04A_REFERENCE_Red_Book_LOC.url.txt,EP04A/03_REFERENCE_ONLY/RED_BOOK,0,none,S3,"Research only. Never copy Red Book plates/pages into generative reconstructions.",SOURCE_OK_REFERENCE_ONLY_COPYRIGHT,2026-08-23
EP04A_RECON_001,EP04A,1913 flood/train vision — reconstruction only,RED,No media source by design — RECONSTRUCTION,,,EP04A_RECON_001_A-R02.url.txt,EP04A/04_RECONSTRUCTION_REQUIRED,0,none,S2,"Subjective vision; no archive proxy.",NO_SOURCE_BY_DESIGN_RECONSTRUCTION_A-R02,2026-08-23
EP04A_RECON_002,EP04A,"Cave, red sun, beetle, corpse-like form — reconstruction only",RED,No media source by design — RECONSTRUCTION,,,EP04A_RECON_002_A-R03.url.txt,EP04A/04_RECONSTRUCTION_REQUIRED,0,none,S3,"Subjective inner scene; no fake historical photograph.",NO_SOURCE_BY_DESIGN_RECONSTRUCTION_A-R03,2026-08-23
EP04A_RECON_003,EP04A,Jung's large black snake — reconstruction only,RED,No media source by design — RECONSTRUCTION,,,EP04A_RECON_003_A-R04.url.txt,EP04A/04_RECONSTRUCTION_REQUIRED,0,none,S1;S3,"Must not be conflated with a historical Kundalini plate.",NO_SOURCE_BY_DESIGN_RECONSTRUCTION_A-R04,2026-08-23
EP04A_RECON_004,EP04A,Philemon — non-Red-Book reconstruction only,RED,No media source by design — RECONSTRUCTION,,,EP04A_RECON_004_A-R05.url.txt,EP04A/04_RECONSTRUCTION_REQUIRED,0,none,S3,"No copied Red Book artwork; subjective archetypal figure.",NO_SOURCE_BY_DESIGN_RECONSTRUCTION_A-R05,2026-08-23
EP04A_RECON_005,EP04A,Zurich 1932 seminar room / audience — reconstruction only,RED,No media source by design — RECONSTRUCTION,,,EP04A_RECON_005_A-R01.url.txt,EP04A/04_RECONSTRUCTION_REQUIRED,0,none,S1;S4,"No verified photo of exact seminar found; use place/portrait evidence around it.",NO_SOURCE_BY_DESIGN_RECONSTRUCTION_A-R01,2026-08-23
