take_id,section,take_start,take_end,cue_id,cue_start,cue_end,timing_method,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,edit_function,notes,asset_status,voice_stem
EP04A_TAKE_003_OKTOBER_1913,S2,58.478,87.039,A011,78.300,83.920,forced_alignment_anchor_1.00,Europa unter Wasser,yellow flood,IMG007,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG007_TRAIN_YELLOW_FLOOD.png,,dense,spectacle,subjective reconstruction,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_003_OKTOBER_1913.wav
EP04A_TAKE_003_OKTOBER_1913,S2,58.478,87.039,A012,83.920,87.039,forced_alignment_anchor_1.00,Meer rot,red flood,IMG008,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG008_FLOOD_RED_TRANSITION.png,,hold,mystery_hold,no gore,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_003_OKTOBER_1913.wav
EP04A_TAKE_004_DER_PSYCHIATER,S2,87.339,108.84,A013,93.340,106.220,forced_alignment_anchor_1.00,Jahre in der Psychiatrie,Burgholzli + clinical materials,EP04A_PLACE_003+EP04A_DOC_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\CLINIC\EP04A_Burghoelzli_c1890_PD.jpg;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\CLINIC_DOCUMENTS\EP04A_Jung_Association_Method_1910_PD.png,,normal,grounding,real evidence reset,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_004_DER_PSYCHIATER.wav
EP04A_TAKE_004_DER_PSYCHIATER,S2,87.339,108.84,A014,106.220,108.840,forced_alignment_anchor_1.00,von einer Psychose bedroht,clinical corridor reconstruction,IMG011,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG011_BURGHOELZLI_MEMORY_ROOM.png,,normal,stakes,no patient stock,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_004_DER_PSYCHIATER.wav
EP04A_TAKE_005_DER_KRIEG,S2,109.09,137.605,A015,109.900,123.240,forced_alignment_anchor_1.00,Sommer 1914,real Europe map,EP04A_MAP_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\MAPS\EP04A_Europe_1914_Shepherd_PD.jpg,,dense,reality_snap,do not imply prophecy proof,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_005_DER_KRIEG.wav
EP04A_TAKE_005_DER_KRIEG,S2,109.09,137.605,A016,123.240,135.580,forced_alignment_anchor_1.00,nicht alles darin nur privat,INNERES/AUSSERES motion,A-G04,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G04_INNERES_AEUSSERES.png,,normal,question_turn,no causal arrow,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_005_DER_KRIEG.wav
EP04A_TAKE_005_DER_KRIEG,S2,109.09,137.605,A017,135.580,137.605,forced_alignment_anchor_1.00,geht absichtlich zurück hinein,night desk,IMG012,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG012_DESK_GO_BACK_IN.png,,hold,cliffhanger,sound falls inward,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_005_DER_KRIEG.wav
EP04A_TAKE_006_AKTIVE_IMAGINATION,S3,138.355,161.9,A018,139.960,158.720,forced_alignment_anchor_1.00,wartet auf Bilder,waiting at desk,IMG013,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG013_WAITING_FOR_IMAGES.png,,normal,ritual_start,not occult ritual,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_006_AKTIVE_IMAGINATION.wav
EP04A_TAKE_006_AKTIVE_IMAGINATION,S3,138.355,161.9,A019,158.720,161.900,forced_alignment_anchor_1.00,fällt er in die Tiefe,vertical descent,IMG014,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG014_VERTICAL_FALL.png,,dense,threshold,POV fall,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_006_AKTIVE_IMAGINATION.wav
EP04A_TAKE_007_DIE_HOEHLE,S3,162.15,181.051,A020,162.150,166.360,take_interpolation,landet in einer Höhle,cave wide,IMG015,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG015_CAVE_WIDE.png,,hold,world_reveal,spacious sound,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_007_DIE_HOEHLE.wav
EP04A_TAKE_007_DIE_HOEHLE,S3,162.15,181.051,A021,166.360,171.060,forced_alignment_anchor_0.50,Leichnam / Käfer / rote Sonne,detail sequence,IMG017+IMG016,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG017_CORPSE_DISTANT_WATER.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG016_BEETLE_RED_SUN_MACRO.png,,dense,symbol_density,no gore,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_007_DIE_HOEHLE.wav
EP04A_TAKE_007_DIE_HOEHLE,S3,162.15,181.051,A022,171.060,174.200,forced_alignment_anchor_0.50,Elias / Salome,fragmented figures,IMG019,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG019_ELIAS_SALOME_FRAGMENTS.png,,normal,character_mystery,no Red Book imitation,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_007_DIE_HOEHLE.wav
EP04A_TAKE_007_DIE_HOEHLE,S3,162.15,181.051,A023,174.200,181.051,forced_alignment_anchor_1.00,große schwarze Schlange,snake wide,IMG018,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG018_BLACK_SNAKE_CAVE_WIDE.png,,hold,story_payoff,pay hook,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_007_DIE_HOEHLE.wav
EP04A_TAKE_008_PHILEMON,S3,181.451,212.798,A024,181.560,208.520,forced_alignment_anchor_1.00,Dann kommt Philemon,Philemon distance,IMG020,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG020_PHILEMON_DISTANCE.png,,hold,character_reveal,dignified not fantasy,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_008_PHILEMON.wav
EP04A_TAKE_008_PHILEMON,S3,181.451,212.798,A025,208.520,212.798,forced_alignment_anchor_1.00,subjektiv nicht wie Dinge,reflection/space detail,IMG020 or RSV01,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG020_PHILEMON_DISTANCE.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\RESERVE\EP04A_RSV01_CAVE_WATER_DETAIL.png,,normal,subjective_autonomy,do not visualize external entity claim,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_008_PHILEMON.wav
EP04A_TAKE_009_DER_BODEN,S3,213.098,232.881,A026,217.660,230.720,forced_alignment_anchor_1.00,Patienten / Familie / Arbeit / Alltag,real Jung house/clinic/desk sequence,archive+RSV04,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\RESERVE\EP04A_RSV04_HAND_NOTEBOOK_GROUNDING.png,,normal,grounding,reality is the stabilizer,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_009_DER_BODEN.wav
EP04A_TAKE_009_DER_BODEN,S3,213.098,232.881,A027,230.720,232.881,forced_alignment_anchor_1.00,"nichts hat, das einen hält",black to dry room transition,edit,,,hold,act_cliffhanger,prepare hard seminar reset,EDITORIAL_SOURCE_OR_MOTION,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_009_DER_BODEN.wav
EP04A_TAKE_010_ZURUECK_1932,S4,233.731,266.378,A028,233.820,239.120,forced_alignment_anchor_1.00,Herbst 1932,seminar reality reset,IMG021,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG021_SEMINAR_RETURN_ANONYMOUS.png,,dense,reorientation,archive dryness,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_010_ZURUECK_1932.wav
EP04A_TAKE_010_ZURUECK_1932,S4,233.731,266.378,A029,239.120,252.700,forced_alignment_anchor_1.00,Jakob Wilhelm Hauer,real Hauer portrait if rights-cleared,EP04A_PORTRAIT_004,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\02_REVIEW_YELLOW\PORTRAITS\EP04A_Jakob_Wilhelm_Hauer_1935_Bundesarchiv_CC-BY-SA-3.0.jpg,,normal,source_chain,label 1935 photo,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_010_ZURUECK_1932.wav
EP04A_TAKE_010_ZURUECK_1932,S4,233.731,266.378,A030,252.700,266.378,forced_alignment_anchor_1.00,Kundalini unten,real historical plate scan,SHARED_CHAKRA_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,normal,mechanism,"show original, not AI",READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_010_ZURUECK_1932.wav
EP04A_TAKE_011_WESTLICHER_ZUGRIFF,S4,266.628,295.56,A031,268.380,278.100,forced_alignment_anchor_0.67,eingebettet in Praxis,discipline context,IMG023,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG023_DISCIPLINE_CONTEXT.png,,normal,context,"generic reconstruction, no lineage claim",READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_011_WESTLICHER_ZUGRIFF.wav
EP04A_TAKE_011_WESTLICHER_ZUGRIFF,S4,266.628,295.56,A032,278.100,293.760,forced_alignment_anchor_1.00,Wir wollen die Technik,fast practical/object details,edit,,,dense,western_impulse,avoid caricature,EDITORIAL_SOURCE_OR_MOTION,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_011_WESTLICHER_ZUGRIFF.wav
EP04A_TAKE_011_WESTLICHER_ZUGRIFF,S4,266.628,295.56,A033,293.760,295.560,forced_alignment_anchor_1.00,eigener Schwerkraft,inner gravity room,IMG025,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG025_INNER_GRAVITY_ROOM.png,,hold,felt_experience,subtle surrealism,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_011_WESTLICHER_ZUGRIFF.wav
EP04A_TAKE_012_ZUSTAENDE,S4,295.81,314.293,A034,302.780,314.293,forced_alignment_anchor_1.00,liest sie als Zustände,real map + neutral state motion,A-G07,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G07_BODEN_AFFEKT_ABSTAND.png,,normal,concept_turn,not anatomy,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_012_ZUSTAENDE.wav
EP04A_TAKE_013_MULADHARA,S5,314.993,343.647,A035,315.720,330.220,forced_alignment_anchor_1.00,Muladhara,grounded ordinary objects,IMG026,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG026_MULADHARA_GROUND.png,,normal,map_start,no red chakra circle,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_013_MULADHARA.wav
EP04A_TAKE_013_MULADHARA,S5,314.993,343.647,A036,330.220,335.680,forced_alignment_anchor_1.00,Dann kommt Bewegung / Wasser,material-to-water transition,IMG027,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG027_WATER_MOVEMENT_TRANSITION.png,,normal,transition,brief,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_013_MULADHARA.wav
EP04A_TAKE_013_MULADHARA,S5,314.993,343.647,A037,335.680,343.647,forced_alignment_anchor_1.00,Manipura,body micro,IMG028,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG028_MANIPURA_BODY_MACRO.png,,dense,embodiment,body before theory,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_013_MULADHARA.wav
EP04A_TAKE_014_MANIPURA,S5,343.897,360.476,A038,344.100,346.020,forced_alignment_anchor_1.00,Gespräch beginnt sachlich,calm conversation,IMG029,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG029_CONVERSATION_BEFORE_TURN.png,,normal,relatability,ordinary room,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_014_MANIPURA.wav
EP04A_TAKE_014_MANIPURA,S5,343.897,360.476,A039,346.020,359.180,forced_alignment_anchor_1.00,Dann fällt ein Satz,affect shift,IMG030,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG030_CONVERSATION_AFFECT_SHIFT.png,,dense,escalation,no shouting,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_014_MANIPURA.wav
EP04A_TAKE_014_MANIPURA,S5,343.897,360.476,A040,359.180,360.476,forced_alignment_anchor_1.00,Du bist wütend,subjective compression,IMG031,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG031_SUBJECTIVE_COMPRESSION.png,,hold,identification,no text required,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_014_MANIPURA.wav
EP04A_TAKE_015_ANAHATA,S5,360.726,384.178,A041,364.160,372.860,forced_alignment_anchor_1.00,von Manipura zu Anahata,breath/open space,IMG032,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG032_ANAHATA_BREATH_OPEN.png,,normal,release,no green glow,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_015_ANAHATA.wav
EP04A_TAKE_015_ANAHATA,S5,360.726,384.178,A042,372.860,384.178,forced_alignment_anchor_1.00,Da ist Wut,ICH BIN -> DA IST motion,A-G08,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G08_03_DA_IST_WUT.png,,normal,cognitive_shift,minimal German type,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_015_ANAHATA.wav
