take_id,section,title,plan_start,plan_end,word_count,character_count,source_file,voice_status
EP07_TAKE_014,S5,ERFAHRUNG VOR ERZAEHLUNG,05:33.00,05:58.00,54,394,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_014_ERFAHRUNG_VOR_ERZAEHLUNG.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_015,S5,UND WAS PASSIERT DANACH,05:58.00,06:24.00,61,407,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_015_UND_WAS_PASSIERT_DANACH.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_016,S6,ZWEI MENSCHEN DIESELBE NACHT,06:24.00,06:47.00,56,361,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_016_ZWEI_MENSCHEN_DIESELBE_NACHT.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_017,S6,CTA,06:47.00,07:11.00,52,380,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_017_CTA.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_018,S7,AEGYPTEN UND DAENEMARK,07:11.00,07:34.00,40,286,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_018_AEGYPTEN_UND_DAENEMARK.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_019,S7,ZWEI DEUTUNGSRÄUME,07:34.00,07:59.00,46,372,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_019_ZWEI_DEUTUNGSRAUME.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_020,S7,WENN ANGST DIE NACHT VERLAENGERT,07:59.00,08:24.00,64,458,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_020_WENN_ANGST_DIE_NACHT_VERLAENGERT.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_021,S7,DIE RUECKKOPPLUNG,08:24.00,08:49.00,72,489,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_021_DIE_RUECKKOPPLUNG.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_022,S8,ZURUECK NACH SALEM,08:49.00,09:15.00,66,432,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_022_ZURUECK_NACH_SALEM.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_023,S8,KOERPER KULTUR KOERPER,09:15.00,09:42.00,57,407,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_023_KOERPER_KULTUR_KOERPER.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_024,S8,WIE EIN NACHTGEIST REIST,09:42.00,10:07.00,54,392,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_024_WIE_EIN_NACHTGEIST_REIST.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_025,S8,DER SCHATTEN IM RADIO,10:07.00,10:32.00,53,393,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_025_DER_SCHATTEN_IM_RADIO.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_026,END,ENDCARD,10:32.00,10:52.00,31,180,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_026_ENDCARD.txt,TEXT_READY_NOT_GENERATED
