asset_id,kind,register,model,file,bytes,sha256
H30_BUNKER_STAIR,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H30_BUNKER_STAIR.png,7534272,0ccdc09616bc6abbff0b35114f5eebf563a6efb95d9dd2b1764711fa2e65ab86
H31_CLIMATE_GAUGE,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H31_CLIMATE_GAUGE.png,7404166,d83010c9fc917666c68c38a01b4adaee1e2dc8cf006b30d0e314d371973faf31
H32_ROLLING_STACKS,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H32_ROLLING_STACKS.png,8273318,e0464247369a85af4989ea3d19e15ee8d1798c4ebbdc984e0bcf4c7f6c626827
H40_SCANNING_RIG,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H40_SCANNING_RIG.png,6293694,aead66dccab2956522d2ac3132606dbf6a65e2c7a47c7f1127e925d48f0866bb
H41_SERVER_AISLE,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H41_SERVER_AISLE.png,6706448,3a2b6dfd1302c4231475f263086fd141415e21fc8517a89f9926b6ad8b399b48
H42_ONE_PAGE_MISSED,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H42_ONE_PAGE_MISSED.png,5889119,68d706eea07c6bddf98ba7a63a7e0b4ea03cf334565de405fd7e8794d1853f57
L01_SHELVES_WITH_GAPS,still,C LOSS,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/L01_SHELVES_WITH_GAPS.png,6667733,ff31a1e97d371f09485041f9fe3b87f91dd1601ee2c3a41ed0d60ac2440ebaef
L02_DUST_OUTLINE,still,C LOSS,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/L02_DUST_OUTLINE.png,6305494,22d04b67821bf2df6d0ec1ffb62103e89a88097f9c29699dd63d2fc78c04b3a4
L03_SCALES_PAPER,still,C LOSS,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/L03_SCALES_PAPER.png,7008986,fc9c7f49273e6f3454ed1118f7df318e3f2ba373fa031a4318f1e22baa1eff5c
L04_GROCER_WRAPPING,still,C LOSS,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/L04_GROCER_WRAPPING.png,7204951,1771a7cd16bc2e196bd28f31409c9e4ff956aae58788e5e4401379283962c051
L05_EMPTY_CART_RETURNING,still,C LOSS,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/L05_EMPTY_CART_RETURNING.png,7039390,ec1c7a3792c5368a837f038116991ee3eaee9b98486e6c830b6524d2f2b11f84
L06_BURNT_EDGE,still,C LOSS,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/L06_BURNT_EDGE.png,8410615,a1d66db96ca56f7c0bfeb9008a024b5211f8ffd60f7339b82100a3438c38a330
EP14_CLIP01_SEAL_PRESSED,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP01_SEAL_PRESSED.mp4,8253725,4d7621469a940b6c3cc3fbdf2c19482b0c251f90b70e30371a22827507369013
EP14_CLIP02_CORD_THREADED,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP02_CORD_THREADED.mp4,5925858,13751c700f827041fee0b349bcc5fac958fc3b8d6130c4a407a5be8d1d9d257d
EP14_CLIP03_CRATE_CLOSED,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP03_CRATE_CLOSED.mp4,23665644,3665519fafe658cffb0ac49f9ab76bec01b2284906c802aa7791f5e8bb608fc2
EP14_CLIP04_CART_PASSES,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP04_CART_PASSES.mp4,11599120,13d7caf846812c3433f7ed2edaabbda80b0eae1ccb1ad4f163aafda3753b7c52
EP14_CLIP05_PAGE_TURNED,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP05_PAGE_TURNED.mp4,12680373,ad0cd4538ab60df3deeade0098898fc77465dae3f0ca987a046117aa9806c36c
EP14_CLIP06_SCALE_TIPS,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP06_SCALE_TIPS.mp4,8435435,d52ff26ee50e7266f9f9ce4f41130f7a1c1ff0876d31628a4391b08e38a79390
EP14_CLIP07_WRAPPING,clip,CLIP,veo-3.1-generate-001,03_VISUALS/CLIPS/EP14_CLIP07_WRAPPING.mp4,8819985,1cf54f629c3eb5899ec95526a8978abde975f9b6bca1539a86bdee45c31fbf75
EP14_CARD01_THE_OBJECT,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD01_THE_OBJECT.png,6973781,32a0880620aa8527230cbe8f460abccba62ad5e980fcc5db1e29de61f45fcc28
EP14_CARD02_SECRETUM,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD02_SECRETUM.png,7717808,ebfff6834c156f739e5e373a5ff3d65d2991bb5bf894579ca8e55926e90ecf8b
EP14_CARD03_OPENED,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD03_OPENED.png,7780810,e90573b75b7266e8d84ad19ceb5a6af5a79f591ee31d21d0e60b4f121fae3eae
EP14_CARD04_1810,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD04_1810.png,7337088,693c133486e0bb23ac1299139bb94e55595c5c0ab74996aca9c220d1a485c2e2
EP14_CARD05_DECISION,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD05_DECISION.png,7345540,07e975ab4c97f939ec00e668dc87bbfef89df82752d5cb7ce6fbb99c9f1ddc2c
EP14_CARD06_DIVIDING_LINE,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD06_DIVIDING_LINE.png,2522685,e0d280d80ad87f2e6c8da4299eee79ba3a26fd2f792cf2b95410877a7d2fd233
EP14_CARD07_CREDIT,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD07_CREDIT.png,7432938,73d8571768fe861f615c81d57f0827d325b6a0cf3c66f6c1d7ef5f5d4a0b8e42
EP14_CARD08_END_SCREEN,card,CARD,composited,03_VISUALS/CARDS/EP14_CARD08_END_SCREEN.png,7376021,fa2a4ac86fff938564c987dbff525eff4f520c103285d33763335b72ed7e38a8
