asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,found_by_query,bytes,sha256
EP14-X11,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Anne_Boleyn_Hampton_Court_Palace_jpg.jpg,"File:Anne Boleyn, Hampton Court Palace.jpg","https://commons.wikimedia.org/wiki/File:Anne_Boleyn,_Hampton_Court_Palace.jpg",CC BY 4.0,APK,2026-05-16 15:33:28,2916x3709,10.82,Anne Boleyn portrait,2941099,587c965793c580dc3c83c310597e90c0cdf669ffd0d0326f3c5ee5bbf10c6b31
EP14-X12,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Henry_VIII_portrait_in_the_Wolsey_Closet_Hampton_Court_Palace_jpg.jpg,"File:Henry VIII portrait in the Wolsey Closet, Hampton Court Palace.jpg","https://commons.wikimedia.org/wiki/File:Henry_VIII_portrait_in_the_Wolsey_Closet,_Hampton_Court_Palace.jpg",CC BY 4.0,APK,2026-05-16 14:29:57,2880x3561,10.26,Henry VIII portrait,2598089,1cc8d2378012cd2326edd9eaf2636482e4a341ae45f5b5c452c59d47f403eea4
EP14-X13,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_Henry_VIII_by_Joos_van_Cleve_jpg.jpg,File:Portrait of Henry VIII by Joos van Cleve.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Henry_VIII_by_Joos_van_Cleve.jpg,CC BY 4.0,APK,2026-05-16 15:21:17,2919x3409,9.95,Henry VIII portrait,3226238,e0c7e4d84d86593163056376a4f1d5a1e1851351de62c4f0fec1784450f1ef31
EP14-X14,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Sebastiano_del_piombo_ritratto_di_clemente_VII_1523_circa_Q147_02.jpg,"File:Sebastiano del piombo, ritratto di clemente VII, 1523 circa, Q147, 02.JPG","https://commons.wikimedia.org/wiki/File:Sebastiano_del_piombo,_ritratto_di_clemente_VII,_1523_circa,_Q147,_02.JPG",CC BY 3.0,Sailko,2013-11-28 16:16:04,2598x3504,9.1,Clement VII portrait,4825551,d01dc3c0285c3b4c0122f76bdf021c7be137635fe92c376599c7e28770a2acaf
EP14-X15,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Sebastiano_del_Piombo_Portrait_of_Pope_Clement_VII_ca_1526_jpg.jpg,File:Sebastiano del Piombo – Portrait of Pope Clement VII (ca. 1526).jpg,https://commons.wikimedia.org/wiki/File:Sebastiano_del_Piombo_–_Portrait_of_Pope_Clement_VII_(ca._1526).jpg,Public domain,Sebastiano del Piombo,1526,2441x3615,8.82,Clement VII portrait,714803,7c504c8c246a272733f0e0e7f6619bf9c2032fd38303f779f2d9d9851c6153a5
EP14-X16,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_King_Henry_VIII_of_England_by_Joos_van_Cleve_1491_png.png,"File:Portrait of King Henry VIII of England by Joos van Cleve, 1491.png","https://commons.wikimedia.org/wiki/File:Portrait_of_King_Henry_VIII_of_England_by_Joos_van_Cleve,_1491.png",CC0,Royaltynow,2024-05-14,2660x3307,8.8,Henry VIII portrait,12373145,70f06fcef9cc1a1f571cd2f8d247b32b581266233652593c0ebcb4ac8a4dc219
EP14-X17,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Queen_Anne_Boleyn_Wellcome_V0048326_jpg.jpg,File:Queen Anne Boleyn Wellcome V0048326.jpg,https://commons.wikimedia.org/wiki/File:Queen_Anne_Boleyn_Wellcome_V0048326.jpg,CC BY 4.0,,,2300x3603,8.29,Anne Boleyn portrait,4583584,4bc3f0d4d7f603c2fd99079c4982c7ffe3ad209b658de4c8af2cfa433986dda5
EP14-X18,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Medieval_ring_seal_FindID_500974_jpg.jpg,File:Medieval ring seal (FindID 500974).jpg,https://commons.wikimedia.org/wiki/File:Medieval_ring_seal_(FindID_500974).jpg,CC BY-SA 4.0,"Somerset County Council, Laura Burnett, 2012-05-17 15:02:12",between 1400 and 1500dat,2622x2964,7.77,medieval wax seal,1776199,92b7dc477225569e321f639a180637ca7507ac4130e9cc970ca6951d3abd684b
EP14-X19,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Queen_Catherine_of_Aragon_Wellcome_V0048325_jpg.jpg,File:Queen Catherine of Aragon Wellcome V0048325.jpg,https://commons.wikimedia.org/wiki/File:Queen_Catherine_of_Aragon_Wellcome_V0048325.jpg,CC BY 4.0,,,2300x3357,7.72,Catherine of Aragon portrait,3898575,795357ab9ec72d99635fb675ec39275557a242aeb85be9b88fb9ab35fb730486
EP14-X20,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Anne_boleyn_jpg.jpg,File:Anne boleyn.jpg,https://commons.wikimedia.org/wiki/File:Anne_boleyn.jpg,Public domain,"UnknownUnknown , English",between 1584 and 1603dat,2401x3150,7.56,Anne Boleyn portrait,1962662,2d155cf41cb4c17b6b8bf7839e2e56e163974b98ebfdc1a9498e2a0984ab8bc3
EP14-X21,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Anne_Boleyn_from_NPG_jpg.jpg,File:Anne Boleyn from NPG.jpg,https://commons.wikimedia.org/wiki/File:Anne_Boleyn_from_NPG.jpg,Public domain,Unknown authorUnknown author,"Unknown date, but very l",2400x3141,7.54,Anne Boleyn portrait,1238266,8403db6e577509c54b83b7ac755ecb563eedb45d2cc465607df9850a14b8a3ab
EP14-X22,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_After_Hans_Holbein_the_Younger_Portrait_of_Henry_VIII_Google_Art_P.jpg,File:After Hans Holbein the Younger - Portrait of Henry VIII - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:After_Hans_Holbein_the_Younger_-_Portrait_of_Henry_VIII_-_Google_Art_Project.jpg,Public domain,Workshop of Hans Holbein the Younger,"circa  1540–1547, per [1",2040x3588,7.32,Henry VIII portrait,5375658,dcb220d5d4cfd0308a71c755380e63e96668e7d705f408cf9d28a47a1b390e87
EP14-X23,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Ch_teau_de_Chantilly_Bildnis_Anne_Boleyn_JPG.jpg,"File:Château de Chantilly, Bildnis Anne Boleyn.JPG","https://commons.wikimedia.org/wiki/File:Château_de_Chantilly,_Bildnis_Anne_Boleyn.JPG",CC BY 4.0,Unidentified painter,between 1550 and 1600dat,2348x2776,6.52,Anne Boleyn portrait,1682976,401744c04339f6d0ad762d66f7fdbc3fbcdebacc20e6a9410283210bed9725f7
EP14-X24,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Thomas_Wolsey_Bust_Ipswich_jpg.jpg,File:Thomas Wolsey Bust - Ipswich.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Wolsey_Bust_-_Ipswich.jpg,CC BY-SA 4.0,Sumit Surai,2018-10-10 19:25:05,2000x3243,6.49,Thomas Wolsey,6051363,e93f6b2830e84edbd830aa412cf97151629843750f9008d10f96674c6c157bae
EP14-X25,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Wenceslas_Hollar_Anne_Boleyn_cropped_jpg.jpg,File:Wenceslas Hollar - Anne Boleyn cropped.jpg,https://commons.wikimedia.org/wiki/File:Wenceslas_Hollar_-_Anne_Boleyn_cropped.jpg,Public domain,Wenceslaus Hollar,Unknown date (author liv,2499x2512,6.28,Anne Boleyn portrait,2149764,67ad365f2829a90256c8a28bcf99f505d1041852652677f62aa632dea27efc0e
EP14-X26,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Medieval_seal_matrix_top_profile_base_seal_impression_FindID_23976.jpg,"File:Medieval seal matrix (top, profile, base, seal impression) (FindID 239760).jpg","https://commons.wikimedia.org/wiki/File:Medieval_seal_matrix_(top,_profile,_base,_seal_impression)_(FindID_239760).jpg",CC BY-SA 4.0,"None, Duncan, 2008-12-10 17:38:52",between 1300 and 1400dat,4860x1289,6.26,medieval wax seal,1430530,7cea0efc475842e1962ce7b7303af7a1e37328fc5323c05ccf91e0cbaebda222
EP14-X27,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_An_Infanta_Catherine_of_Aragon_by_Juan_de_Flandes_jpg.jpg,File:An Infanta (Catherine of Aragon?) by Juan de Flandes.jpg,https://commons.wikimedia.org/wiki/File:An_Infanta_(Catherine_of_Aragon?)_by_Juan_de_Flandes.jpg,Public domain,Juan de Flandes,"circa 1496date QS:P571,+",2000x2998,6.0,Catherine of Aragon portrait,1418302,924c0efec9dcc2cff1b58ac01f5ef454beb0c678beb5a9574e0a9f2d6052ae44
EP14-X28,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_Pope_Clement_VII_jpg.jpg,File:Portrait of Pope Clement VII.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Pope_Clement_VII.jpg,Public domain,Unknown authorUnknown author,1568,2000x2968,5.94,Clement VII portrait,3990291,4cfe7aee2009cc1d9601a93ea21c50736ddcb0ca9c7c9d8e867488e0dc295816
EP14-X29,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Medieval_seal_matrix_FindID_283902_jpg.jpg,File:Medieval seal matrix (FindID 283902).jpg,https://commons.wikimedia.org/wiki/File:Medieval_seal_matrix_(FindID_283902).jpg,CC BY-SA 2.0,"Sussex Archaeological Society, Laura Burnett, 2010-01-30 03:",between 1100 and 1300dat,2980x1760,5.24,medieval wax seal,1024964,30e6cddfa2f5f1ff610a42ea9791f113e2bad09f7303f89a314a56a12ecc528f
EP14-X30,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Statue_of_Thomas_Wolsey_Ipswich_jpg.jpg,File:Statue of Thomas Wolsey - Ipswich.jpg,https://commons.wikimedia.org/wiki/File:Statue_of_Thomas_Wolsey_-_Ipswich.jpg,CC BY-SA 4.0,Sumit Surai,2018-02-16 19:23:21,2453x2100,5.15,Thomas Wolsey,3660639,fd4b6b581656e624a15c282c1865d8a52e8de741c17b9f5e81f13d3a1d285871
EP14-X31,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Thomas_Wolsey_1473_1530_jpg.jpg,File:Thomas Wolsey (1473-1530).jpg,https://commons.wikimedia.org/wiki/File:Thomas_Wolsey_(1473-1530).jpg,Public domain,anonymous,"1590sdate QS:P571,+1590-",1629x2500,4.07,Thomas Wolsey,2746821,cda0b9f96d8374f290c8dc9f1068bca4dd1c6add6892381d37772a4f129c3c5b
EP14-X32,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Catherine_of_Aragon_as_Mary_Magdalene_jpg.jpg,File:Catherine of Aragon as Mary Magdalene.jpg,https://commons.wikimedia.org/wiki/File:Catherine_of_Aragon_as_Mary_Magdalene.jpg,Public domain,Michael Sittow,between circa 1515 and c,1578x1999,3.15,Catherine of Aragon portrait,1320134,0364225c284984b616a8982528df90f3972163bd1642db8f4a5382dd89029ef2
EP14-X33,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_Anne_Boleyn_4674040_jpg.jpg,File:Portrait of Anne Boleyn (4674040).jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Anne_Boleyn_(4674040).jpg,Public domain,Samuel Freeman,19th centurydate QS:P571,1200x1983,2.38,Anne Boleyn portrait,269445,48c488df9f986a451e770a9a908f1d0f59c0fca7a6c26477576b2935c6023e7d
EP14-X34,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Thomas_Wolsey_cardinal_jpg.jpg,"File:Thomas Wolsey, cardinal.jpg","https://commons.wikimedia.org/wiki/File:Thomas_Wolsey,_cardinal.jpg",Public domain,"Nicolas de Larmessin III, Esme de Boulonais",1682,1332x1783,2.37,Thomas Wolsey,414386,afbea9f0e71355f8b1534fcb817b0cedb5866fe0e0c77f486167e617f7a46070
EP14-X35,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_X_Portrait_of_Pope_Clement_VII_workshop_of_Bronzino_jpg.jpg,File:Portrait of Pope Clement VII (workshop of Bronzino).jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Pope_Clement_VII_(workshop_of_Bronzino).jpg,Public domain,Workshop of Bronzino,between 1565 and 1569dat,1295x1650,2.14,Clement VII portrait,553669,d49369eb890d43c98942e03ee8201a3248d54e1029c7af11061844a93fd46aae
