id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind
EP07_ART_005,EP07,Burney Relief — bust detail,YELLOW,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Burney_Relief_bust.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Burney%20Relief%20bust.jpg,EP07_Burney_Relief_bust_detail_CC-BY-SA-3.0.jpg,EP07/02_REVIEW_YELLOW/ANCIENT_OBJECTS,1,image
EP07_ART_006,EP07,Burney Relief — lions/talons detail,YELLOW,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Burney_Relief_lions.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Burney%20Relief%20lions.jpg,EP07_Burney_Relief_lions_talons_detail_CC-BY-SA-3.0.jpg,EP07/02_REVIEW_YELLOW/ANCIENT_OBJECTS,1,image
EP07_DOC_003,EP07,Malleus Maleficarum — 1928 English translation scan,GREEN,Public Domain Mark — Wellcome Collection,https://wellcomecollection.org/works/bnpusjsw,https://iiif.wellcomecollection.org/pdf/b3136245x,EP07_Malleus_Maleficarum_1928_Wellcome_PD.pdf,EP07/01_ORIGINAL_GREEN/HISTORICAL_BOOKS,1,pdf
EP07_DOC_004,EP07,Malleus Maleficarum — 1948 scan,GREEN,Public Domain Mark — Wellcome Collection,https://wellcomecollection.org/works/p6usmjn6,https://iiif.wellcomecollection.org/pdf/b31349717,EP07_Malleus_Maleficarum_1948_Wellcome_PD.pdf,EP07/01_ORIGINAL_GREEN/HISTORICAL_BOOKS,1,pdf
EP07_DOC_005,EP07,"Bull of Pope Innocent VIII from Malleus Maleficarum, 1494",GREEN,Public Domain Mark — Wellcome Collection,https://wellcomecollection.org/works/xtuk8kny,https://iiif.wellcomecollection.org/image/M0013811/full/full/0/default.jpg,EP07_Malleus_1494_Bull_Innocent_VIII_Wellcome_PD.jpg,EP07/01_ORIGINAL_GREEN/HISTORICAL_BOOKS,1,image
EP07_REF_001,EP07,Peabody Essex Museum — Bridget Bishop examination corroborating record,RED,No known copyright; institution requests archive inquiry for questions,https://pem.quartexcollections.com/Documents/Detail/examination-of-bridget-bishop-as-recorded-by-samuel-parris/4644,,EP07_REFERENCE_PEM_Bridget_Bishop_Examination.url.txt,EP07/03_REFERENCE_ONLY/SALEM,0,none
EP07_REF_002,EP07,University of Virginia Salem archive — Richard Coman transcription,RED,Website/transcription reference; not an auto-download media asset,https://salem.lib.virginia.edu/n13.html,,EP07_REFERENCE_Richard_Coman_UVA_transcription.url.txt,EP07/03_REFERENCE_ONLY/SALEM,0,none
EP08_MEDIA_001,EP08,Art Bell portrait,GREEN,CC0 1.0,https://commons.wikimedia.org/wiki/File:Art_Bell.webp,https://commons.wikimedia.org/wiki/Special:Redirect/file/Art%20Bell.webp,EP08_S01_Art_Bell_portrait_2000_CC0.webp,EP08/01_ORIGINAL_GREEN/PORTRAITS,1,image
EP08_MEDIA_002,EP08,"Budd Hopkins and Dr. John E. Mack in hypnosis session, Istanbul",YELLOW,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Budd_Hopkins_and_Dr._John_Mack_in_hypnosis_session,_Istanbul.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Budd%20Hopkins%20and%20Dr.%20John%20Mack%20in%20hypnosis%20session%2C%20Istanbul.jpg,EP08_S02_Budd_Hopkins_John_E_Mack_hypnosis_Istanbul_1995_CC-BY-SA-4.0.jpg,EP08/02_REVIEW_YELLOW/PORTRAITS_EVENTS,1,image
EP08_REF_001,EP08,"Art Bell Archive — April 12, 2001 Shadow People episode",RED,Broadcast/archive rights not clearly licensed for reuse,https://artbellarchive.org/episode/april-12-2001-shadow-people-thunder-strikes-monuments-of-mars-richard-c-hoagland,,EP08_REFERENCE_Art_Bell_2001-04-12_Shadow_People.url.txt,EP08/03_REFERENCE_ONLY/ART_BELL,0,none
EP08_REF_002,EP08,Art Bell Archive — Shadow People topic hub,RED,Archive/reference; no clear reuse license found,https://artbellarchive.org/topics/shadow-people,,EP08_REFERENCE_Art_Bell_Shadow_People_topic.url.txt,EP08/03_REFERENCE_ONLY/ART_BELL,0,none
EP08_REF_003,EP08,Susan Clancy — Harvard Gazette “Starship memories”,RED,Harvard Gazette staff photo / copyrighted editorial page,https://news.harvard.edu/gazette/story/2002/10/starship-memories-2/,,EP08_REFERENCE_Susan_Clancy_Harvard_Gazette.url.txt,EP08/03_REFERENCE_ONLY/PORTRAITS_RESEARCHERS,0,none
EP08_REF_004,EP08,Richard J. McNally — Harvard Psychology profile,RED,Harvard webpage / portrait reuse not licensed for auto-use,https://psychology.fas.harvard.edu/people/richard-j-mcnally,,EP08_REFERENCE_Richard_McNally_Harvard_profile.url.txt,EP08/03_REFERENCE_ONLY/PORTRAITS_RESEARCHERS,0,none
EP08_REF_005,EP08,Harvard Gazette — Alien abduction claims examined,RED,Copyrighted Harvard Gazette editorial content,https://news.harvard.edu/gazette/story/2003/02/alien-abduction-claims-examined-2/,,EP08_REFERENCE_Harvard_Alien_Abduction_Claims_Examined.url.txt,EP08/03_REFERENCE_ONLY/PAPERS_MEDIA,0,none
EP08_REF_006,EP08,Scientific American — “Abducted!”,RED,Copyrighted magazine article,https://doi.org/10.1038/scientificamerican0205-34,,EP08_REFERENCE_Scientific_American_Abducted.url.txt,EP08/03_REFERENCE_ONLY/PAPERS_MEDIA,0,none
EP06_PERSON_001,EP06,Samuel A. Kinnier Wilson — portrait,GREEN,Public Domain / Public Domain Mark,https://commons.wikimedia.org/wiki/File:Samuel_Alexander_Kinnier_Wilson.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Samuel%20Alexander%20Kinnier%20Wilson.jpg,EP06_S03_SAK_Wilson_portrait_pre1937_PD.jpg,EP06/01_ORIGINAL_GREEN/PORTRAITS,1,image
EP06_PERSON_002,EP06,Edinburgh University group portrait including S.A.K. Wilson,YELLOW,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Edinburgh_University_Group_Wellcome_M0017749.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Edinburgh%20University%20Group%20Wellcome%20M0017749.jpg,EP06_S03_Edinburgh_University_group_SAK_Wilson_CC-BY-4.0.jpg,EP06/02_REVIEW_YELLOW/PORTRAITS,1,image
SHARED_SCI_006,EP06;EP08,REM sleep polysomnographic record,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Sleep_EEG_REM.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sleep%20EEG%20REM.png,SHARED_REM_Polysomnography_30sec_PD.png,00_SHARED/01_ORIGINAL_GREEN/SCIENCE_LAB,1,image
SHARED_SCI_007,EP06,Slow-wave sleep polysomnographic record,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Sleep_EEG_Stage_4.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sleep%20EEG%20Stage%204.jpg,EP06_S03_Slow_Wave_Sleep_PSG_PD.jpg,EP06/01_ORIGINAL_GREEN/SCIENCE_LAB,1,image
SHARED_SCI_008,EP06;EP08,Polysomnography model lying on side,YELLOW,CC BY-SA 4.0; identifiable model,https://commons.wikimedia.org/wiki/File:Polysomnography_model_on_his_side.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Polysomnography%20model%20on%20his%20side.jpg,SHARED_Polysomnography_model_side_CC-BY-SA-4.0.jpg,00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB,1,image
EP07_ART_007,EP07,Bridget Bishop — historical lithograph,GREEN,Public Domain in the United States,https://commons.wikimedia.org/wiki/File:Bridget_Bishop.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bridget%20Bishop.jpg,EP07_S01_Bridget_Bishop_lithograph_PD.jpg,EP07/01_ORIGINAL_GREEN/SALEM,1,image
EP07_DOC_006,EP07,"Bridget Bishop Executed, June 10, 1692 — Salem archive scan",GREEN,Public Domain in the United States,"https://commons.wikimedia.org/wiki/File:Bridget_Bishop_Executed,_June_10,_1692.png",https://commons.wikimedia.org/wiki/Special:Redirect/file/Bridget%20Bishop%20Executed%2C%20June%2010%2C%201692.png,EP07_S01_Bridget_Bishop_execution_archive_scan_PD.png,EP07/01_ORIGINAL_GREEN/SALEM,1,image
EP07_ART_008,EP07,Trial of George Jacobs of Salem for witchcraft,GREEN,Public Domain / no known restrictions,"https://commons.wikimedia.org/wiki/File:Trial_of_George_Jacobs_of_Salem_for_witchcraft,_Essex_Institute,_Salem,_Mass._LCCN92515055.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Trial%20of%20George%20Jacobs%20of%20Salem%20for%20witchcraft%2C%20Essex%20Institute%2C%20Salem%2C%20Mass.%20LCCN92515055.jpg,EP07_S04_Trial_George_Jacobs_Salem_LOC_PD.jpg,EP07/01_ORIGINAL_GREEN/SALEM,1,image
EP07_ART_009,EP07,Witchcraft at Salem Village — 1876 courtroom engraving,GREEN,Public Domain in the United States,https://commons.wikimedia.org/wiki/File:Witchcraft_at_Salem_Village.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Witchcraft%20at%20Salem%20Village.jpg,EP07_S04_Witchcraft_at_Salem_Village_1876_PD.jpg,EP07/01_ORIGINAL_GREEN/SALEM,1,image
EP07_ART_010,EP07,"The Examination of a Witch — Tompkins H. Matteson, 1853",GREEN,Public Domain / faithful reproduction,https://commons.wikimedia.org/wiki/File:Examination_of_a_Witch_-_Tompkins_Matteson.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Examination%20of%20a%20Witch%20-%20Tompkins%20Matteson.jpg,EP07_S04_Examination_of_a_Witch_Matteson_1853_PD.jpg,EP07/01_ORIGINAL_GREEN/SALEM,1,image
EP08_MEDIA_003,EP08,"Country 1035 radio studio, London, 1996",YELLOW,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Country_1035_Studio_1_in_Parsons_Green,_London,_circa_1995.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Country%201035%20Studio%201%20in%20Parsons%20Green%2C%20London%2C%20circa%201995.jpg,EP08_S01_1996_radio_studio_context_CC-BY-SA-4.0.jpg,EP08/02_REVIEW_YELLOW/MEDIA_TECH,1,image
EP08_MEDIA_004,EP08,Radio studio console and broadcast microphone,GREEN,Public Domain dedication,"https://commons.wikimedia.org/wiki/File:Radio_studio_of_WBNI,_showing_console.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Radio%20studio%20of%20WBNI%2C%20showing%20console.jpg,EP08_S01_radio_console_microphone_PD.jpg,EP08/01_ORIGINAL_GREEN/MEDIA_TECH,1,image
EP08_MEDIA_005,EP08,Fax machine photograph,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Samfax.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Samfax.jpg,EP08_S01_fax_machine_PD.jpg,EP08/01_ORIGINAL_GREEN/MEDIA_TECH,1,image
EP08_MEDIA_006,EP08,Shortwave radio receiver,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Shortwave_Radio.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shortwave%20Radio.jpg,EP08_S01_shortwave_radio_receiver_PD.jpg,EP08/01_ORIGINAL_GREEN/MEDIA_TECH,1,image
EP08_MEDIA_007,EP08,CRT computer monitor,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Monitor.arp.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Monitor.arp.jpg,EP08_S06_CRT_monitor_PD.jpg,EP08/01_ORIGINAL_GREEN/MEDIA_TECH,1,image
EP08_UFO_001,EP08,"Roswell U.S. Government report covers, 1994–1997",GREEN,Public Domain — U.S. Federal Government,https://commons.wikimedia.org/wiki/File:Roswell_reports.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Roswell%20reports.png,EP08_S02_Roswell_US_Government_reports_1994-1997_PD.png,EP08/01_ORIGINAL_GREEN/UFO_CONTEXT,1,image
EP08_UFO_002,EP08,FBI Roswell UFO file — 1947 memo scan,GREEN,Public Domain — FBI/U.S. Federal Government,https://commons.wikimedia.org/wiki/File:Roswell_UFO_Part_1_of_1.pdf,https://commons.wikimedia.org/wiki/Special:Redirect/file/Roswell%20UFO%20Part%201%20of%201.pdf,EP08_S02_FBI_Roswell_UFO_file_1947_PD.pdf,EP08/01_ORIGINAL_GREEN/UFO_CONTEXT,1,pdf
EP08_UFO_003,EP08,"CIA declassified Area 51 diagram, 1966",GREEN,Public Domain — CIA/U.S. Federal Government,https://commons.wikimedia.org/wiki/File:Area_51_-_diagram.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Area%2051%20-%20diagram.jpg,EP08_S02_Area51_CIA_declassified_diagram_1966_PD.jpg,EP08/01_ORIGINAL_GREEN/UFO_CONTEXT,1,image
