cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule,editor_asset
EP01_V_010,2,"Der Mann, der sie nicht gebaut hat",00:58,01:05,dieses Patent angemeldet wurde. Er hat diese,hat diese patentierte Aluminiumspirale also nicht gebaut.,dieses Patent angemeldet wurde. Er hat diese patentierte Aluminiumspirale also nicht gebaut.,ORIGINAL_PHOTO,"astronomical observatory context with large refractor, factual institutional mood",K01; K07; K06,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG08_REFRACTOR_WIDE_SOURCE.png
EP01_V_011,2,"Der Mann, der sie nicht gebaut hat",01:05,01:12,Sein Name kam auf einem anderen Weg,einem anderen Weg hinein. Kozyrev beschäftigte sich,Sein Name kam auf einem anderen Weg hinein. Kozyrev beschäftigte sich,AI_RECON,"anonymous Soviet-era astronomer seen from behind at a large telescope, no identifiable face, 1960s observatory interior",K01; K07; K06,IMG06,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_012,2,"Der Mann, der sie nicht gebaut hat",01:12,01:18,mit einer ungewöhnlichen Vorstellung von Zeit. Für,Zeit. Für ihn war Zeit nicht nur,mit einer ungewöhnlichen Vorstellung von Zeit. Für ihn war Zeit nicht nur,VECTOR_DIAGRAM,"conceptual diagram separating Kozyrev time theory, later researchers, and the mirror apparatus into three distinct branches",K01; K07; K06,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG07_REFRACTOR_FULL_WIDE.png
EP01_V_013,2,"Der Mann, der sie nicht gebaut hat",01:18,01:25,"eine Koordinate, auf der Ereignisse nacheinander liegen.",nacheinander liegen. In seinen spekulativeren Arbeiten behandelte,"eine Koordinate, auf der Ereignisse nacheinander liegen. In seinen spekulativeren Arbeiten behandelte",ORIGINAL_PORTRAIT,"use actual Kozyrev portrait with slow crop, no synthetic replacement",K01; K07; K06,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG02_KOZYREV_FACE_AND_MOON_WIDE.png
EP01_V_014,2,"Der Mann, der sie nicht gebaut hat",01:25,01:32,"er sie wie etwas, das physikalisch wirksam","das physikalisch wirksam sein könnte etwas, dessen","er sie wie etwas, das physikalisch wirksam sein könnte — etwas, dessen",TIMELINE_GRAPHIC,minimal chronological timeline 1908-1983-1996-1998 with portrait and patent milestones,K01; K07; K06,IMG08,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_015,2,"Der Mann, der sie nicht gebaut hat",01:32,01:38,Eigenschaften sich vielleicht experimentell untersuchen lassen. Jahre,lassen. Jahre später griffen Kaznacheev und Trofimov,Eigenschaften sich vielleicht experimentell untersuchen lassen. Jahre später griffen Kaznacheev und Trofimov,ORIGINAL_PHOTO,"astronomical observatory context with large refractor, factual institutional mood",K01; K07; K06,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG09_OBSERVATORY_1855_WIDE.png
EP01_V_016,2,"Der Mann, der sie nicht gebaut hat",01:38,01:45,solche Vorstellungen auf und verbanden sie mit,"verbanden sie mit eigenen Ideen über Mensch,","solche Vorstellungen auf und verbanden sie mit eigenen Ideen über Mensch,",AI_RECON,"anonymous Soviet-era astronomer seen from behind at a large telescope, no identifiable face, 1960s observatory interior",K01; K07; K06,IMG22,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_017,2,"Der Mann, der sie nicht gebaut hat",01:45,01:52,"Umwelt und Information. Das ist wichtig, weil","wichtig, weil im Internet oft drei Geschichten","Umwelt und Information. Das ist wichtig, weil im Internet oft drei Geschichten",VECTOR_DIAGRAM,"conceptual diagram separating Kozyrev time theory, later researchers, and the mirror apparatus into three distinct branches",K01; K07; K06,IMG10,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_018,2,"Der Mann, der sie nicht gebaut hat",01:52,01:58,"zu einer einzigen verschmelzen Kozyrevs eigene Zeittheorie,","eigene Zeittheorie, spätere Experimente anderer Forscher und","zu einer einzigen verschmelzen: Kozyrevs eigene Zeittheorie, spätere Experimente anderer Forscher und",ORIGINAL_PORTRAIT,"use actual Kozyrev portrait with slow crop, no synthetic replacement",K01; K07; K06,IMG09,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_019,2,"Der Mann, der sie nicht gebaut hat",01:58,02:05,die heute sogenannten Kozyrev-Spiegel. Für diese Folge,diese Folge trennen wir sie wieder auseinander.,die heute sogenannten Kozyrev-Spiegel. Für diese Folge trennen wir sie wieder auseinander.,TIMELINE_GRAPHIC,minimal chronological timeline 1908-1983-1996-1998 with portrait and patent milestones,K01; K07; K06,IMG08,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_020,3,Die Maschine auf Papier,02:05,02:12,Das Patent ist erstaunlich konkret. Es beschreibt,konkret. Es beschreibt Aluminiumlegierungsplatten mit einer Höhe,Das Patent ist erstaunlich konkret. Es beschreibt Aluminiumlegierungsplatten mit einer Höhe,EDITOR_RECONSTRUCTION,own technical reconstruction with verified height width and focus dimensions,K04; K05; K03,,Hold the reconstruction while dimensions appear one at a time; do not imitate a patent scan.,Show only 2.80 m height 1.20 m width and 0.50 m focus; all geometry is an editorial reconstruction.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,03_EDITOR_CARDS/CARD03_TECHNICAL_DIMENSIONS.png
EP01_V_021,3,Die Maschine auf Papier,02:12,02:19,"von bis zu 2,80 Metern und einer","Metern und einer Breite von 1,20 Metern.","von bis zu 2,80 Metern und einer Breite von 1,20 Metern.",VECTOR_DIAGRAM,"precise vector reconstruction of plate height 2.80m, width 1.20m, curved focus point 50cm forward",K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG13_PATENT_DIMENSIONS_TEXT_WIDE.png
EP01_V_022,3,Die Maschine auf Papier,02:19,02:26,Ihre Innenseite soll geschliffen beziehungsweise poliert sein.,poliert sein. Die Krümmung soll einen Fokus,Ihre Innenseite soll geschliffen beziehungsweise poliert sein. Die Krümmung soll einen Fokus,AI_RECON,photoreal reconstruction of four-to-ten curved aluminum elements assembled into an open cylinder or spiral,K04; K05; K03,IMG13,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_023,3,Die Maschine auf Papier,02:26,02:33,ungefähr fünfzig Zentimeter vor der Arbeitsfläche erzeugen.,der Arbeitsfläche erzeugen. Vier bis zehn dieser,ungefähr fünfzig Zentimeter vor der Arbeitsfläche erzeugen. Vier bis zehn dieser,MACRO_RECON,"macro view of motorized circular base, steel fasteners and aluminum panels, plausible engineering detail",K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,03_EDITOR_CARDS/CARD03_TECHNICAL_DIMENSIONS.png
EP01_V_024,3,Die Maschine auf Papier,02:33,02:40,Elemente können zu einem offenen Zylinder oder,offenen Zylinder oder zu einer links- beziehungsweise,Elemente können zu einem offenen Zylinder oder zu einer links- beziehungsweise,VECTOR_DIAGRAM,top-down technical diagram comparing left-handed and right-handed spiral configurations,K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG06_PATENT_DRAWING_FULL_WIDE.png
EP01_V_025,3,Die Maschine auf Papier,02:40,02:47,rechtsdrehenden Spirale verbunden werden. In einer Variante,In einer Variante steht die gesamte Konstruktion,rechtsdrehenden Spirale verbunden werden. In einer Variante steht die gesamte Konstruktion,EDITOR_RECONSTRUCTION,own technical reconstruction of open cylinder left and right spiral plus motorized platform,K04; K05; K03,,Animate the reconstructed configurations and motorized base; no original patent drawing appears on screen.,Label the configurations with concise verified English terms only; mark the image as reconstruction in the credit system.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,03_EDITOR_CARDS/CARD04_CONFIGURATIONS.png
EP01_V_026,3,Die Maschine auf Papier,02:47,02:53,sogar auf einer motorisierten Plattform und kann,und kann rotieren. Das ist kein vages,sogar auf einer motorisierten Plattform und kann rotieren. Das ist kein vages,EDITOR_RECONSTRUCTION,exact technical-dimensions card: height 2.80m width 1.20m focus 0.50m; no generated measurements,K04; K05; K03,,Hold long enough to read the verified measurements; subtle push-in permitted.,Use only verified English labels from the editor card.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,06_IMAGEGEN_ADDITIONS/IMG94_MOTORIZED_BASE_DETAIL.png
EP01_V_027,3,Die Maschine auf Papier,02:53,03:00,"New-Age-Diagramm. Es sind Maße, Schrauben, Platten, Krümmungsradien","Schrauben, Platten, Krümmungsradien und ein Platz, an","New-Age-Diagramm. Es sind Maße, Schrauben, Platten, Krümmungsradien und ein Platz, an",EDITOR_RECONSTRUCTION,exact configuration card showing open cylinder left and right spirals and optional motorized platform,K04; K05; K03,,Hold long enough to read the verified configurations; subtle push-in permitted.,Use only verified English labels from the editor card.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG12_PATENT_FIGURE1_WIDE.png
EP01_V_028,3,Die Maschine auf Papier,03:00,03:07,dem ein Mensch sitzen soll. Dann wechselt,soll. Dann wechselt der Text die Ebene.,dem ein Mensch sitzen soll. Dann wechselt der Text die Ebene.,MACRO_RECON,"macro view of motorized circular base, steel fasteners and aluminum panels, plausible engineering detail",K04; K05; K03,IMG18,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_029,3,Die Maschine auf Papier,03:07,03:14,"Die Erfinder nehmen an, dass die Konstruktion",dass die Konstruktion elektromagnetische und andere Felder,"Die Erfinder nehmen an, dass die Konstruktion elektromagnetische und andere Felder",VECTOR_DIAGRAM,top-down technical diagram comparing left-handed and right-handed spiral configurations,K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG17_PATENT_PAGE2_FULL_WIDE.png
EP01_V_030,3,Die Maschine auf Papier,03:14,03:21,des Körpers fokussieren und ihre Wechselwirkung mit,Wechselwirkung mit sogenannten helio-geophysikalischen Feldern verstärken könne.,des Körpers fokussieren und ihre Wechselwirkung mit sogenannten helio-geophysikalischen Feldern verstärken könne.,EDITOR_RECONSTRUCTION,editor-created claim card separating the patent's assumed mechanism from verified construction facts,K04; K05; K03,,Hold the claim card through the complete sentence and visibly retain the marker PATENT CLAIM.,Use short verified paraphrase only; never visualize the claimed fields as an established physical effect.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,03_EDITOR_CARDS/CARD05_PATENT_CLAIM.png
EP01_V_031,3,Die Maschine auf Papier,03:21,03:28,Behandlungen sollten sogar an Neu- und Vollmond,Neu- und Vollmond sowie an magneto-ionosphärischen Bedingungen,Behandlungen sollten sogar an Neu- und Vollmond sowie an magneto-ionosphärischen Bedingungen,VECTOR_DIAGRAM,"precise vector reconstruction of plate height 2.80m, width 1.20m, curved focus point 50cm forward",K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,07_MOTION_ASSETS/NASA_TRACERS_MAGNETIC_RECONNECTION_CLIP.mp4
EP01_V_032,3,Die Maschine auf Papier,03:28,03:35,ausgerichtet werden. Das ist die Behauptung des,die Behauptung des Patents. Nicht unser Befund.,ausgerichtet werden. Das ist die Behauptung des Patents. Nicht unser Befund.,AI_RECON,photoreal reconstruction of four-to-ten curved aluminum elements assembled into an open cylinder or spiral,K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG18_PATENT_PAGE4_FULL_WIDE.png
EP01_V_033,4,Aus Therapie wird Informationsraum,03:35,03:42,"Aber die Geschichte blieb nicht bei Blutdruck,","die Geschichte blieb nicht bei Blutdruck, Schlaf","Aber die Geschichte blieb nicht bei Blutdruck, Schlaf",AI_RECON,"anonymous 1990s Russian researchers taking notes beside an aluminum spiral apparatus, no named faces",K03; K04,IMG22,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_034,4,Aus Therapie wird Informationsraum,03:42,03:48,oder Stress stehen. In späteren Texten von,Stress stehen. In späteren Texten von Kaznacheev,oder Stress stehen. In späteren Texten von Kaznacheev,DOCUMENT_TEXT,"publication-card treatment using verified title only, no invented body text",K03; K04,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG03_KAZNACHEEV_FULL_WIDE.png
EP01_V_035,4,Aus Therapie wird Informationsraum,03:48,03:55,und Trofimov taucht ein deutlich größerer Anspruch,Trofimov taucht ein deutlich größerer Anspruch auf.,und Trofimov taucht ein deutlich größerer Anspruch auf.,ABSTRACT_METAPHOR,"restrained visual metaphor of distant information: two separated locations connected by a thin dotted line through darkness, clearly conceptual",K03; K04,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,02_RESERVE/IMG84.png
EP01_V_036,4,Aus Therapie wird Informationsraum,03:55,04:02,"Sie sprechen von einem modellierten Kozyrev-Raum“, von","von einem modellierten Kozyrev-Raum“, von Fern-Information, veränderter","Sie sprechen von einem modellierten „Kozyrev-Raum“, von Fern-Information, veränderter",AI_RECON,"adult participant sitting quietly inside a reflective aluminum chamber, eyes closed, restrained documentary realism",K03; K04,IMG24,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_037,4,Aus Therapie wird Informationsraum,04:02,04:08,"innerer Zeitwahrnehmung und von Experimenten, in denen","Zeitwahrnehmung und von Experimenten, in denen Menschen","innerer Zeitwahrnehmung und von Experimenten, in denen Menschen",EDITOR_RECONSTRUCTION,verified publication-source card with exact English title and author names,K03; K04,IMG26,Animate emphasis from DISTANT-INFORMATION INTERACTIONS to INTERNAL TIME PERCEPTION.,No synthetic anatomy or third-eye imagery.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_038,4,Aus Therapie wird Informationsraum,04:08,04:15,Informationen über weit entfernte Objekte oder andere,über weit entfernte Objekte oder andere Zeitbezüge,Informationen über weit entfernte Objekte oder andere Zeitbezüge,AI_RECON,"anonymous 1990s Russian researchers taking notes beside an aluminum spiral apparatus, no named faces",K03; K04,IMG23,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_039,4,Aus Therapie wird Informationsraum,04:15,04:22,wahrgenommen haben sollen. Einer ihrer veröffentlichten Texte,haben sollen. Einer ihrer veröffentlichten Texte nennt,wahrgenommen haben sollen. Einer ihrer veröffentlichten Texte nennt,DOCUMENT_TEXT,"publication-card treatment using verified title only, no invented body text",K03; K04,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,03_EDITOR_CARDS/CARD06_PUBLICATION_SOURCE.png
EP01_V_040,4,Aus Therapie wird Informationsraum,04:22,04:28,"ausdrücklich distant-information interaction“, menschliche Fernkommunikation und Veränderungen","distant-information interaction“, menschliche Fernkommunikation und Veränderungen der","ausdrücklich „distant-information interaction“, menschliche Fernkommunikation und Veränderungen der",ABSTRACT_METAPHOR,"restrained visual metaphor of distant information: two separated locations connected by a thin dotted line through darkness, clearly conceptual",K03; K04,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,02_RESERVE/IMG83.png
EP01_V_041,4,Aus Therapie wird Informationsraum,04:28,04:35,internen Zeitwahrnehmung. Und genau hier entsteht das,"Zeitwahrnehmung. Und genau hier entsteht das Bild,","internen Zeitwahrnehmung. Und genau hier entsteht das Bild,",AI_RECON,"adult participant sitting quietly inside a reflective aluminum chamber, eyes closed, restrained documentary realism",K03; K04,IMG28,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_042,4,Aus Therapie wird Informationsraum,04:35,04:42,das heute mit den Kozyrev-Spiegeln verbunden ist,heute mit den Kozyrev-Spiegeln verbunden ist Aluminium,das heute mit den Kozyrev-Spiegeln verbunden ist: Aluminium,VECTOR_DIAGRAM,"diagram showing ordinary sensory path versus claimed distant-information path, solid line versus dashed line",K03; K04,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG04_MIRROR_2014_FULL_WIDE.png
EP01_V_043,4,Aus Therapie wird Informationsraum,04:42,04:48,"nicht als gewöhnlicher Reflektor, sondern als eine","als gewöhnlicher Reflektor, sondern als eine Art","nicht als gewöhnlicher Reflektor, sondern als eine Art",AI_RECON,"anonymous 1990s Russian researchers taking notes beside an aluminum spiral apparatus, no named faces",K03; K04,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG05_MIRROR_2014_DETAIL_WIDE.png
EP01_V_044,4,Aus Therapie wird Informationsraum,04:48,04:55,"Umgebung, die einen besonderen Zustand des Menschen",einen besonderen Zustand des Menschen erzeugen oder,"Umgebung, die einen besonderen Zustand des Menschen erzeugen oder",DOCUMENT_TEXT,"publication-card treatment using verified title only, no invented body text",K03; K04,IMG13,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_045,4,Aus Therapie wird Informationsraum,04:55,05:02,"verstärken soll. Das ist die Ebene, auf","soll. Das ist die Ebene, auf der","verstärken soll. Das ist die Ebene, auf der",ABSTRACT_METAPHOR,"restrained visual metaphor of distant information: two separated locations connected by a thin dotted line through darkness, clearly conceptual",K03; K04,IMG28,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_046,4,Aus Therapie wird Informationsraum,05:02,05:08,aus einer Metallspirale eine Bewusstseinsmaschine wird. Und,eine Bewusstseinsmaschine wird. Und genau hier beginnt,aus einer Metallspirale eine Bewusstseinsmaschine wird. Und genau hier beginnt,AI_RECON,"adult participant sitting quietly inside a reflective aluminum chamber, eyes closed, restrained documentary realism",K03; K04,IMG32,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_047,4,Aus Therapie wird Informationsraum,05:08,05:15,der spannendste Teil. Wenn dieser Raum tatsächlich,mehr ist als nur ein intensives Erlebnis.,der spannendste Teil. Wenn dieser Raum tatsächlich Information verändert müsste sich irgendwo eine Spur finden lassen die mehr ist als nur ein intensives Erlebnis.,VECTOR_DIAGRAM,"claimed information change leading to a measurable trace, ending on an unresolved question rather than a verdict",K03; K04,IMG38,5-8 second visual beat; subtle camera move in edit is allowed.,Keep the line conceptual and clearly unresolved.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
