order,cue_id,section,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,prevoice_duration_band,edit_function,notes,status
13,A013,S2,Jahre in der Psychiatrie,Burgholzli + clinical materials,EP04A_PLACE_003+EP04A_DOC_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\CLINIC\EP04A_Burghoelzli_c1890_PD.jpg;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\CLINIC_DOCUMENTS\EP04A_Jung_Association_Method_1910_PD.png,,normal,4.0–6.0 s,grounding,real evidence reset,READY
14,A014,S2,von einer Psychose bedroht,clinical corridor reconstruction,IMG011,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG011_BURGHOELZLI_MEMORY_ROOM.png,,normal,4.0–6.0 s,stakes,no patient stock,READY
15,A015,S2,Sommer 1914,real Europe map,EP04A_MAP_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\MAPS\EP04A_Europe_1914_Shepherd_PD.jpg,,dense,2.5–4.0 s,reality_snap,do not imply prophecy proof,READY
16,A016,S2,nicht alles darin nur privat,INNERES/AUSSERES motion,A-G04,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G04_INNERES_AEUSSERES.png,,normal,4.0–6.0 s,question_turn,no causal arrow,READY
17,A017,S2,geht absichtlich zurück hinein,night desk,IMG012,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG012_DESK_GO_BACK_IN.png,,hold,5.0–8.0 s,cliffhanger,sound falls inward,READY
18,A018,S3,wartet auf Bilder,waiting at desk,IMG013,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG013_WAITING_FOR_IMAGES.png,,normal,4.0–6.0 s,ritual_start,not occult ritual,READY
19,A019,S3,fällt er in die Tiefe,vertical descent,IMG014,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG014_VERTICAL_FALL.png,,dense,2.5–4.0 s,threshold,POV fall,READY
20,A020,S3,landet in einer Höhle,cave wide,IMG015,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG015_CAVE_WIDE.png,,hold,5.0–8.0 s,world_reveal,spacious sound,READY
21,A021,S3,Leichnam / Käfer / rote Sonne,detail sequence,IMG017+IMG016,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG017_CORPSE_DISTANT_WATER.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG016_BEETLE_RED_SUN_MACRO.png,,dense,2.5–4.0 s,symbol_density,no gore,READY
22,A022,S3,Elias / Salome,fragmented figures,IMG019,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG019_ELIAS_SALOME_FRAGMENTS.png,,normal,4.0–6.0 s,character_mystery,no Red Book imitation,READY
23,A023,S3,große schwarze Schlange,snake wide,IMG018,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG018_BLACK_SNAKE_CAVE_WIDE.png,,hold,5.0–8.0 s,story_payoff,pay hook,READY
24,A024,S3,Dann kommt Philemon,Philemon distance,IMG020,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG020_PHILEMON_DISTANCE.png,,hold,5.0–8.0 s,character_reveal,dignified not fantasy,READY
25,A025,S3,subjektiv nicht wie Dinge,reflection/space detail,IMG020 or RSV01,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG020_PHILEMON_DISTANCE.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\RESERVE\EP04A_RSV01_CAVE_WATER_DETAIL.png,,normal,4.0–6.0 s,subjective_autonomy,do not visualize external entity claim,READY
26,A026,S3,Patienten / Familie / Arbeit / Alltag,real Jung house/clinic/desk sequence,archive+RSV04,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\RESERVE\EP04A_RSV04_HAND_NOTEBOOK_GROUNDING.png,,normal,4.0–6.0 s,grounding,reality is the stabilizer,READY
27,A027,S3,"nichts hat, das einen hält",black to dry room transition,edit,,,hold,5.0–8.0 s,act_cliffhanger,prepare hard seminar reset,EDITORIAL_SOURCE_OR_MOTION
28,A028,S4,Herbst 1932,seminar reality reset,IMG021,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG021_SEMINAR_RETURN_ANONYMOUS.png,,dense,2.5–4.0 s,reorientation,archive dryness,READY
29,A029,S4,Jakob Wilhelm Hauer,real Hauer portrait if rights-cleared,EP04A_PORTRAIT_004,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\02_REVIEW_YELLOW\PORTRAITS\EP04A_Jakob_Wilhelm_Hauer_1935_Bundesarchiv_CC-BY-SA-3.0.jpg,,normal,4.0–6.0 s,source_chain,label 1935 photo,READY
30,A030,S4,Kundalini unten,real historical plate scan,SHARED_CHAKRA_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,normal,4.0–6.0 s,mechanism,"show original, not AI",READY
31,A031,S4,eingebettet in Praxis,discipline context,IMG023,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG023_DISCIPLINE_CONTEXT.png,,normal,4.0–6.0 s,context,"generic reconstruction, no lineage claim",READY
32,A032,S4,Wir wollen die Technik,fast practical/object details,edit,,,dense,2.5–4.0 s,western_impulse,avoid caricature,EDITORIAL_SOURCE_OR_MOTION
33,A033,S4,eigener Schwerkraft,inner gravity room,IMG025,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG025_INNER_GRAVITY_ROOM.png,,hold,5.0–8.0 s,felt_experience,subtle surrealism,READY
34,A034,S4,liest sie als Zustände,real map + neutral state motion,A-G07,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G07_BODEN_AFFEKT_ABSTAND.png,,normal,4.0–6.0 s,concept_turn,not anatomy,READY
35,A035,S5,Muladhara,grounded ordinary objects,IMG026,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG026_MULADHARA_GROUND.png,,normal,4.0–6.0 s,map_start,no red chakra circle,READY
36,A036,S5,Dann kommt Bewegung / Wasser,material-to-water transition,IMG027,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG027_WATER_MOVEMENT_TRANSITION.png,,normal,4.0–6.0 s,transition,brief,READY
37,A037,S5,Manipura,body micro,IMG028,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG028_MANIPURA_BODY_MACRO.png,,dense,2.5–4.0 s,embodiment,body before theory,READY
38,A038,S5,Gespräch beginnt sachlich,calm conversation,IMG029,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG029_CONVERSATION_BEFORE_TURN.png,,normal,4.0–6.0 s,relatability,ordinary room,READY
39,A039,S5,Dann fällt ein Satz,affect shift,IMG030,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG030_CONVERSATION_AFFECT_SHIFT.png,,dense,2.5–4.0 s,escalation,no shouting,READY
40,A040,S5,Du bist wütend,subjective compression,IMG031,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG031_SUBJECTIVE_COMPRESSION.png,,hold,5.0–8.0 s,identification,no text required,READY
41,A041,S5,von Manipura zu Anahata,breath/open space,IMG032,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG032_ANAHATA_BREATH_OPEN.png,,normal,4.0–6.0 s,release,no green glow,READY
42,A042,S5,Da ist Wut,ICH BIN -> DA IST motion,A-G08,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G08_03_DA_IST_WUT.png,,normal,4.0–6.0 s,cognitive_shift,minimal German type,READY
43,A043,S5,entsteht ... eine Wahl,observer step-back,IMG033,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG033_OBSERVER_STEP_BACK.png,,hold,5.0–8.0 s,micro_climax,let thought land,READY
44,A044,S6,Nachricht erscheint,generic phone,IMG034,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG034_PHONE_NAME_ONLY.png,,dense,2.5–4.0 s,immediate_hook,unreadable interface,READY
45,A045,S6,Körper ist schneller,body reaction,IMG035,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG035_BODY_REACTION_SEQUENCE_STILL.png,,dense,2.5–4.0 s,embodiment,micro SFX,READY
46,A046,S6,formulierst eine Antwort,reply macro,IMG036,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG036_REPLY_FORMING_UNREADABLE.png,,normal,4.0–6.0 s,tension,no readable sentence,READY
47,A047,S6,zwei Sekunden lang nichts,hovering thumb,IMG037,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG037_TWO_SECOND_HOVER.png,,hold,5.0–8.0 s,pause_payoff,music stops; no countdown,READY
48,A048,S6,Du siehst den Impuls,pullback,IMG038,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG038_RELEASE_PULLBACK.png,,normal,4.0–6.0 s,release,space opens,READY
49,A049,S6,KARTE oder SPIEGEL,equal CTA card,A-G10,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G10_KARTE_SPIEGEL.png,,hold,5.0–8.0 s,interaction,never PROJEKTION,READY
50,A050,S6,Karte ... in Bewegung,paper edge -> real source,RSV07+SHARED_BOOK_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\RESERVE\EP04A_RSV07_PAPER_EDGE_TRANSITION.png,SHARED_BOOK_001,dense,2.5–4.0 s,second_turn,source switch,PARTIAL
51,A051,S7,The Serpent Power von 1919,bibliographic 1919 card + real 1924 scan,A-G11,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G11_1919_1924_QUELLENDISZIPLIN.png,,normal,4.0–6.0 s,document_reveal,label actual scan 1924,READY
52,A052,S7,Ṣaṭ-cakra-nirūpaṇa,real source detail,SHARED_BOOK_001,,SHARED_BOOK_001,normal,4.0–6.0 s,source_anchor,no fake manuscript,EDITORIAL_SOURCE_OR_MOTION
53,A053,S7,Sechs,SECHS motion,A-G12,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G12_SECHS_SAHASRARA.png,,hold,5.0–8.0 s,number_reveal,preserve Sahasrara nuance,READY
54,A054,S7,spätere westliche Schichten,tracing layers + real assets,IMG040+A-G13,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG040_EMPTY_TRACING_LAYERS.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G13_KARTE_REIST.png,,normal,4.0–6.0 s,map_mutation,seams visible,READY
55,A055,S7,Karte ... gereist,travel desk / source layers,IMG041,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG041_MAP_TRAVEL_DESK.png,,normal,4.0–6.0 s,history_turn,no conspiracy aesthetic,READY
56,A056,S8,Zurück zu Jung,real Jung portrait/archive,EP04A_PORTRAIT_003,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\PORTRAITS\EP04A_Jung_portrait_PD.jpg,,reset,voice-anchored,return_character,quiet,READY
57,A057,S8,Wasser / Feuer / Höhle / Gestalten / Schlange,selective motif reprise,IMG044+IMG043,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG044_INNER_MAP_INTEGRATION.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG043_BLACK_SNAKE_RESIDUE.png,,hold,5.0–8.0 s,motif_return,do not introduce new mythology,READY
58,A058,S8,fremde symbolische Sprache,map-on-ground conceptual,IMG042,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG042_MAP_ON_REAL_GROUND.png,,normal,4.0–6.0 s,integration,map vs terrain,READY
59,A059,S8,Vielleicht hat Jung Indien ...,Jung + source layers editorial composite,archive+motion,,ARCHIVE_SELECTION,normal,4.0–6.0 s,open_question,no verdict,EDITORIAL_SOURCE_OR_MOTION
60,A060,S8,"warnte, weil er ihnen zu viel zutraute",snake residue,IMG043,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG043_BLACK_SNAKE_RESIDUE.png,,hold,5.0–8.0 s,emotional_close,no Kundalini label,READY
61,A061,S8,Wolfgang Pauli,authentic Pauli archive + clean name card,archive+A-G14,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G14_PAULI_HANDOFF.png,,dense,2.5–4.0 s,next_domain_reveal,no quantum particles,READY
62,A062,S8,Zufall wird zum nächsten Problem,black / minimal structural line,edit,,,hold,5.0–8.0 s,end_hook,last spoken line; no 'next episode' phrase,EDITORIAL_SOURCE_OR_MOTION
