order,cue_id,section,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,prevoice_duration_band,edit_function,notes,status
13,B013,S3,Sechs Zentren,real six-center image,EP04B_CHAKRA_008,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\HISTORICAL_CHAKRA\EP04B_Yogin_six_chakras_late18c_PD.jpg,,hold,5.0–8.0 s,proof,contain image; no crop destroying count,READY
14,B014,S3,Sahasrara,real Serpent Power lotus/detail + B-G04,SHARED_CHAKRA_001+B-G04,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G04_SECHS_PLUS_DARUEBER.png,,normal,4.0–6.0 s,nuance,not 'seventh fake',READY
15,B015,S3,Zählen ist bereits Interpretation,six-plus-above modern scaffold,IMG006,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG006_SIX_PLUS_ABOVE_BASE.png,,normal,4.0–6.0 s,interpretive_turn,clearly modern explanatory graphic,READY
16,B016,S3,Sanskritzeichen / Tiere / Formen,authentic plate details,SHARED_CHAKRA_001+002,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,dense,2.5–4.0 s,historical_strangeness,show evidence,READY
17,B017,S3,beginnt nun zu reisen,book package/transition,IMG011,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG011_BOOK_TRAVEL_PACKAGE.png,,normal,4.0–6.0 s,travel_setup,no red route line,READY
18,B018,S4,1919 erscheint,bibliographic card -> real 1924 scan,B-G05,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G05_1919_1924.png,,normal,4.0–6.0 s,document_reveal,never fake 1919 facsimile,READY
19,B019,S4,Arthur Avalon,clean project/name card,B-G06,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G06_AVALON_NETZWERK.png,,hold,5.0–8.0 s,identity_mystery,not 'fake author' ridicule,READY
20,B020,S4,Sir John Woodroffe,real High Court context + generic study,EP04B_PLACE_005+IMG008,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\CALCUTTA\EP04B_Calcutta_High_Court_Frith_PD.jpg;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG008_COLONIAL_LEGAL_STUDY_GENERIC.png,,normal,4.0–6.0 s,character_context,NPG portrait remains reference-only,READY
21,B021,S4,bengalischen Gelehrten,collaboration wide,IMG009,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG009_WOODROFFE_GHOSE_COLLAB_WIDE.png,,normal,4.0–6.0 s,counterhistory,reconstruction label,READY
22,B022,S4,Atal Bihari Ghose,hands/detail + name motion,IMG010+B-G06,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG010_COLLAB_HANDS_DETAIL.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G06_AVALON_NETZWERK.png,,normal,4.0–6.0 s,network_reveal,no fake portrait,READY
23,B023,S4,Gelehrsamkeit / Macht / Freundschaft / Übersetzung,network motion,B-G06,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G06_AVALON_NETZWERK.png,,dense,2.5–4.0 s,system_view,keep relations nuanced,READY
24,B024,S4,Druck in London,real/process print visuals,IMG007+RSV01,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG007_LONDON_PRINT_SHOP_1919.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\RESERVE\EP04B_RSV01_PRINT_TYPE_DETAIL.png,,normal,4.0–6.0 s,material_transition,dry paper SFX,READY
25,B025,S5,1927 ... Leadbeater,authentic Leadbeater portrait,EP04B_PORTRAIT_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\PORTRAITS\EP04B_Leadbeater_c1925_PD.jpg,,reset,voice-anchored,new_authority,real archive,READY
26,B026,S5,Theosoph und Hellseher,real Theosophy/Adyar context,EP04B_GROUP_001+PLACE_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\GATHERINGS\EP04B_Besant_Leadbeater_London_1901_PD.jpg,,normal,4.0–6.0 s,context,date labels where needed,READY
27,B027,S5,Ich sehe das direkt,authority shift motion,IMG013+B-G08,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG013_CLAIRVOYANCE_AUTHORITY_SHIFT_BASE.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G08_AUTORITAET_WECHSELT.png,,hold,5.0–8.0 s,epistemic_turn,no supernatural validation,READY
28,B028,S5,Bilder werden einflussreich,authentic Leadbeater plate sheet,EP04B_CHAKRA_002,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Chakras_Pictures_1927_PD.jpg,,hold,5.0–8.0 s,document_reveal,let real colors carry beat,READY
29,B029,S5,Andere Farben / Bewegungen / Funktionen,individual real plates,EP04B_CHAKRA_003+004+005+006,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Root_1927_PD.jpg,,dense,2.5–4.0 s,variation,source-native color only,READY
30,B030,S5,drei Schichten,three-layer explanatory motion,B-G10,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G10_MUTATION_STACK.png,,normal,4.0–6.0 s,recap_as_structure,"brief, not lecture",READY
31,B031,S6,eigentliche Mutation,empty acetate stack -> real layers,IMG014+B-G10,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG014_EMPTY_ACETATE_MUTATION_STACK.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G10_MUTATION_STACK.png,,dense,2.5–4.0 s,mutation_start,authentic source compositing,READY
32,B032,S6,Farben wichtiger,Leadbeater detail -> later layer,archive+motion,,ARCHIVE_SELECTION,normal,4.0–6.0 s,layer_add,no single inventor,EDITORIAL_SOURCE_OR_MOTION
33,B033,S6,Körperfunktionen / Psychologie / Entwicklungsstufen,separate labeled acetate sheets,B-G12,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G12_LAYERS_ADDED.png,,normal,4.0–6.0 s,layer_add,labels are interpretive,READY
34,B034,S6,klare Leiter,modern spectrum interface,IMG015,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG015_MODERN_SPECTRUM_INTERFACE.png,,normal,4.0–6.0 s,standardization,clearly modern,READY
35,B035,S6,Rot ... Violett,spectrum locks in,B-G11,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G11_SPEKTRUM.png,,dense,2.5–4.0 s,visual_payoff,clean sequence,READY
36,B036,S6,anschlussfähiger,map absorbs contexts,IMG018,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG018_MAP_ABSORBS_CONTEXTS.png,,normal,4.0–6.0 s,system_turn,not causal proof,READY
37,B037,S6,Nähte,side-view stack,IMG019,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG019_SEAMS_SIDE_VIEW.png,,hold,5.0–8.0 s,second_turn_setup,seams visible,READY
38,B038,S7,warum fühlt sie sich ... richtig an,modern life context,IMG016,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG016_MODERN_LIFE_YOGA_OFFICE_APP.png,,reset,voice-anchored,second_turn,human relevance,READY
39,B039,S7,Yoga / Büro / Therapie / App,contemporary documentary sequence,IMG016+IMG017,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG016_MODERN_LIFE_YOGA_OFFICE_APP.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG017_PSYCHOLOGY_LANGUAGE_LAYER.png,,normal,4.0–6.0 s,cultural_fit,"ordinary life, no stock glamour",READY
40,B040,S7,absorbiert die Karte alles,layer absorption conceptual,IMG018,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG018_MAP_ABSORBS_CONTEXTS.png,,normal,4.0–6.0 s,cultural_mechanism,"overlap, not magical merge",READY
41,B041,S7,kulturell ... Superkraft,modern map works head-on,IMG020,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG020_FINAL_HEADON_AND_SEAMS.png,,hold,5.0–8.0 s,payoff,not endorsement of metaphysical truth,READY
42,B042,S7,C. G. Jung,real Jung portrait + historical map,archive+B-G14,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G14_JUNG_LAYER.png,,normal,4.0–6.0 s,new_layer,psychological interpretation as one layer,READY
43,B043,S7,Muladhara / Manipura / Anahata,brief EP04A-style psychological labels,B-G14,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G14_JUNG_LAYER.png,,normal,4.0–6.0 s,bridge,do not reopen full EP04A explanation,READY
44,B044,S8,dieselbe Karte,modern map returns,IMG001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG001_MODERN_RAINBOW_MAP.png,,reset,voice-anchored,return_object,"same object, changed viewer knowledge",READY
45,B045,S8,jetzt sieht man die Nähte,final seams motion,IMG020+B-G15,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG020_FINAL_HEADON_AND_SEAMS.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G15_02_SICHTBARE_SCHICHTEN.png,,hold,5.0–8.0 s,closing_reveal,camera shift,READY
46,B046,S8,Texte / Übersetzungen / Kolonialgeschichte...,source-layer montage,archive+motion,,ARCHIVE_SELECTION,normal,4.0–6.0 s,summary_as_evidence,not checklist overload,EDITORIAL_SOURCE_OR_MOTION
47,B047,S8,Sind ... deshalb falsch?,clean map without verdict graphics,IMG020,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG020_FINAL_HEADON_AND_SEAMS.png,,hold,5.0–8.0 s,open_question,no debunk stamp,READY
48,B048,S8,Symbole funktionieren nicht wie Fossilien,paper layers in use,RSV04,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\RESERVE\EP04B_RSV04_LAYER_SHADOWS.png,,normal,4.0–6.0 s,philosophical_turn,quiet,READY
49,B049,S8,jede Generation,modern/historical layers aligned but separate,B-G15,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G15_02_SICHTBARE_SCHICHTEN.png,,normal,4.0–6.0 s,residue,construction visible,READY
50,B050,S8,"vergessen, dass jemand sie gezeichnet hat",head-on modern map -> slight side shift -> black,IMG020+B-G15,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG020_FINAL_HEADON_AND_SEAMS.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G15_02_SICHTBARE_SCHICHTEN.png,,hold,5.0–8.0 s,last_line,no teaser; endcard after breath,READY
