episode,visual_order,timeline_block,kind,filename,resolution,prompt_source,references,qa_status,relative_path
EP06,12,S3-S4,MAIN,IMG010_REM_RECORD_EDIT_BASE.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_SCIENCE_EP06.png; EP06_REM_Polysomnography_30sec.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG010_REM_RECORD_EDIT_BASE.png
EP06,13,SERIES,MAIN,IMG011_WAKE_BODY_LAG.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG011_WAKE_BODY_LAG.png
EP06,14,S3-S4,MAIN,IMG012_ARM_COMMAND_NO_RESPONSE.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG012_ARM_COMMAND_NO_RESPONSE.png
EP06,15,SERIES,MAIN,IMG013_INTRUDER_DOORWAY.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG013_INTRUDER_DOORWAY.png
EP06,16,S3-S4,MAIN,IMG014_INCUBUS_PRESSURE.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG014_INCUBUS_PRESSURE.png
EP06,17,SERIES,MAIN,IMG015_VESTIBULAR_FLOAT.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG015_VESTIBULAR_FLOAT.png
EP06,18,SERIES,MAIN,IMG016_THREE_FAMILIES_TRIPTYCH_BASE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG016_THREE_FAMILIES_TRIPTYCH_BASE.png
EP06,19,S3-S4,RESERVE,SHOT03_REM_VS_SLOW_WAVE_SOURCE_TABLE.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,EP06_REM_Polysomnography_30sec.png; EP06_Slow_Wave_Sleep_PSG.jpg,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT03_REM_VS_SLOW_WAVE_SOURCE_TABLE.png
EP06,20,SERIES,RESERVE,SHOT04_EMPTY_BEDROOM_SHADOWS.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT04_EMPTY_BEDROOM_SHADOWS.png
EP06,21,S5-S6,MAIN,IMG017_SLEEP_LAB_WIDE_RECON.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_SCIENCE_EP06.png; EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG017_SLEEP_LAB_WIDE_RECON.png
EP06,22,SERIES,MAIN,IMG018_SLEEP_INTERRUPTION_CLOCK.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_SCIENCE_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG018_SLEEP_INTERRUPTION_CLOCK.png
EP06,23,SERIES,MAIN,IMG019_RETURN_TO_BED_RECON.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_SCIENCE_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG019_RETURN_TO_BED_RECON.png
EP06,24,S5-S6,MAIN,IMG020_EEG_AWAKE_BODY_STILL_BASE.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_SCIENCE_EP06.png; EP06_REM_Polysomnography_30sec.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG020_EEG_AWAKE_BODY_STILL_BASE.png
EP06,25,S5-S6,MAIN,IMG021_LAB_HALLUCINATION_AMBIGUOUS.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_CONCEPTUAL_EP06.png; EP06_Sleep_Studies_NHLBI_Polysomnography.jpg,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG021_LAB_HALLUCINATION_AMBIGUOUS.png
EP06,26,S5-S6,MAIN,IMG022_VIEWER_BEDROOM_TWO_STEPS.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG022_VIEWER_BEDROOM_TWO_STEPS.png
EP06,27,SERIES,MAIN,IMG023_BODY_OR_VISITOR_SPLIT_BASE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG023_BODY_OR_VISITOR_SPLIT_BASE.png
EP06,28,SERIES,MAIN,IMG024_EYE_CORNER_FORM.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG024_EYE_CORNER_FORM.png
EP06,29,S5-S6,RESERVE,SHOT05_LAB_SENSOR_MACRO.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_SCIENCE_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT05_LAB_SENSOR_MACRO.png
EP06,30,SERIES,RESERVE,SHOT06_CTA_EMPTY_ROOM.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT06_CTA_EMPTY_ROOM.png
EP06,31,SERIES,MAIN,IMG025_ALARM_WITHOUT_CAUSE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG025_ALARM_WITHOUT_CAUSE.png
EP06,32,S7-S8,MAIN,IMG026_SOUND_BECOMES_STEP.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG026_SOUND_BECOMES_STEP.png
EP06,33,SERIES,MAIN,IMG027_SHADOW_BECOMES_SHOULDER.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG027_SHADOW_BECOMES_SHOULDER.png
EP06,34,SERIES,MAIN,IMG028_PRESENCE_BEFORE_FORM.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG028_PRESENCE_BEFORE_FORM.png
EP06,35,SERIES,MAIN,IMG029_OBSERVING_INTELLIGENCE_AMBIGUOUS.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG029_OBSERVING_INTELLIGENCE_AMBIGUOUS.png
EP06,36,S7-S8,MAIN,IMG030_HUFFORD_RETURN_WITHOUT_PORTRAIT.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,STYLE_CINEMATIC_EP06.png; EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG030_HUFFORD_RETURN_WITHOUT_PORTRAIT.png
EP06,37,SERIES,MAIN,IMG031_NAMES_OVER_SAME_ROOM_BASE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG031_NAMES_OVER_SAME_ROOM_BASE.png
EP06,38,SERIES,MAIN,IMG032_BEDROOM_TO_COURT_HANDOFF.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG032_BEDROOM_TO_COURT_HANDOFF.png
EP06,39,SERIES,RESERVE,SHOT07_EMPTY_CORNER_AFTER_PRESENCE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT07_EMPTY_CORNER_AFTER_PRESENCE.png
EP06,40,S7-S8,RESERVE,SHOT08_DAWN_AFTER_PARALYSIS.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S7_S8.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT08_DAWN_AFTER_PARALYSIS.png
EP06,V01,SEE_VEO_PLAN,VEO_CLIP,CLIP001_SOUL_BODY_OFFSET.mp4,1920x1080,VEO_CLIP_PLAN.md,start frame documented in episode Veo plan,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP001_SOUL_BODY_OFFSET.mp4
EP06,V02,SEE_VEO_PLAN,VEO_CLIP,CLIP002_REM_SIGNAL_GATE.mp4,1920x1080,VEO_CLIP_PLAN.md,start frame documented in episode Veo plan,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP002_REM_SIGNAL_GATE.mp4
EP06,V03,SEE_VEO_PLAN,VEO_CLIP,CLIP003_OLD_HAG_THRESHOLD.mp4,1920x1080,VEO_CLIP_PLAN.md,start frame documented in episode Veo plan,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP003_OLD_HAG_THRESHOLD.mp4
EP06,V04,SEE_VEO_PLAN,VEO_CLIP,CLIP004_PRESENCE_GEOMETRY.mp4,1920x1080,VEO_CLIP_PLAN.md,start frame documented in episode Veo plan,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/CLIP004_PRESENCE_GEOMETRY.mp4
EP06,C01,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD001_REM_ATONIE.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD001_REM_ATONIE.png
EP06,C02,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD002_DREI_ERLEBNISFAMILIEN.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD002_DREI_ERLEBNISFAMILIEN.png
EP06,C03,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD003_TAKEUCHI_1992.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD003_TAKEUCHI_1992.png
EP06,C04,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD004_PRAESENZMODELL.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD004_PRAESENZMODELL.png
EP06,C05,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD005_FOGO_FELDFORSCHUNG.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD005_FOGO_FELDFORSCHUNG.png
EP06,C06,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD006_CTA_KOERPER_BESUCHER.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD006_CTA_KOERPER_BESUCHER.png
EP06,C07,SEE_CARD_MANIFEST,GRAPHICS_CARD,CARD007_ENDCARD.png,2560x1440,CARDS/CARDS_MANIFEST.csv,factual content locked in production summary,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/CARDS/CARD007_ENDCARD.png
EP07,1,S1-S2,MAIN,IMG001_SALEM_BEDROOM_COMAN_RECON.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG001_SALEM_BEDROOM_COMAN_RECON.png
EP07,2,S1-S2,MAIN,IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG002_COMAN_TRIES_TO_WAKE_WIFE.png
EP07,3,S1-S2,MAIN,IMG003_PRIVATE_NIGHT_TO_COURT.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_ARCHIVE_EP07.png; EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf; EP07_Witchcraft_at_Salem_Village_1876.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG003_PRIVATE_NIGHT_TO_COURT.png
EP07,4,S1-S2,MAIN,IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP07.png; EP07_Bridget_Bishop_lithograph.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png
EP07,5,S1-S2,MAIN,IMG005_NIGHTMARE_MOTIF_ROOM_BASE.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP07.png; EP07_Fuseli_The_Nightmare_1781.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG005_NIGHTMARE_MOTIF_ROOM_BASE.png
EP07,6,S1-S2,RESERVE,SHOT01_SALEM_EMPTY_BED.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP07.png; EP07_Salem_Village_Parsonage_Foundation.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/SHOT01_SALEM_EMPTY_BED.png
EP07,7,S3-S4,MAIN,IMG006_SAME_MECHANIC_DIFFERENT_ROOMS.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CONCEPTUAL_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG006_SAME_MECHANIC_DIFFERENT_ROOMS.png
EP07,8,S3-S4,MAIN,IMG007_MARA_INCUBUS_KANASHIBARI_BASE.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CONCEPTUAL_EP07.png; EP07_Jinn_from_Ali_manuscript.png; EP07_Kunisada_The_Ghost.jpg; EP07_Yoshitoshi_Shoki.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG007_MARA_INCUBUS_KANASHIBARI_BASE.png
EP07,9,S3-S4,MAIN,IMG008_BURNEY_RELIEF_SOURCE_ROOM.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_ARCHIVE_EP07.png; EP07_Queen_of_the_Night_Burney_Relief.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG008_BURNEY_RELIEF_SOURCE_ROOM.png
EP07,10,S3-S4,MAIN,IMG009_MEDIEVAL_BEDROOM_EXPLANATION.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CINEMATIC_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG009_MEDIEVAL_BEDROOM_EXPLANATION.png
EP07,11,S3-S4,MAIN,IMG010_RITUAL_RESPONSE_TABLE.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CINEMATIC_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG010_RITUAL_RESPONSE_TABLE.png
EP07,12,S3-S4,RESERVE,SHOT02_MANY_NAMES_PAPER_LAYERS.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,STYLE_CONCEPTUAL_EP07.png; EP07_Jinn_from_Ali_manuscript.png; EP07_Kunisada_The_Ghost.jpg; EP07_Yoshitoshi_Shoki.jpg,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/SHOT02_MANY_NAMES_PAPER_LAYERS.png
EP07,13,S5-S6,MAIN,IMG011_HUFFORD_FIELD_NOTES_RECON.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_CINEMATIC_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG011_HUFFORD_FIELD_NOTES_RECON.png
EP07,14,S5-S6,MAIN,IMG012_EXPERIENCE_BEFORE_STORY.png,2752x1536,01_PROMPTS/NANOBANANA_PROMPTS_V4_S5_S6.md,STYLE_CONCEPTUAL_EP07.png,FINAL,06_PRODUCTION/EP07_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_Pro_2K_Series/IMG012_EXPERIENCE_BEFORE_STORY.png
