beat,start,dur,states,text
101,426.56,4.8,H50_THREE_READERS_TABLE,"And when it was finally opened, it gave three different readers three different truths."
102,431.46,3.71,H56_EMPTY_SHELVES_GAPS,That is the pattern this series follows.
103,435.24,3.37,EP13-X05,"An institution takes something uncertain, and gives it a form."
104,438.61,1.47,H02_SHEET_TWENTYFIVE_LINES,"Here, the form was an envelope."
105,440.84,2.33,EP13-Y02,The next form is much larger.
106,443.22,8.62,H53_WIDE_PARCHMENT_EDGE|H32_SEALS_ON_CORD,"In July 1530, eighty-three of the most powerful men in England signed a single sheet of parchment and hung eighty-one seals from it in metal cases."
107,451.9,5.06,H54_SEAL_SINGLE_MACRO,They were trying to force a pope to end their king's marriage.
108,457.04,0.72,H54_SEAL_SINGLE_MACRO,He refused.
109,457.8,4.24,H31_PARCHMENT_COLUMNS,"Within four years England broke with Rome, and the marriage ended without him."
110,462.06,3.79,H57_SCALE_PAN_EMPTY,The letter failed at everything it was written to do.
111,465.86,4.36,H33_CRATES_MOUNTAIN_ROAD,"It is still in Rome, seals attached, almost five hundred years later."
112,470.3,9.46,H55_CART_WHEEL_MUD|H34_WASTE_PAPER_WEIGHED,"Other parts of that same archive were carried over the Alps by Napoleon and never came back. Some of it was sold by weight, as waste paper."
113,479.84,3.18,V20_WHAT_SURVIVED,"Next time: why that letter survived, and what did not."
114,483.84,3.14,CARD09_CREDIT,Subscribe if you want to follow this file.
115,487.06,0.99,CARD10_DECISION_END,And before you go: WORLD or MYSELF. Which one were you looking for?
