transition,boundary_seconds,pre_seconds,post_seconds,from_asset,to_asset,mean_abs_pixel_difference,exact_same_frame,status
40,155.690,155.566,155.800,GW_EN_CLIP04_BEAT_RESONANCE.mp4,GW_EN_DOC04_FREQUENCY_RESPONSE.png,151.8724,False,PASS
41,159.820,159.700,159.933,GW_EN_DOC04_FREQUENCY_RESPONSE.png,GW_EN_CARD_BEAT_10HZ.png,158.5431,False,PASS
42,161.740,161.633,161.866,GW_EN_CARD_BEAT_10HZ.png,GW_EN_DOC25_FFR_DETAIL.png,156.8098,False,PASS
43,166.605,166.500,166.733,GW_EN_DOC25_FFR_DETAIL.png,GW_EN_DOC26_ELECTROMAGNETIC_RESPONSE.png,25.9706,False,PASS
44,171.990,171.866,172.100,GW_EN_DOC26_ELECTROMAGNETIC_RESPONSE.png,GW_EN_DOC18_MONROE_PATENT.png,31.1971,False,PASS
45,177.040,176.933,177.166,GW_EN_DOC18_MONROE_PATENT.png,GW_EN_DOC24_GATEWAY_COMPARISON.png,34.0261,False,PASS
46,183.320,183.200,183.433,GW_EN_DOC24_GATEWAY_COMPARISON.png,GW_EN_CLIP05_CROSSING.mp4,156.6456,False,PASS
47,190.450,190.333,190.566,GW_EN_CLIP05_CROSSING.mp4,GW_EN_INNER17_INFORMATION_FIELD_NATIVE.png,40.5640,False,PASS
48,197.050,196.933,197.166,GW_EN_INNER17_INFORMATION_FIELD_NATIVE.png,GW_EN_DOC60_FIELD_INFORMATION_DETAIL.png,152.6097,False,PASS
49,203.645,203.533,203.766,GW_EN_DOC60_FIELD_INFORMATION_DETAIL.png,GW_EN_DOC07_TIME_SPACE.png,31.2918,False,PASS
50,205.950,205.833,206.066,GW_EN_DOC07_TIME_SPACE.png,GW_EN_DOC31_TIME_SPACE_DETAIL.png,29.0739,False,PASS
51,206.760,206.633,206.866,GW_EN_DOC31_TIME_SPACE_DETAIL.png,GW_EN_DOC52_NESTED_SYSTEMS.png,16.5061,False,PASS
52,208.485,208.366,208.600,GW_EN_DOC52_NESTED_SYSTEMS.png,GW_EN_DOC32_CLICKING_OUT.png,18.1848,False,PASS
53,209.780,209.666,209.900,GW_EN_DOC32_CLICKING_OUT.png,GW_EN_DOC01_ARMY_HEADER.png,35.9855,False,PASS
54,211.020,210.900,211.133,GW_EN_DOC01_ARMY_HEADER.png,GW_EN_CARD_CROSSING_SUMMARY.png,166.1399,False,PASS
55,214.655,214.533,214.766,GW_EN_CARD_CROSSING_SUMMARY.png,GW_EN_DOC42_STUDY_LIMIT.png,154.8837,False,PASS
56,217.360,217.233,217.466,GW_EN_DOC42_STUDY_LIMIT.png,GW_EN_CARD_CROSSING_COSMOLOGY.png,162.1163,False,PASS
57,222.400,222.266,222.533,GW_EN_CARD_CROSSING_COSMOLOGY.png,FORT_MEADE_CURRENT_CC_BY_SA_2.jpg,108.3296,False,PASS
58,229.050,228.933,229.166,FORT_MEADE_CURRENT_CC_BY_SA_2.jpg,GW_EN_CARD_INTERPRETATION_TEST.png,107.5801,False,PASS
59,235.305,235.200,235.433,GW_EN_CARD_INTERPRETATION_TEST.png,GW_EN_DOC14_CONCLUSION.png,148.9913,False,PASS
60,238.810,238.700,238.933,GW_EN_DOC14_CONCLUSION.png,GW_EN_DOC09_FOCUS15.png,24.8600,False,PASS
61,242.325,242.200,242.433,GW_EN_DOC09_FOCUS15.png,GW_EN_CARD_FOCUS10_STATE.png,156.5182,False,PASS
62,245.584,245.466,245.700,GW_EN_CARD_FOCUS10_STATE.png,GW_EN_INNER07_FOCUS12_EXPANSION_NATIVE.png,33.5322,False,PASS
63,249.120,248.999,249.233,GW_EN_INNER07_FOCUS12_EXPANSION_NATIVE.png,GW_EN_CARD_FOCUS15.png,33.3546,False,PASS
64,251.790,251.666,251.899,GW_EN_CARD_FOCUS15.png,GW_EN_DOC45_FOCUS15_RECAP.png,154.2176,False,PASS
65,254.870,254.766,254.999,GW_EN_DOC45_FOCUS15_RECAP.png,GW_EN_CLIP06_FOCUS_WHEEL.mp4,137.1199,False,PASS
66,262.340,262.233,262.466,GW_EN_CLIP06_FOCUS_WHEEL.mp4,GW_EN_INNER16_BODY_TURN_DIFFICULTY_NATIVE.png,62.1859,False,PASS
67,265.880,265.766,265.999,GW_EN_INNER16_BODY_TURN_DIFFICULTY_NATIVE.png,GW_EN_CARD_FEWER_5.png,11.8528,False,PASS
68,272.020,271.899,272.133,GW_EN_CARD_FEWER_5.png,GW_EN_DOC10_FOCUS21.png,151.3152,False,PASS
69,275.035,274.899,275.166,GW_EN_DOC10_FOCUS21.png,GW_EN_DOC11_ROLLOUT.png,25.2345,False,PASS
70,279.510,279.399,279.633,GW_EN_DOC11_ROLLOUT.png,GW_EN_DOC49_ROLL_OUT_DETAIL.png,34.4736,False,PASS
71,280.630,280.499,280.766,GW_EN_DOC49_ROLL_OUT_DETAIL.png,GW_EN_INNER09_RISE_UPWARD_NATIVE.png,161.1445,False,PASS
72,281.680,281.566,281.799,GW_EN_INNER09_RISE_UPWARD_NATIVE.png,GW_EN_DOC51_OPENING_DETAIL.png,153.6318,False,PASS
73,283.155,283.033,283.266,GW_EN_DOC51_OPENING_DETAIL.png,GW_EN_INNER08_FOCUS21_THRESHOLD_NATIVE.png,150.6406,False,PASS
74,286.990,286.866,287.099,GW_EN_INNER08_FOCUS21_THRESHOLD_NATIVE.png,GW_EN_STILL03_TEN_DIGIT_PARTICIPANT_V2_FINAL.png,65.4528,False,PASS
75,291.130,290.999,291.266,GW_EN_STILL03_TEN_DIGIT_PARTICIPANT_V2_FINAL.png,GW_EN_DOC35_DIGIT_PROCEDURE.png,120.4315,False,PASS
76,293.030,292.899,293.166,GW_EN_DOC35_DIGIT_PROCEDURE.png,GW_EN_DOC12_TEN_DIGITS.png,30.6308,False,PASS
77,295.080,294.966,295.199,GW_EN_DOC12_TEN_DIGITS.png,GW_EN_CLIP07_TEN_DIGITS.mp4,144.1576,False,PASS
78,303.940,303.833,304.066,GW_EN_CLIP07_TEN_DIGITS.mp4,GW_EN_DOC57_MATCHING_DIGITS.png,140.4534,False,PASS
79,307.960,307.833,308.066,GW_EN_DOC57_MATCHING_DIGITS.png,GW_EN_FILMIC19_PARTIAL_DIGIT_NOTES_NATIVE.png,126.1466,False,PASS
80,311.970,311.866,312.099,GW_EN_FILMIC19_PARTIAL_DIGIT_NOTES_NATIVE.png,GW_EN_DOC36_DIGIT_FAILURE.png,124.7588,False,PASS
81,313.950,313.833,314.066,GW_EN_DOC36_DIGIT_FAILURE.png,GW_EN_CARD_TEST_NOT_PROOF.png,163.5443,False,PASS
82,320.020,319.899,320.133,GW_EN_CARD_TEST_NOT_PROOF.png,GW_EN_DOC37_DISTORTION_DETAIL.png,159.0397,False,PASS
83,322.950,322.833,323.066,GW_EN_DOC37_DISTORTION_DETAIL.png,GW_EN_DOC13_DISTORTION.png,35.2723,False,PASS
84,324.950,324.833,325.066,GW_EN_DOC13_DISTORTION.png,GW_EN_INNER10_DISTORTION_BLEND_NATIVE.png,147.9389,False,PASS
85,330.240,330.133,330.366,GW_EN_INNER10_DISTORTION_BLEND_NATIVE.png,GW_EN_CARD_SOURCE_UNCERTAIN.png,35.3202,False,PASS
86,332.930,332.799,333.066,GW_EN_CARD_SOURCE_UNCERTAIN.png,GW_EN_DOC38_MULTIFOCUS_DETAIL.png,152.9249,False,PASS
87,336.540,336.433,336.666,GW_EN_DOC38_MULTIFOCUS_DETAIL.png,GW_EN_CARD_DECISION_QUESTION.png,164.0498,False,PASS
88,338.120,337.999,338.233,GW_EN_CARD_DECISION_QUESTION.png,GW_EN_STILL05_THREE_OBSERVERS_V2_FINAL.png,68.2309,False,PASS
89,343.405,343.299,343.533,GW_EN_STILL05_THREE_OBSERVERS_V2_FINAL.png,GW_EN_INNER14_RECOMMENDATION_H_TRIAL_NATIVE.png,68.3056,False,PASS
90,349.525,349.399,349.633,GW_EN_INNER14_RECOMMENDATION_H_TRIAL_NATIVE.png,GW_EN_FILMIC20_AUTHORIZATION_HAND_NATIVE.png,31.6543,False,PASS
91,355.755,355.633,355.866,GW_EN_FILMIC20_AUTHORIZATION_HAND_NATIVE.png,GW_EN_DOC41_RECOMMENDATION_INTRO.png,144.0983,False,PASS
92,357.745,357.633,357.866,GW_EN_DOC41_RECOMMENDATION_INTRO.png,GW_EN_DOC39_NONCORPOREAL_DETAIL.png,20.5415,False,PASS
93,362.755,362.633,362.866,GW_EN_DOC39_NONCORPOREAL_DETAIL.png,GW_EN_INNER15_NONPHYSICAL_PRESENCE_NATIVE.png,169.5552,False,PASS
94,367.625,367.499,367.733,GW_EN_INNER15_NONPHYSICAL_PRESENCE_NATIVE.png,GW_EN_DOC40_HOLOGRAPHIC_DEFENCE.png,165.7542,False,PASS
95,372.905,372.799,373.033,GW_EN_DOC40_HOLOGRAPHIC_DEFENCE.png,GW_EN_INNER11_DEFENSIVE_PERIMETER_NATIVE.png,162.2056,False,PASS
96,377.825,377.699,377.933,GW_EN_INNER11_DEFENSIVE_PERIMETER_NATIVE.png,GW_EN_CARD_RECOMMENDATION_JK.png,18.4848,False,PASS
97,381.595,381.466,381.699,GW_EN_CARD_RECOMMENDATION_JK.png,GW_EN_DOC16_RECOMMENDATIONS_JK.png,157.9611,False,PASS
98,386.855,386.733,386.966,GW_EN_DOC16_RECOMMENDATIONS_JK.png,GW_EN_DOC59_FFR_MODERN_BOUNDARY.png,35.2752,False,PASS
99,390.670,390.566,390.799,GW_EN_DOC59_FFR_MODERN_BOUNDARY.png,GW_EN_FILMIC22_MODERN_EEG_LAB_NATIVE.png,151.3158,False,PASS
100,396.330,396.199,396.466,GW_EN_FILMIC22_MODERN_EEG_LAB_NATIVE.png,GW_EN_CARD_EVIDENCE_MIXED.png,30.9537,False,PASS
101,402.300,402.166,402.433,GW_EN_CARD_EVIDENCE_MIXED.png,GW_EN_CARD_EEG_MIXED.png,5.7863,False,PASS
102,406.830,406.699,406.966,GW_EN_CARD_EEG_MIXED.png,GW_EN_INNER12_STATE_NOT_INFORMATION_NATIVE.png,16.9352,False,PASS
103,411.820,411.699,411.932,GW_EN_INNER12_STATE_NOT_INFORMATION_NATIVE.png,GW_EN_CARD_HIDDEN_DIGITS_GAP.png,17.6252,False,PASS
104,415.395,415.266,415.499,GW_EN_CARD_HIDDEN_DIGITS_GAP.png,GW_EN_FILMIC23_NO_DATASET_EMPTY_LAB_NATIVE.png,34.0743,False,PASS
105,419.230,419.099,419.366,GW_EN_FILMIC23_NO_DATASET_EMPTY_LAB_NATIVE.png,GW_EN_DOC54_SUBJECT_RECAP.png,147.2560,False,PASS
106,422.395,422.266,422.499,GW_EN_DOC54_SUBJECT_RECAP.png,GW_EN_DOC55_AUTHOR_RECAP.png,20.3569,False,PASS
107,426.970,426.866,427.099,GW_EN_DOC55_AUTHOR_RECAP.png,GW_EN_DOC56_FOCUS_RECAP_ALT.png,22.9578,False,PASS
108,429.640,429.532,429.766,GW_EN_DOC56_FOCUS_RECAP_ALT.png,GW_EN_DOC46_DIGIT_RECAP.png,23.5950,False,PASS
109,432.130,431.999,432.266,GW_EN_DOC46_DIGIT_RECAP.png,GW_EN_DOC53_NONCORPOREAL_RECAP.png,25.1348,False,PASS
110,434.750,434.632,434.866,GW_EN_DOC53_NONCORPOREAL_RECAP.png,GW_EN_CARD_PROOF_BOUNDARY.png,167.1042,False,PASS
111,439.695,439.566,439.799,GW_EN_CARD_PROOF_BOUNDARY.png,GW_EN_CARD_ARMY_NOT_CIA_RECAP.png,8.4948,False,PASS
112,442.950,442.832,443.066,GW_EN_CARD_ARMY_NOT_CIA_RECAP.png,GW_EN_DOC47_ARMY_HEADER_RECAP.png,162.5829,False,PASS
113,445.790,445.666,445.899,GW_EN_DOC47_ARMY_HEADER_RECAP.png,GW_EN_CLIP12_THREE_INPUTS_PROGRESS.mp4,156.8340,False,PASS
114,453.860,453.732,453.966,GW_EN_CLIP12_THREE_INPUTS_PROGRESS.mp4,GW_EN_CARD_H_PROTOCOL_RECAP.png,32.8684,False,PASS
115,457.880,457.766,457.999,GW_EN_CARD_H_PROTOCOL_RECAP.png,GW_EN_CARD_OVERREACH.png,13.0421,False,PASS
116,459.990,459.866,460.099,GW_EN_CARD_OVERREACH.png,GW_EN_FILMIC25_COLD_WAR_DESPERATION_NATIVE.png,16.9089,False,PASS
117,461.665,461.532,461.799,GW_EN_FILMIC25_COLD_WAR_DESPERATION_NATIVE.png,GW_EN_INNER13_UNANSWERED_ANOMALY_NATIVE.png,28.4558,False,PASS
118,465.010,464.899,465.132,GW_EN_INNER13_UNANSWERED_ANOMALY_NATIVE.png,GW_EN_DOC48_CONCLUSION_RECAP.png,142.2272,False,PASS
119,467.355,467.232,467.466,GW_EN_DOC48_CONCLUSION_RECAP.png,GW_EN_CLIP10_ZERO_ONE_HANDOFF.mp4,161.9314,False,PASS
120,475.150,475.032,475.266,GW_EN_CLIP10_ZERO_ONE_HANDOFF.mp4,GW_EN_CARD_14M.png,6.5387,False,PASS
121,476.975,476.866,477.099,GW_EN_CARD_14M.png,GW_EN_FILMIC27_ANONYMOUS_OPERATOR_NATIVE.png,33.8459,False,PASS
