shot_id,start,end,duration,paragraphs,act,mode,picture_function_class,exact_voice,positive_claim_or_function,open_question_or_theory,primary_asset,visual_direction,card_text,sfx_function,source_anchor,self_contradiction_check
EP05_SHOT_011,57.020,63.880,6.860,15-16,HUFFORD_NIGHT,RECONSTRUCTION,MECHANISM/AHA,"At the time, he had no name for it. He did not know that this sequence was already living inside another community's stories.","new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_011,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_012,64.519,68.040,3.521,17-17,HUFFORD_NIGHT,RECONSTRUCTION,MECHANISM/AHA,And that turns one frightening night into a much stranger question.,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_012,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_013,69.060,72.700,3.640,18-18,HUFFORD_NIGHT,RECONSTRUCTION,MECHANISM/AHA,Can an experience reach us before the story that is supposed to explain it?,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_013,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",THE PATTERN / BEFORE THE NAME,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_014,73.520,79.230,5.710,19-20,FOGO_OLD_HAG,ARCHIVE,REALITY ANCHOR,"Years later, Hufford worked with local accounts and archives in Newfoundland. On Fogo Island,","Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_014,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_015,79.460,84.500,5.040,20-20,FOGO_OLD_HAG,ARCHIVE,REALITY ANCHOR,he encountered an expression that sounded almost casual: to have the Old Hag.,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_015,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_016,84.560,89.370,4.810,21-23,FOGO_OLD_HAG,ARCHIVE,HISTORICAL/FOLKLORE,A person wakes in a familiar room. They cannot move. Something approaches.,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_016,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_017,90.080,93.600,3.520,24-25,FOGO_OLD_HAG,ARCHIVE,HISTORICAL/FOLKLORE,Breathing becomes difficult. A weight settles onto the chest.,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_017,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_018,94.180,98.740,4.560,26-26,FOGO_OLD_HAG,ARCHIVE,HISTORICAL/FOLKLORE,And through it all comes the absolute conviction that this is happening while they are awake.,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_018,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_019,99.560,106.000,6.440,27-28,FOGO_OLD_HAG,ARCHIVE,REALITY ANCHOR,"For Hufford, the resemblance was uncomfortably precise. He later collected accounts from other people who,","Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_019,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_020,106.060,110.540,4.480,28-29,FOGO_OLD_HAG,ARCHIVE,REALITY ANCHOR,"he reported, had not known the tradition beforehand. In 1982,","Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_020,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",1982 / THE TERROR THAT COMES IN THE NIGHT,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_021,110.880,116.800,5.920,29-30,FOGO_OLD_HAG,ARCHIVE,REALITY ANCHOR,that work became The Terror That Comes in the Night. Perhaps culture gives the experience a face.,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_021,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_022,117.600,120.300,2.700,31-31,FOGO_OLD_HAG,ARCHIVE,TRANSITION/REVEAL,But what if the experience sometimes comes first?,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",modal/open where voiced; no extra disclaimer,EP05_FOGO_OLD_HAG_022,"Fogo village, 1873 chart and material archive move from place to recurring Old Hag sequence, ending on Hufford's book",,"coastal room tone and paper texture, restrained",Fogo public-domain photo and chart / Hufford publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_023,121.080,126.160,5.080,32-32,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,"Every night during REM sleep, the brain restrains much of the body's voluntary movement.",real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_023,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_024,126.220,131.940,5.720,33-33,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,It is a protective silence built into dreaming: the dream can run while the body remains still.,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_024,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_025,132.680,137.090,4.410,34-35,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,"Usually, awareness and movement return together. In sleep paralysis,",real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_025,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_026,137.340,143.260,5.920,35-36,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,the handover slips out of sequence. Your mind reaches the room before movement reaches your muscles.,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_026,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,MIND REACHES THE ROOM / MOVEMENT DOES NOT,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_027,143.960,150.109,6.149,37-40,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,"You know where you are. You can see the door. You can hear the room around you. The command to move is real,",real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_027,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_028,150.370,156.549,6.179,40-41,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,"but the arm does not respond. Breathing continues, yet the chest can feel unfamiliar or restricted,",real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_028,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_029,157.140,163.200,6.060,41-42,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,especially when fear turns every sensation into urgent information. This explains the paralysis.,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_029,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_030,163.760,165.549,1.789,43-43,REM_ATONIA,EXPLANATORY MODEL,MECHANISM/AHA,It does not yet explain the footsteps.,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,modal/open where voiced; no extra disclaimer,EP05_REM_ATONIA_030,real REM/PSG evidence leads into an embodied motor-command model; body stays still while awareness reaches the room,,"score clears; soft trace pulse, breath and muted motor impulse only",public-domain REM PSG / NHLBI sleep study,PASS - image/card/SFX preserve voice strength
EP05_SHOT_031,166.540,171.109,4.569,44-44,THREE_FAMILIES,INNER / HYPOTHESIS,REALITY ANCHOR,"When psychologist J. Allan Cheyne and his colleagues studied these experiences,","Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_031,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_032,171.730,176.530,4.800,44-45,THREE_FAMILIES,INNER / HYPOTHESIS,REALITY ANCHOR,the reports did not scatter randomly. They repeatedly formed three broad families.,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_032,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_033,177.160,182.900,5.740,46-46,THREE_FAMILIES,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"First comes the Intruder: a sound, a shadow, footsteps, the sense that someone is present.","Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_033,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",INTRUDER,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_034,183.500,188.880,5.380,47-47,THREE_FAMILIES,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"Then the Incubus: pressure, choking, weight, something holding the body down.","Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_034,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",INCUBUS,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_035,189.800,196.049,6.249,48-49,THREE_FAMILIES,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"And in the third family, the body itself loses its usual boundaries. People feel themselves floating,","Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_035,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",BODY WITHOUT BORDERS,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_036,196.400,200.920,4.520,49-49,THREE_FAMILIES,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"falling, turning, or looking back at the place where their body should be.","Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_036,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_037,200.980,204.109,3.129,50-52,THREE_FAMILIES,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,A visitor. An attack. An escape from the body.,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_037,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_038,204.860,210.350,5.490,53-53,THREE_FAMILIES,INNER / HYPOTHESIS,MECHANISM/AHA,Why does one unstable border between sleep and waking keep opening into these particular rooms?,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",modal/open where voiced; no extra disclaimer,EP05_THREE_FAMILIES_038,"Cheyne publication anchor, then three materially distinct progressive spaces: Intruder, Incubus, body without borders",,lateral presence -> chest pressure -> spatial lift; states do not overlap,Cheyne citation and official Waterloo identity,PASS - image/card/SFX preserve voice strength
EP05_SHOT_039,211.410,217.120,5.710,54-54,TAKEUCHI,ORIGINAL DOCUMENT,REALITY ANCHOR,"In 1992, Japanese sleep researchers worked with sixteen healthy participants.","full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_039,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",16 PARTICIPANTS,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_040,217.160,224.320,7.160,55-55,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,Their question was restrained but important: could sleep paralysis become more likely if sleep and REM were deliberately disrupted?,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_040,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_041,225.060,230.080,5.020,56-56,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,"Participants were allowed to sleep, awakened at selected times, kept awake for an hour,","full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_041,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",60 MINUTES AWAKE,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_042,230.420,235.600,5.180,56-56,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,and then sent back to bed while researchers monitored brain activity and muscle tone.,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_042,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_043,235.660,241.750,6.090,57-59,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,"It did not happen on command. It did not happen to everyone. But under those interrupted-sleep conditions,","full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_043,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_044,242.060,247.620,5.560,59-60,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,six episodes of isolated sleep paralysis occurred. The people knew they were in a laboratory.,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_044,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",6 EPISODES,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_045,248.220,253.240,5.020,61-61,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,"They were conscious enough to recognize their surroundings, yet their bodies remained immobilized.","full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_045,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_046,253.920,258.940,5.020,62-62,TAKEUCHI,ORIGINAL DOCUMENT,MECHANISM/AHA,Most of those episodes also included disturbing visual or auditory experiences.,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_046,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_047,259.600,266.340,6.740,63-63,TAKEUCHI,ORIGINAL DOCUMENT,REALITY ANCHOR,Their reports and polysomnograms captured the contradiction: waking awareness while muscular atonia persisted.,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_047,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",WAKING AWARENESS / ATONIA PERSISTS,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_048,267.000,271.760,4.760,64-65,TAKEUCHI,ORIGINAL DOCUMENT,TRANSITION/REVEAL,The doorway into the state was measurable. What stepped through it felt deeply personal.,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",modal/open where voiced; no extra disclaimer,EP05_TAKEUCHI_048,"full PubMed title/author/abstract context, then accurate interruption protocol and six discrete result marks",,"clean laboratory clock and relay texture; six quiet arrivals, no horror hits",PubMed PMID 1621022,PASS - image/card/SFX preserve voice strength
EP05_SHOT_049,272.600,278.300,5.700,66-67,VIEWER_DECISION,RECONSTRUCTION,HUMAN EMOTION,"Before we consider why a presence appears, put yourself inside the moment. You wake tonight.","new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",modal/open where voiced; no extra disclaimer,EP05_VIEWER_DECISION_049,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",,"one distinct restrained signature for pressure, sound and presence",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_050,278.980,285.000,6.020,68-70,VIEWER_DECISION,RECONSTRUCTION,HUMAN EMOTION,Your bedroom door is closed. Your arm will not move. Then you hear two steps beside the bed.,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",modal/open where voiced; no extra disclaimer,EP05_VIEWER_DECISION_050,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",,"one distinct restrained signature for pressure, sound and presence",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_051,285.820,292.280,6.460,71-72,VIEWER_DECISION,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,The air feels occupied before you can see any shape. Which detail would convince you first that someone was there:,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",modal/open where voiced; no extra disclaimer,EP05_VIEWER_DECISION_051,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",,"one distinct restrained signature for pressure, sound and presence",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_052,292.870,297.680,4.810,72-73,VIEWER_DECISION,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,"the pressure, the sound, or the presence itself? Leave one word below:","new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",modal/open where voiced; no extra disclaimer,EP05_VIEWER_DECISION_052,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",,"one distinct restrained signature for pressure, sound and presence",,PASS - image/card/SFX preserve voice strength
