shot_id,start,end,act,palette_world,planned_luminance,visual_focus,contrast_function,exact_voice
EP05_SHOT_032,171.730,176.530,THREE_FAMILIES,ARCHIVE / RESEARCH,HIGH 130–220,Cheyne identity / publication / clustering,science reset,the reports did not scatter randomly. They repeatedly formed three broad families.
EP05_SHOT_033,177.160,182.900,THREE_FAMILIES,NOCTURNAL EXPERIENCE,LOW 15–45,Intruder / Incubus face + figure,controlled descent,"First comes the Intruder: a sound, a shadow, footsteps, the sense that someone is present."
EP05_SHOT_034,183.500,188.880,THREE_FAMILIES,NOCTURNAL EXPERIENCE,LOW 15–45,Intruder / Incubus face + figure,controlled descent,"Then the Incubus: pressure, choking, weight, something holding the body down."
EP05_SHOT_035,189.800,196.049,THREE_FAMILIES,DREAM BODY,MID 55–145,lifted double / vestibular body,luminous third family,"And in the third family, the body itself loses its usual boundaries. People feel themselves floating,"
EP05_SHOT_036,196.400,200.920,THREE_FAMILIES,DREAM BODY,MID 55–145,lifted double / vestibular body,luminous third family,"falling, turning, or looking back at the place where their body should be."
EP05_SHOT_037,200.980,204.109,THREE_FAMILIES,DREAM BODY,MID 55–145,lifted double / vestibular body,luminous third family,A visitor. An attack. An escape from the body.
EP05_SHOT_038,204.860,210.350,THREE_FAMILIES,TRANSITION,MID 70–110,three spaces resolve,open question,Why does one unstable border between sleep and waking keep opening into these particular rooms?
EP05_SHOT_039,211.410,217.120,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,"In 1992, Japanese sleep researchers worked with sixteen healthy participants."
EP05_SHOT_040,217.160,224.320,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,Their question was restrained but important: could sleep paralysis become more likely if sleep and REM were deliberately disrupted?
EP05_SHOT_041,225.060,230.080,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,"Participants were allowed to sleep, awakened at selected times, kept awake for an hour,"
EP05_SHOT_042,230.420,235.600,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,and then sent back to bed while researchers monitored brain activity and muscle tone.
EP05_SHOT_043,235.660,241.750,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,"It did not happen on command. It did not happen to everyone. But under those interrupted-sleep conditions,"
EP05_SHOT_044,242.060,247.620,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,six episodes of isolated sleep paralysis occurred. The people knew they were in a laboratory.
EP05_SHOT_045,248.220,253.240,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,"They were conscious enough to recognize their surroundings, yet their bodies remained immobilized."
EP05_SHOT_046,253.920,258.940,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,Most of those episodes also included disturbing visual or auditory experiences.
EP05_SHOT_047,259.600,266.340,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,Their reports and polysomnograms captured the contradiction: waking awareness while muscular atonia persisted.
EP05_SHOT_048,267.000,271.760,TAKEUCHI,SCIENCE / LAB,MID-HIGH 85–210,paper / human lab / clock / sensors / PSG,bright measured contradiction,The doorway into the state was measurable. What stepped through it felt deeply personal.
EP05_SHOT_049,272.600,278.300,VIEWER_DECISION,NOCTURNAL EXPERIENCE,LOW 15–50,viewer face / direction / forming presence,dark subjective run,"Before we consider why a presence appears, put yourself inside the moment. You wake tonight."
EP05_SHOT_050,278.980,285.000,VIEWER_DECISION,NOCTURNAL EXPERIENCE,LOW 15–50,viewer face / direction / forming presence,dark subjective run,Your bedroom door is closed. Your arm will not move. Then you hear two steps beside the bed.
EP05_SHOT_051,285.820,292.280,VIEWER_DECISION,NOCTURNAL EXPERIENCE,LOW 15–50,viewer face / direction / forming presence,dark subjective run,The air feels occupied before you can see any shape. Which detail would convince you first that someone was there:
EP05_SHOT_052,292.870,297.680,VIEWER_DECISION,INTERACTION / WARM NEUTRAL,MID 75–115,one phrase at a time in room,mandatory luminance break,"the pressure, the sound, or the presence itself? Leave one word below:"
EP05_SHOT_053,298.120,303.260,VIEWER_DECISION,INTERACTION / WARM NEUTRAL,MID 75–115,one phrase at a time in room,mandatory luminance break,"PRESSURE, SOUND, or PRESENCE. And if this has happened to you, tell us which came first."
EP05_SHOT_054,303.940,309.620,VIEWER_DECISION,NOCTURNAL EXPERIENCE,LOW 15–50,viewer face / direction / forming presence,dark subjective run,"Because for some people, the presence arrives before the image. That may be the strangest part of all."
EP05_SHOT_055,310.300,315.700,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,One plausible explanation begins with alarm. You are conscious enough to know that something is wrong.
EP05_SHOT_056,316.480,321.540,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,You cannot move. Your breathing feels unfamiliar. Yet there is no visible cause.
EP05_SHOT_057,322.250,329.540,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,"The mind is left with danger, but no source for it. In that condition, a perceptual system may begin searching for an agent."
EP05_SHOT_058,330.180,335.440,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,A small sound gains the rhythm of a footstep. A coat and a doorway align into a shoulder.
EP05_SHOT_059,336.300,342.660,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,"Pressure gains direction, then weight, then intention. The brain does not merely record a room."
EP05_SHOT_060,342.700,348.230,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,"It continuously predicts what the room contains. Under fear and incomplete information,"
EP05_SHOT_061,348.620,355.400,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,those predictions can become intensely specific. This offers a route by which ambiguity may acquire a body.
EP05_SHOT_062,356.040,361.960,AGENCY_MODEL,ARCHIVE / EXPLANATION,MID-HIGH 80–190,cream drawing / object assembly / bodily mechanism,graphic clarity,But it leaves a more intimate question untouched. Why do some people feel watched before they see anything at all?
EP05_SHOT_063,362.720,367.950,PRESENCE_BEFORE_FORM,NOCTURNAL EXPERIENCE,LOW 15–40,empty direction → partial form,darkest earned peak,"In some accounts, there is no face. No outline. Sometimes there is not even a sound."
EP05_SHOT_064,368.680,373.250,PRESENCE_BEFORE_FORM,NOCTURNAL EXPERIENCE,LOW 15–40,empty direction → partial form,darkest earned peak,"There is only the certainty that another awareness is in the room. It is waiting,"
EP05_SHOT_065,373.500,377.300,PRESENCE_BEFORE_FORM,NOCTURNAL EXPERIENCE,LOW 15–40,empty direction → partial form,darkest earned peak,"observing, or moving closer. The figure may appear later,"
EP05_SHOT_066,377.680,381.700,PRESENCE_BEFORE_FORM,NOCTURNAL EXPERIENCE,LOW 15–40,empty direction → partial form,darkest earned peak,almost as if the mind is giving shape to something it already believes is there.
EP05_SHOT_067,382.320,389.730,PRESENCE_BEFORE_FORM,ARCHIVE / EXPLANATION,HIGH 120–210,research / names / story feedback drawing,release from peak,Research can classify the pattern and test mechanisms behind it. But it cannot inhabit every subjective second of the experience.
EP05_SHOT_068,390.500,395.240,PRESENCE_BEFORE_FORM,ARCHIVE / EXPLANATION,HIGH 120–210,research / names / story feedback drawing,release from peak,That may be why sleep paralysis never remained only a sleep disorder.
EP05_SHOT_069,395.300,402.720,PRESENCE_BEFORE_FORM,ARCHIVE / EXPLANATION,HIGH 120–210,research / names / story feedback drawing,release from peak,An invisible cause receives a name. The name becomes a story. The story changes what the next person expects to meet.
EP05_SHOT_070,403.380,405.580,PRESENCE_BEFORE_FORM,ARCHIVE / EXPLANATION,HIGH 120–210,research / names / story feedback drawing,release from peak,And then the encounter feeds the story again.
EP05_SHOT_071,406.240,411.960,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,So return to Hufford's original problem. His body may have been caught between REM sleep and waking.
EP05_SHOT_072,412.750,420.640,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,That explains why he could not move. The Old Hag tradition may have supplied a cultural form for similar experiences in Newfoundland.
EP05_SHOT_073,421.720,426.860,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,But Hufford's question survives because he said he encountered the pattern before he encountered its name.
EP05_SHOT_074,427.700,432.320,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,"What if folklore does not merely invent beings? What if, at least sometimes,"
EP05_SHOT_075,432.600,437.500,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,"it preserves the recurring shape of an experience: an experience produced where body,"
EP05_SHOT_076,437.800,444.400,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,"perception, and expectation meet? The physiology opens the door. Culture gives the darkness a face."
EP05_SHOT_077,444.820,448.400,HUFFORD_CALLBACK,ARCHIVE / ART,MID-HIGH 80–190,authentic Hufford / book / historical art,material travel,"And once that face exists, it may enter the next person's night."
EP05_SHOT_078,449.440,452.880,SALEM_HANDOFF,SALEM / HISTORICAL CONSEQUENCE,MID-HIGH 75–180,warm court / ink / full source / faces,human social consequence,"In 1692, a private night entered the public record."
EP05_SHOT_079,453.560,458.780,SALEM_HANDOFF,SALEM / HISTORICAL CONSEQUENCE,MID-HIGH 75–180,warm court / ink / full source / faces,human social consequence,"A witness in Salem later described a woman entering a locked room, pressing onto his chest,"
EP05_SHOT_080,459.120,466.480,SALEM_HANDOFF,SALEM / HISTORICAL CONSEQUENCE,MID-HIGH 75–180,warm court / ink / full source / faces,human social consequence,and leaving him unable to speak or move. Her name was Bridget Bishop. The experience became part of the case against her.
EP05_SHOT_081,467.140,471.840,SALEM_HANDOFF,SALEM / HISTORICAL CONSEQUENCE,MID-HIGH 75–180,warm court / ink / full source / faces,human social consequence,"In June, she was tried, convicted, and hanged for witchcraft. In Part Two,"
EP05_SHOT_082,472.140,480.900,SALEM_HANDOFF,SALEM / HISTORICAL CONSEQUENCE,MID-HIGH 75–180,warm court / ink / full source / faces,human social consequence,we follow the visitor from the bedroom into the courtroom and ask what happens when an experience no one else can see becomes evidence against another human being.
EP05_SHOT_083,481.620,486.760,SALEM_HANDOFF,SALEM / HISTORICAL CONSEQUENCE,MID-HIGH 75–180,warm court / ink / full source / faces,human social consequence,"Subscribe if you want to continue that trail. And before you leave: PRESSURE, SOUND,"
EP05_SHOT_084,486.840,492.920,SALEM_HANDOFF,DAWN / AFTERMATH,MID 70–120,human silhouette in daylight,quiet final breath,or PRESENCE. Which would convince you first? The body wakes. The story keeps moving.
