start,end,duration,asset,function,mode,palette,source_in,edit_id
94.18,99.56,5.38,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FOGO_INN_WALK.jpg,awake certainty returns to lived place,motion,FOGO,0.0,EP05_EDIT_021
99.56,106.06,6.5,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FOGO_VILLAGE.jpg,other accounts across a real community,motion,FOGO,0.0,EP05_EDIT_022
106.06,110.88,4.82,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FOGO_FOG_HARBOUR.jpg,tradition not known beforehand,motion,FOGO,0.0,EP05_EDIT_023
110.88,117.6,6.72,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\CAPTURES\SRC_HUFFORD_PENNPRESS_FULL.png,1982 book landing in its publication context,reading,ARCHIVE,0.0,EP05_EDIT_024
117.6,121.08,3.48,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG007_FOGO_PLACE_ANCHOR_RECON.png,experience may precede cultural face,motion,FOGO,0.0,EP05_EDIT_025
121.08,126.22,5.14,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_REM_PSG.png,REM physiology appears as measured signal,reading,SCIENCE,0.0,EP05_EDIT_026
126.22,132.68,6.46,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\ORIG017_BRAINSTEM_ANATOMY.png,dreaming continues while motor output is restrained,reading,EXPLANATION,0.0,EP05_EDIT_027
132.68,137.34,4.66,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_NHLBI_SLEEP_STUDY.jpg,awareness and movement usually return together,motion,SCIENCE,0.0,EP05_EDIT_028
137.34,143.26,5.92,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP002_REM_SIGNAL_GATE.mp4,motor impulse stops before the hand,clip,SCIENCE,0.0,EP05_EDIT_029
143.26,150.37,7.11,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_REM_HUMAN_PATHWAY.png,mind reaches room before movement reaches muscles,motion,EXPLANATION,0.0,EP05_EDIT_030
150.37,157.14,6.77,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_REM_COMMAND_INTERRUPTED.png,real command and nonresponding arm,motion,EXPLANATION,0.0,EP05_EDIT_031
157.14,163.76,6.62,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_HUMAN_REM_PHYSIOLOGY_FIG6.jpg,paralysis is measurable and fear magnifies sensation,reading,SCIENCE,0.0,EP05_EDIT_032
163.76,166.54,2.78,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\SHOT05_LAB_SENSOR_MACRO.png,measured paralysis does not yet explain footsteps,motion,SCIENCE,0.0,EP05_EDIT_033
166.54,171.73,5.19,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_IDENTITY.png,authentic Cheyne identity and research,reading,ARCHIVE,0.0,EP05_EDIT_034
171.73,177.16,5.43,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_PUBLICATION.png,reports cluster into three families,reading,ARCHIVE,0.0,EP05_EDIT_035
177.16,183.5,6.34,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_CHEYNE_INTRUDER.png,Intruder: observer and humanoid presence,motion,NOCTURNAL,0.0,EP05_EDIT_036
183.5,189.8,6.3,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_CHEYNE_INCUBUS.png,"Incubus: body, face, pressure and figure",motion,NOCTURNAL,0.0,EP05_EDIT_037
189.8,196.4,6.6,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_CHEYNE_BODY_DOUBLE.png,body without borders begins to lift,motion,NOCTURNAL,0.0,EP05_EDIT_038
196.4,200.98,4.58,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CHEYNE_BODY_WITHOUT_BORDERS.png,second body looks back at the first,motion,NOCTURNAL,0.0,EP05_EDIT_039
200.98,202.02,1.04,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_SUMMARY_01.png,a visitor,reading,ARCHIVE,0.0,EP05_EDIT_040
202.02,203.06,1.04,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_SUMMARY_02.png,an attack,reading,ARCHIVE,0.0,EP05_EDIT_041
203.06,204.86,1.8,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_SUMMARY_03.png,an escape,reading,ARCHIVE,0.0,EP05_EDIT_042
204.86,211.41,6.55,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_OPEN_QUESTION.png,the same unstable border opens particular rooms,reading,ARCHIVE,0.0,EP05_EDIT_043
211.41,214.2,2.79,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_01_ID.png,1992 publication identity,reading,SCIENCE,0.0,EP05_EDIT_044
214.2,217.16,2.96,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_TAKEUCHI_HUMAN_LAB.png,sixteen healthy participants in a bright human lab,motion,SCIENCE,0.0,EP05_EDIT_045
217.16,225.06,7.9,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_02_QUESTION.png,restrained experimental question,reading,SCIENCE,0.0,EP05_EDIT_046
225.06,227.2,2.14,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_03_SLEEP.png,sleep,reading,SCIENCE,0.0,EP05_EDIT_047
227.2,228.6,1.4,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_04_AWAKEN.png,selected awakening,reading,SCIENCE,0.0,EP05_EDIT_048
228.6,230.42,1.82,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_05_60MIN.png,sixty minutes awake,reading,SCIENCE,0.0,EP05_EDIT_049
230.42,232.2,1.78,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_06_RETURN.png,return to bed,reading,SCIENCE,0.0,EP05_EDIT_050
232.2,235.66,3.46,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP002_SLEEP_LAB_SENSOR_MACRO.mp4,EEG and EMG monitoring becomes physical,clip,SCIENCE,0.0,EP05_EDIT_051
235.66,237.7,2.04,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_09_NOT_COMMAND.png,not on command,reading,SCIENCE,0.0,EP05_EDIT_052
237.7,239.6,1.9,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_10_NOT_EVERYONE.png,not everyone,reading,SCIENCE,0.0,EP05_EDIT_053
239.6,242.06,2.46,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_11_INTERRUPTED.png,under interrupted sleep,reading,SCIENCE,0.0,EP05_EDIT_054
242.06,247.62,5.56,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP008_SIX_EPISODES_SIGNAL.mp4,six measured events land one by one,clip,SCIENCE,0.0,EP05_EDIT_055
247.62,250.3,2.68,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_13_LAB.png,they recognize the laboratory,reading,SCIENCE,0.0,EP05_EDIT_056
250.3,253.92,3.62,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_15_IMMOBILE.png,conscious body remains immobilized,reading,SCIENCE,0.0,EP05_EDIT_057
253.92,256.4,2.48,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_16_VISUAL.png,visual experience,reading,SCIENCE,0.0,EP05_EDIT_058
256.4,259.6,3.2,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_17_AUDITORY.png,auditory experience,reading,SCIENCE,0.0,EP05_EDIT_059
259.6,261.7,2.1,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_18_SOURCE_CONTEXT.png,actual source context,reading,ARCHIVE,0.0,EP05_EDIT_060
261.7,263.9,2.2,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_19_WAKING.png,waking awareness highlight,reading,ARCHIVE,0.0,EP05_EDIT_061
263.9,267.0,3.1,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_TAKEUCHI_20_ATONIA.png,muscular atonia persisted highlight,reading,ARCHIVE,0.0,EP05_EDIT_062
267.0,272.6,5.6,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_TAKEUCHI_VISUAL_AUDITORY_DISTURBANCE.png,"measurable doorway, personal experience",motion,SCIENCE,0.0,EP05_EDIT_063
272.6,278.98,6.38,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_VIEWER_REACTION.png,viewer locates the state in a human face,motion,NOCTURNAL,0.0,EP05_EDIT_064
278.98,285.82,6.84,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_VIEWER_CLOSED_DOOR_SOUND.png,"closed door, failed arm, two nearby steps",motion,NOCTURNAL,0.0,EP05_EDIT_065
285.82,292.87,7.05,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CHEYNE_INTRUDER_SPACE.png,occupied air precedes a shape,motion,NOCTURNAL,0.0,EP05_EDIT_066
292.87,294.65,1.78,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_VIEWER_PRESSURE.png,pressure choice,reading,NOCTURNAL,0.0,EP05_EDIT_067
294.65,296.42,1.77,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_VIEWER_SOUND.png,sound choice,reading,NOCTURNAL,0.0,EP05_EDIT_068
296.42,298.12,1.7,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_VIEWER_PRESENCE.png,presence choice,reading,NOCTURNAL,0.0,EP05_EDIT_069
298.12,303.94,5.82,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_VIEWER_CHOICE.png,viewer interaction lands,reading,NOCTURNAL,0.0,EP05_EDIT_070
303.94,310.3,6.36,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\EDITED_COMPOSITES\EP05_EDIT_VIEWER_PRESENCE_BEFORE_IMAGE.png,the unseen presence acquires a bodily consequence,motion,NOCTURNAL,0.0,EP05_EDIT_071
310.3,316.48,6.18,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_EEG_CAP.jpg,alarm begins in a measurable human body,motion,SCIENCE,0.0,EP05_EDIT_072
316.48,322.25,5.77,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG018_SLEEP_INTERRUPTION_CLOCK.png,immobility and unfamiliar breathing become a timed experience,motion,SCIENCE,0.0,EP05_EDIT_073
322.25,330.18,7.93,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_AGENCY_SEARCH_OBJECTS.png,perception searches an ambiguous room for an agent,motion,EXPLANATION,0.0,EP05_EDIT_074
330.18,335.44,5.26,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP003_CAUSE_SHADOW_ASSEMBLY.mp4,"coat, doorway and sound assemble into a shoulder",clip,EXPLANATION,0.0,EP05_EDIT_075
335.44,342.7,7.26,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_SLEEP_STUDY_WIRED_02.jpg,pressure and ambiguity gain direction and intention,motion,SCIENCE,0.0,EP05_EDIT_076
342.7,348.62,5.92,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG011_WAKE_BODY_LAG.png,prediction is an active embodied model of the room,motion,EXPLANATION,0.0,EP05_EDIT_077
348.62,351.97,3.35,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG006_SHADOW_DRAWINGS_SPREAD.png,specific predictions begin as incomplete marks,motion,ARCHIVE,0.0,EP05_EDIT_078
351.97,355.4,3.43,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\EDIT007_BLANK_SKETCH_TO_SHADOW.mp4,ambiguity visibly acquires a body,clip,EXPLANATION,0.0,EP05_EDIT_079
355.4,362.72,7.32,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_AGENCY_WATCHED_BEFORE_SEEN.png,the intimate question remains open,reading,EXPLANATION,0.0,EP05_EDIT_080
