cue_id,act,take_id,voice_anchor,visual_class,visual_asset,base_asset_or_build,asset_status,target_seconds,movement_rule,sfx_cue,edit_note
V016,S1,EP08_TAKE_004,Menschen erzählen seit Jahrhunderten,O,SRC009_ROTARY_PHONE_FULL.png,EP08_Rotary_Dial_Telephone.svg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V017,S1,EP08_TAKE_004,innerhalb weniger Stunden,O,SRC010_CRT_MONITOR_FULL.png,EP08_CRT_monitor.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V018,S1,EP08_TAKE_004,dieselbe Beschreibung lesen,M,EDIT003_FAX_TO_CRT_HARDCUTS,SRC007+SRC010,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FAX_PAPER+EP08_SFX_CRT_ROOM,
V019,S1,EP08_TAKE_004,demselben Schatten einen Namen geben,M,EDIT004_NAMELESS_SIGNAL_NETWORK,IMG002+IMG005,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V020,S1,EP08_TAKE_004,dem Erlebnis schon vorher ein Gesicht gibt,M,EDIT005_QUESTION_THRESHOLD,SHOT08_DAWN_MONITOR_OFF.png,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_CRT_ROOM,auf ausgeschaltetem Monitor enden; kein Gesicht zeigen
V021,S2,EP08_TAKE_005,Anfang der Zweitausender,O,SRC011_BBS_SCREEN_FULL.png,EP08_Callisto_BBS_screenshot.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,YELLOW/GFDL vor Export prüfen
V022,S2,EP08_TAKE_005,Foren und Webseiten,O,SRC012_BBS_SCREEN_DETAIL.png,EP08_Callisto_BBS_screenshot.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_FORUM_UI,zweiter semantischer Ausschnitt; keine scrollende Kamerafahrt
V023,S2,EP08_TAKE_005,Shadow People,R,IMG005_EARLY_WEB_FORUM_RECON.png,IMG005_EARLY_WEB_FORUM_RECON.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_CRT_ROOM,
V024,S2,EP08_TAKE_005,öffentlich bekannt machen,R,IMG006_SHADOW_DRAWINGS_SPREAD.png,IMG006_SHADOW_DRAWINGS_SPREAD.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_FORUM_UI,
V025,S2,EP08_TAKE_005,"schwarz, menschlich, ohne Gesicht",R,CUT001_IMG004_PERIPHERAL_LEFT.png,IMG004_SHADOW_PERIPHERAL_GLIMPSE.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
V026,S2,EP08_TAKE_005,erschreckend nah,R,CUT002_IMG003_ABSENCE_DETAIL.png,IMG003_SHADOW_DOORWAY_GENERIC.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_SHADOW_ROOMTONE,
V027,S2,EP08_TAKE_006,Intruder-Erfahrung,R,IMG008_INTRUDER_OVERLAP_BASE.png,IMG008_INTRUDER_OVERLAP_BASE.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V028,S2,EP08_TAKE_006,"Präsenz, Schritte, Schatten",M,CARDS/CARD002_INTRUDER_OVERLAP.png,CARDS/CARD002_INTRUDER_OVERLAP.png,READY,5.0,STATIC_HOLD; absolutely no camera movement,EP08_SFX_SHADOW_ROOMTONE,statisch; keine Identitätsbehauptung
V029,S2,EP08_TAKE_006,wenig ein Wahrnehmungssystem braucht,R,IMG007_NAME_STABILIZES_SHAPE.png,IMG007_NAME_STABILIZES_SHAPE.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V030,S2,EP08_TAKE_007,Geschichte aus der Familie,R,SHOT07_MULTIPLE_BLANK_FORUM_WINDOWS.png,SHOT07_MULTIPLE_BLANK_FORUM_WINDOWS.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_CRT_ROOM,
V031,S2,EP08_TAKE_007,im Netz kann die Reihenfolge umgekehrt sein,O,SRC013_GENERIC_MODEM_FULL.png,EP08_Generic_Modem.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V032,S2,EP08_TAKE_007,du liest,R,CUT003_IMG008_LAYER_DETAIL.png,IMG008_INTRUDER_OVERLAP_BASE.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V033,S2,EP08_TAKE_007,siehst Zeichnungen,R,SHOT02_CRT_DARK_ROOM.png,SHOT02_CRT_DARK_ROOM.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_CRT_ROOM,
V034,S2,EP08_TAKE_007,kennst den Namen,R,CUT004_IMG005_FORUM_DETAIL.png,IMG005_EARLY_WEB_FORUM_RECON.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_FORUM_UI,
V035,S2,EP08_TAKE_007,die Reihenfolge,M,EDIT006_DRAWING_NAME_SEQUENCE,IMG006+IMG007,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,nur Ebenen ein-/ausblenden
V036,S2,EP08_TAKE_007,Monate später,O,SRC014_MODEM_PCB_MACRO.png,EP08_9_6k_Modem_PCB.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V037,S2,EP08_TAKE_007,völliger Dunkelheit,R,CUT005_SHOT02_DARKNESS_DETAIL.png,SHOT02_CRT_DARK_ROOM.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
V038,S2,EP08_TAKE_007,was du gesehen hast,R,CUT006_IMG004_PERIPHERAL_RIGHT.png,IMG004_SHADOW_PERIPHERAL_GLIMPSE.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_SHADOW_ROOMTONE,
V039,S2,EP08_TAKE_007,Bildmaterial in deinem Kopf,M,EDIT007_BLANK_SKETCH_TO_SHADOW,SHOT06_BLANK_SKETCH_PAGE.png+IMG007,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V040,S3,EP08_TAKE_008,achtziger und neunziger Jahre,O,SRC015_ROSWELL_FBI_COVER.png,EP08_FBI_Roswell_UFO_file_1947.pdf,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,"PDF-Seite vollständig einpassen; Kontext, kein Beleg für Entführung"
V041,S3,EP08_TAKE_008,Teil der Popkultur,O,SRC016_ROSWELL_REPORTS_FULL.png,EP08_Roswell_US_Government_reports_1994-1997.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,Jahreszahl sichtbar
V042,S3,EP08_TAKE_008,technische Räume,O,SRC017_AREA51_DIAGRAM_FULL.png,EP08_Area51_CIA_declassified_diagram_1966.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,nur institutioneller UFO-Kontext
V043,S3,EP08_TAKE_008,"kaltes Licht, technische Räume",M,EDIT008_UFO_ARCHIVE_CHRONOLOGY,SRC015+SRC016+SRC017,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_CRT_ROOM,"Hartschnitte zwischen Quellen, keine animierte Aktenkamera"
V044,S3,EP08_TAKE_008,nachts,R,IMG009_ALIEN_BEDROOM_IMMOBILITY.png,IMG009_ALIEN_BEDROOM_IMMOBILITY.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
V045,S3,EP08_TAKE_009,großen Köpfen und dunklen Augen,R,IMG010_GREY_FORM_AMBIGUOUS.png,IMG010_GREY_FORM_AMBIGUOUS.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V046,S3,EP08_TAKE_009,der Körper reagiert nicht,O,SRC018_PSG_MODEL_SIDE_FULL.png,EP08_Polysomnography_model_side.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,YELLOW-Lizenz vor Export prüfen
V047,S3,EP08_TAKE_009,Gefühl zu schweben,R,IMG011_FLOATING_SENSATION_RECON.png,IMG011_FLOATING_SENSATION_RECON.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V048,S3,EP08_TAKE_009,Bausteine,M,CARDS/CARD003_ABDUCTION_OVERLAP.png,CARDS/CARD003_ABDUCTION_OVERLAP.png,READY,5.0,STATIC_HOLD; absolutely no camera movement,—,statisch und begrenztes Erklärmodell
V049,S3,EP08_TAKE_009,Berührungen gespürt,O,SRC019_SENSOR_CONNECTIONS_FULL.png,EP08_Polysomnography_sensor_connections.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,"Forschungskontext, nicht behaupten dies sei ein Abduction-Test"
V050,S3,EP08_TAKE_009,bedrohlich real,R,IMG012_TOUCH_WITHOUT_AGENT.png,IMG012_TOUCH_WITHOUT_AGENT.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_SHADOW_ROOMTONE,
V051,S3,EP08_TAKE_009,"Körper, Licht, Schweben",M,EDIT009_VESTIBULAR_LAYER_REVEAL,IMG011+IMG012,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_SHADOW_ROOMTONE,
V052,S3,EP08_TAKE_010,nicht jeder Bericht,O,SRC020_SLEEP_STUDY_FULL.png,EP08_Sleep_Studies_NHLBI_Polysomnography.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V053,S3,EP08_TAKE_010,einige Bausteine,R,CUT007_IMG010_FIELD_ARCS.png,IMG010_GREY_FORM_AMBIGUOUS.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V054,S3,EP08_TAKE_010,Immobilität,O,SRC021_REM_TRACE_FULL.png,EP08_REM_Polysomnography_30sec.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,Kurve vollständig und statisch
V055,S3,EP08_TAKE_010,vollkommen real erinnert,R,CUT008_IMG009_BODY_DETAIL.png,IMG009_ALIEN_BEDROOM_IMMOBILITY.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V056,S3,EP08_TAKE_010,Erinnerung ehrlich oder Ursache richtig,M,EDIT010_REALITY_CAUSE_SPLIT,IMG012+IMG016,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",—,"keine Waage, kein Sieger"
V057,S3,EP08_TAKE_010,oder beides,R,IMG016_LIE_VS_SPACESHIP_FALSE_CHOICE.png,IMG016_LIE_VS_SPACESHIP_FALSE_CHOICE.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V058,S4,EP08_TAKE_011,John E. Mack,O,SRC022_MACK_HOPKINS_PHOTO_FULL.png,EP08_Budd_Hopkins_John_E_Mack_hypnosis_Istanbul_1995.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,YELLOW-Lizenz; korrekte Personenbeschriftung
V059,S4,EP08_TAKE_011,interviewt zahlreiche Menschen,O,SRC023_MACK_PHOTO_DETAIL.png,EP08_Budd_Hopkins_John_E_Mack_hypnosis_Istanbul_1995.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,zweiter semantischer Ausschnitt
V060,S4,EP08_TAKE_011,nicht klassisch psychotisch,O,SRC024_EEG_CAP_FULL.png,EP08_EEG_cap_subject.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,kein direkter Mack-Versuch; allgemeiner Forschungskontext
V061,S4,EP08_TAKE_011,Harvard,M,EDIT011_HARVARD_RESEARCH_TITLE,SOURCE_ACQUISITION_MACK_BIBLIOGRAPHY,SOURCE_ACQUISITION,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",—,nur belegte Publikations-/Archivangabe
V062,S4,EP08_TAKE_012,andere Forscher,O,SRC025_PSG_TESTER_FULL.png,EP08_Polysomnography_tester.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V063,S4,EP08_TAKE_012,Schlafparalyse,O,SRC026_PSG_MODEL_DETAIL.png,EP08_Polysomnography_model_side.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V064,S4,EP08_TAKE_012,False-Memory-Effekte,O,SRC027_REM_TRACE_DETAIL.png,EP08_REM_Polysomnography_30sec.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V065,S4,EP08_TAKE_013,setzt es neu zusammen,M,CLIP003_MEMORY_RECONSTRUCTION.mp4,CLIP003_MEMORY_RECONSTRUCTION.mp4,READY,6.0,"NATIVE_TRANSFORMATION; no added zoom, crop or speed change",—,Transformation auf neu zusammen starten
V066,S4,EP08_TAKE_013,Erinnerung ist keine Datei,M,CARDS/CARD004_MEMORY_RECONSTRUCTION.png,CARDS/CARD004_MEMORY_RECONSTRUCTION.png,READY,5.0,STATIC_HOLD; absolutely no camera movement,—,sechs Sekunden statisch
V067,S4,EP08_TAKE_013,emotionaler Überzeugung,O,SRC028_SLEEP_STUDY_DETAIL.png,EP08_Sleep_Studies_NHLBI_Polysomnography.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V068,S4,EP08_TAKE_013,Popkultur liefert Bilder,R,IMG013_HARVARD_INTERVIEW_GENERIC.png,IMG013_HARVARD_INTERVIEW_GENERIC.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,"generische Rekonstruktion, nicht reale Harvard-Szene behaupten"
V069,S4,EP08_TAKE_013,Suggestive Befragung,O,SRC029_SENSOR_DETAIL.png,EP08_Polysomnography_sensor_connections.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V070,S4,EP08_TAKE_013,bei jedem Abruf neu,M,EDIT012_MEMORY_LAYER_COMPOSITE,IMG014_MEMORY_RECONSTRUCTION_LAYERS.png,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V071,S4,EP08_TAKE_014,echtes Erlebnis,O,SRC030_EEG_CAP_DETAIL.png,EP08_EEG_cap_subject.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,
V072,S4,EP08_TAKE_014,falsche Erklärung,R,IMG015_SUGGESTIVE_INTERVIEW_BASE.png,IMG015_SUGGESTIVE_INTERVIEW_BASE.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V073,S4,EP08_TAKE_014,Lüge oder Raumschiff,O,SRC_MISSING_MCNALLY_CLANCY_PAPER_PAGE.png,SOURCE_ACQUISITION_MCNALLY_CLANCY_PRIMARY_PAPER,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,"Originalpaper oder Verlagsseite, keine Sekundärgrafik"
V074,S4,EP08_TAKE_014,Silhouette und ein Hut,M,EDIT013_MEMORY_TO_BRIM_BRIDGE,IMG014+IMG018,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_SHADOW_ROOMTONE,
V075,S5,EP08_TAKE_015,eine Figur sticht heraus,R,IMG017_HAT_MAN_FOOT_OF_BED.png,IMG017_HAT_MAN_FOOT_OF_BED.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_SHADOW_ROOMTONE,
V076,S5,EP08_TAKE_015,klarer Hutrand,R,IMG018_HAT_BRIM_MINIMAL.png,IMG018_HAT_BRIM_MINIMAL.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
V077,S5,EP08_TAKE_015,gewöhnlicher Schatten,R,IMG019_HAT_MAN_AS_ROOM_GEOMETRY.png,IMG019_HAT_MAN_AS_ROOM_GEOMETRY.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_SHADOW_ROOMTONE,
V078,S5,EP08_TAKE_015,plötzlich wie jemand,R,SHOT05_HAT_SHADOW_EMPTY_ROOM.png,SHOT05_HAT_SHADOW_EMPTY_ROOM.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
V079,S5,EP08_TAKE_015,gewöhnlicher Schatten plötzlich wie jemand,M,CLIP002_SHADOW_DETACHES.mp4,CLIP002_SHADOW_DETACHES.mp4,READY,6.0,"NATIVE_TRANSFORMATION; no added zoom, crop or speed change",EP08_SFX_SHADOW_ROOMTONE,subjektive Rekonstruktion; kein Horror-Sting
V080,S5,EP08_TAKE_016,Diphenhydramin,O,SRC_MISSING_DPH_MEDICAL_SOURCE_FULL.png,SOURCE_ACQUISITION_DPH_MEDICAL_PRIMARY,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,medizinische Primär-/Behördenquelle
V081,S5,EP08_TAKE_016,nicht nur Schlafparalyse,R,IMG020_HAT_MAN_REPORT_VARIATIONS.png,IMG020_HAT_MAN_REPORT_VARIATIONS.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V082,S5,EP08_TAKE_016,anderen Kontexten,R,IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V083,S5,EP08_TAKE_016,Internetberichte in verschiedenen Kontexten,M,EDIT014_HAT_VARIATION_SEQUENCE,IMG020+IMG021,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V084,S5,EP08_TAKE_016,sauber trennen,R,IMG022_INTERNET_SUPPLIES_HAT.png,IMG022_INTERNET_SUPPLIES_HAT.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V085,S5,EP08_TAKE_016,medizinisch dokumentiert,O,SRC_MISSING_DPH_MEDICAL_SOURCE_DETAIL.png,SOURCE_ACQUISITION_DPH_MEDICAL_PRIMARY,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,"zweiter semantischer Ausschnitt, Kernaussage lesbar"
V086,S5,EP08_TAKE_017,nicht zuverlässig genau den Hat Man,R,CUT009_IMG018_BRIM_GEOMETRY.png,IMG018_HAT_BRIM_MINIMAL.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V087,S5,EP08_TAKE_017,dunkle Person,R,CUT010_IMG019_OBJECT_SOURCES.png,IMG019_HAT_MAN_AS_ROOM_GEOMETRY.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V088,S5,EP08_TAKE_017,medizinisch belegt gegen Internetbericht,M,EDIT015_EVIDENCE_BOUNDARY,SRC_MISSING_DPH_MEDICAL_SOURCE_DETAIL+SRC_MISSING_ANON_FORUM,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",—,keine Gleichwertigkeit vortäuschen
V089,S5,EP08_TAKE_017,Internet liefert den Hut,R,CUT011_IMG020_REPORT_GRID.png,IMG020_HAT_MAN_REPORT_VARIATIONS.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V090,S5,EP08_TAKE_017,die Verbindung lebt,R,CUT012_IMG021_CAUSE_STREAMS.png,IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V091,S5,EP08_TAKE_017,Internetberichten,O,SRC_MISSING_ANON_HAT_FORUM.png,SOURCE_ACQUISITION_ANONYMIZED_FORUM_CAPTURE,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,Namen/Avatare redigieren; Datum und Kontext erhalten
V092,S5,EP08_TAKE_018,universeller Archetyp,R,CUT013_IMG017_TYPOLOGY_WALL.png,IMG017_HAT_MAN_FOOT_OF_BED.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V093,S5,EP08_TAKE_018,wie wenig Information,R,SHOT06_BLANK_SKETCH_PAGE.png,SHOT06_BLANK_SKETCH_PAGE.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V094,S5,EP08_TAKE_018,stabile Form,R,IMG023_PATTERN_OR_MEME_BASE.png,IMG023_PATTERN_OR_MEME_BASE.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V095,S5,EP08_TAKE_018,Kontur wird wiedererkennbar,M,EDIT016_SKETCH_CONVERGENCE,SHOT06+IMG023,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,kein Kameraweg; nur Linien erscheinen
V096,S5,EP08_TAKE_018,wiedererkennbare Form,R,CUT014_SHOT05_SOURCE_OBJECT.png,SHOT05_HAT_SHADOW_EMPTY_ROOM.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V097,S6,EP08_TAKE_019,seht heute Nacht,R,CUT015_IMG023_PATTERN_SIDE.png,IMG023_PATTERN_OR_MEME_BASE.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
