shot_id,section,start_tc,end_tc,duration,voice_beat,asset,kind,rights,treatment,asset_sha256
SP2_013,S2_BODY_PATTERN,00:00:57.080,00:01:02.580,5.5,arrived. Salem had no language of REM sleep or muscle atonia. It …,GENERATED\IMG005_NIGHTMARE_MOTIF_ROOM_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,d6d4445b39ca3b053a830ae33f320ddbf0270621f5e1a2ff250aac75821cfb52
SP2_014,S2_BODY_PATTERN,00:01:02.580,00:01:07.620,5.04,another language ready: witchcraft. But Salem did not invent the pattern.,GENERATED\IMG026_SHARED_MECHANIC_RELIEF.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,71add17930eeb082296cd3779df86c6b6688a2baca71cdbdd530f51201fa43b0
SP2_015,S3_FUSELI_REVEAL,00:01:07.620,00:01:13.480,5.86,"In 1781, Henry Fuseli painted The Nightmare. A woman lies thrown back …",ORIGINAL\SRC_EP07_Fuseli_The_Nightmare_1781_full_painting.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,1a6ba2d20d80409e61284f4f3cace8b6c3bc8ee2c919dffda183708871df3e1b
SP2_016,S3_FUSELI_REVEAL,00:01:13.480,00:01:19.360,5.88,"bed. A squat figure sits on her chest. Behind the curtain, a …",CLIPS\CLIP002_NIGHTMARE_PRESSURE.mp4,GENERATED_CLIP,internally generated for German EP07; approved main version,MCI 24→30 fps + retime + cadence QA,f097a6c1dda83a4082f1084aa99b9e77954148bf33ea722d5428ff41b3b4eb3c
SP2_017,S3_FUSELI_REVEAL,00:01:19.360,00:01:25.300,5.94,with impossible white eyes. The painting became iconic because it gave the …,GENERATED\IMG024_NIGHTMARE_PRINT_WORKSHOP.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,a44bf6ecfe338f67e4202c1e46470c028d7d375a94e05fea0db24b0d77dc564a
SP2_018,S4_CULTURAL_FORMS,00:01:25.300,00:01:30.880,5.58,"Across Europe, the old mare—or mara—rode and pressed the sleeper. Christian",GENERATED\IMG007_MARA_INCUBUS_KANASHIBARI_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,1ed945d78c97d3303f61cd3025acfce9e7f2dcf8dda4c8a7dbc1bbee7e1d96e9
SP2_019,S4_CULTURAL_FORMS,00:01:30.880,00:01:37.580,6.7,"tradition imagined the incubus. In Japan, kanashibari meant being bound as if …",ORIGINAL\SRC_EP07_Kunisada_The_Ghost_full_print.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,c8f49fbe2cc3bce3994bed9c155671fa56e8fe5a7fcc31e54fc11b2138e64b06
SP2_020,S4_CULTURAL_FORMS,00:01:37.580,00:01:42.900,5.32,"In Newfoundland, the visitor became the Old Hag. Elsewhere, pressure and presence",GENERATED\IMG028_NEWFOUNDLAND_ORAL_HISTORY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,280550967480a48a9a14c2bae98f5d1b7cd2510475f8c9486895019800e00148
SP2_021,S4_CULTURAL_FORMS,00:01:42.900,00:01:48.500,5.6,"were understood through jinn. These are parallels, not a demon family tree. …",ORIGINAL\SRC_EP07_Jinn_from_Ali_manuscript_full_manuscript.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,b9595a2acd73075a15fd344847d8d3e7bafb38fa2c6d8e5af50da68436eb1fcf
SP2_022,S4_CULTURAL_FORMS,00:01:48.500,00:01:54.520,6.02,"repeats is simpler: the room is known, the body is trapped, something …",ORIGINAL\SRC_EP07_Abildgaard_Nightmare_1800_full_painting.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,8269a500062a63e59648c9b704080b830c988b38aa72b292e2ed0900d29d26b7
SP2_023,S4_CULTURAL_FORMS,00:01:54.520,00:02:00.180,5.66,gains intention. Perhaps the body produces an experience that demands a cause.,GENERATED\IMG046_RAW_MATERIAL_TO_FORM.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,f6a685714beed66fcc128963bf332124850b44ba1f67f25a87f72cf95cfbfac2
SP2_024,S4_CULTURAL_FORMS,00:02:00.180,00:02:05.960,5.78,"But once a culture supplies that cause, the next sleeper does not …",GENERATED\IMG045_EXPECTATION_ENTERS_BODY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,2ad5dc15d57e22111763e97736936c035e2c3fbf95874e6bfcb850e23641c5db
SP2_025,S5_HUFFORD_REVERSAL,00:02:05.960,00:02:10.759,4.799,That is where folklorist David Hufford reversed the usual question. In,GENERATED\IMG031_HUFFORD_FIELD_INTERVIEW.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,79a7e429dfaa6716f773ae3aa6da6ebd7eb508083e81f916713c0d4cea1db859
SP2_026,S5_HUFFORD_REVERSAL,00:02:10.759,00:02:15.740,4.981,"Newfoundland, he studied people who described the pattern before they knew the …",CARDS\CARD_DAVID_HUFFORD_WORK.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,static evidence/viewer frame,9403e5032f6b7931536f3bbcc88413ee2a21cf00b1f4e50b488a48a7a78c60b1
SP2_027,S5_HUFFORD_REVERSAL,00:02:15.740,00:02:20.620,4.88,named it. Paralysis. Pressure. Presence first. The name,GENERATED\IMG011_HUFFORD_FIELD_NOTES_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,9f15d3f6b1c9bda7cc9122bcd013f67e523fabaf763e0529e5627babe4e0b0ea
SP2_028,S5_HUFFORD_REVERSAL,00:02:20.620,00:02:25.380,4.76,later. The experience could come before the story. Culture did not,GENERATED\IMG032_UNNAMED_FIRST_EPISODE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,d3af38ef5f78f4b16534e938becd1b950a9255ba3c18807dd6c7da351c35fae7
SP2_029,S5_HUFFORD_REVERSAL,00:02:25.380,00:02:30.340,4.96,need to invent the event. It could give a recurring human state …,GENERATED\IMG043_FIRST_EPISODE_BODY_TRACE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,32278d0a3f2b033851d3cc037378675b13f24a2d91f1fb55ad391fab9f38d32f
SP2_030,S5_HUFFORD_REVERSAL,00:02:30.340,00:02:35.220,4.88,memory. Then that interpretation could wait beside the next bed.,GENERATED\IMG012_EXPERIENCE_BEFORE_STORY.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,aa591dbe649711d8fac39067525ff3d037c794b80401b3481bae8138c89ef451
SP2_031,S6_TWO_NIGHTS_AND_STUDY,00:02:35.220,00:02:39.620,4.4,Imagine two people waking into the same paralysis. One knows the,GENERATED\IMG014_TWO_PEOPLE_SAME_BODY_DIFFERENT_MODEL.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,82a673354cecf577b95683b9d6f1d7fbfbc7b23142c654c695a440a562ff87e2
SP2_032,S6_TWO_NIGHTS_AND_STUDY,00:02:39.620,00:02:43.980,4.36,state will pass. The other expects a being that attacks in the …,GENERATED\IMG034_TWO_EXPECTATIONS_THRESHOLD.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,77f74778f4a35a3f947ebb0c3d108e75fdb0e4a615ebf6e0ad22576685adbab6
SP2_033,S6_TWO_NIGHTS_AND_STUDY,00:02:43.980,00:02:48.480,4.5,The body may begin in the same place. Does the night end …,GENERATED\IMG015_EXPERIENCE_CULTURE_DECISION_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,7d826ff82ce707e0de8ad64dd597566ae5b1a6c230ce1fe4000241d3ce65e03d
SP2_034,S6_TWO_NIGHTS_AND_STUDY,00:02:48.480,00:02:52.780,4.3,Baland Jalal and Devon Hinton compared specific samples in Egypt and,CARDS\CARD_JALAL_HINTON_PAPER.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,static evidence/viewer frame,1c7810b94b336ceda82076dac03b56c17d623f8e83ecbf87cdcc80228b1aba72
SP2_035,S6_TWO_NIGHTS_AND_STUDY,00:02:52.780,00:02:57.220,4.44,Denmark. These were not portraits of two countries. They were groups,CARDS\CARD_STUDY_SCOPE.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,static evidence/viewer frame,c78c6cfd17db77412d2181b58d65474422785ecd4bdd05b6454c8b92593e1a18
SP2_036,S6_TWO_NIGHTS_AND_STUDY,00:02:57.220,00:03:01.100,3.88,whose reports revealed a striking association. Supernatural,GENERATED\IMG035_EGYPT_INTERVIEW_CONTEXT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,d98808486c0bcb605ac7657d155198df9602476bc11091233fa57ab710f60c24
SP2_037,S6_TWO_NIGHTS_AND_STUDY,00:03:01.100,00:03:06.000,4.9,"explanations, especially jinn, were more common in the Egyptian samples;",MAPS\ORIG_ORIG_EGYPT_MAP_PD_full_map.png,VIEWER_MAP,public-domain location map rebuild,static evidence/viewer frame,12a24ccb22ceb04573fee9c2ce45078149318c3c9676f422f58aa469169a0fca
SP2_038,S6_TWO_NIGHTS_AND_STUDY,00:03:06.000,00:03:10.020,4.02,physiological explanations were more common in the Danish sample.,GENERATED\IMG036_DENMARK_INTERVIEW_CONTEXT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,9a682a8358e4826aa7c648d29196d487b8526f9b78f83912f9422017aace42b1
SP2_039,S6_TWO_NIGHTS_AND_STUDY,00:03:10.020,00:03:14.620,4.6,"Egyptian participants also reported greater fear, longer immobility, and",MAPS\ORIG_ORIG_DENMARK_MAP_PD_full_map.png,VIEWER_MAP,public-domain location map rebuild,static evidence/viewer frame,e97cd9f8de91b055a9077e78624830a73481da17275cece4077b45d5bb360898
SP2_040,S6_TWO_NIGHTS_AND_STUDY,00:03:14.620,00:03:18.800,4.18,"more lifetime episodes. Within the Egyptian group, supernatural",CARDS\CARD_STUDY_RESULTS.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,static evidence/viewer frame,b613c48b248e4121a297c787042657225e061489895b7f6d59d12a2a09a9791f
SP2_041,S6_TWO_NIGHTS_AND_STUDY,00:03:18.800,00:03:23.320,4.52,attribution was associated with greater fear and longer paralysis.,CARDS\CARD_STUDY_ASSOCIATION.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,static evidence/viewer frame,8d57b93945e591332f649bda65c1aa268557c7e12b6082504cc326f5a4089af0
SP2_042,S7_FEEDBACK_LOOP,00:03:23.320,00:03:27.760,4.44,Science makes the mystery more precise: meaning and bodily distress can become,ORIGINAL\SRC_EP07_REM_Polysomnography_30sec_full_trace.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,e48d5497a7b67a4241dc42a90fd4764b2352278bfda29d06f87d5be886ec2d8b
SP2_043,S7_FEEDBACK_LOOP,00:03:27.760,00:03:32.600,4.84,entangled. Fear can fracture sleep. Fractured sleep can make another,ORIGINAL\SRC_EP07_Sleep_Studies_NHLBI_Polysomnography_full_photo.png,ORIGINAL_SOURCE,NHLBI public domain,static evidence/viewer frame,a32c3d6f1e3b7ecb798685d0a67c47b315dec3ec122522111f62f54cd6f25c30
SP2_044,S7_FEEDBACK_LOOP,00:03:32.600,00:03:37.280,4.68,episode more likely. The episode can confirm the expectation.,CLIPS\CLIP004_FEEDBACK_ENTITY.mp4,GENERATED_CLIP,internally generated for German EP07; approved main version,MCI 24→30 fps + retime + cadence QA,464bdfa0374c6188032f81608d06088b8fc01329b9de336bcd20cc76ea5126e5
SP2_045,S7_FEEDBACK_LOOP,00:03:37.280,00:03:42.000,4.72,The next night arrives already charged. Fear. Sleep.,GENERATED\IMG017_FEAR_SLEEP_FEEDBACK_LOOP_BASE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,d1af5130e1bbba0d11036e327b835763811b1c8b97c4cdcbcc99da36a21cf130
SP2_046,S7_FEEDBACK_LOOP,00:03:42.000,00:03:46.380,4.38,Episode. Expectation. The story has entered the loop.,GENERATED\IMG047_CULTURE_FEEDBACK_BRAID.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,45bf1d9ec699643485f49d30f2bc5b0a557c26d364ddd9ed06a1d754cb360951
SP2_047,S8_RETURN_TO_SALEM,00:03:46.380,00:03:52.140,5.76,"Return to Richard Coman. His testimony contains wakefulness, immobility, pressure,",GENERATED\IMG053_PRESSURE_PRESENCE_RELIEF.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,c9c5e4cee24739b819a28496edfbf36dd8e4d3aff7393adc6b493b9b7508cd8e
SP2_048,S8_RETURN_TO_SALEM,00:03:52.140,00:03:57.360,5.22,"and presence. Salem supplied a name, a cause, and a court willing …",GENERATED\IMG038_BODY_CULTURE_BRAID.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,ab084babfcb38f720444dc00fecb22dc64ff3f014622ab1f494d6f4e4b113a8c
SP2_049,S8_RETURN_TO_SALEM,00:03:57.360,00:04:03.000,5.64,it. The experience moved outward into testimony; the testimony returned to the …,GENERATED\IMG055_CULTURAL_FORM_SETTLES.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,a37ee9b09008fdc5e269141c03cae780523b63147d8d702851d548d7f2045e3e
SP2_050,S8_RETURN_TO_SALEM,00:04:03.000,00:04:08.860,5.86,"as reality. So what comes first? For one person, perhaps the EXPERIENCE.",GENERATED\IMG056_PRESSURE_AS_MEMORY_RELIEF.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,d155c7c1a022bd909e6ae94b57cd67983241a1fb2a8dccb080c921ba065ecbbb
SP2_051,S8_RETURN_TO_SALEM,00:04:08.860,00:04:14.080,5.22,"For a culture, EXPERIENCE and STORY may already be braided together. Every …",GENERATED\IMG039_GENERATIONS_OF_NIGHT_STORIES.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,8cca3486513b846b16b2716894038cec2776f1bc4b6a445bf0ac93abb16404c4
SP2_052,S8_RETURN_TO_SALEM,00:04:14.080,00:04:19.660,5.58,meets images that are waiting. Every account changes what the next person …,GENERATED\IMG057_PUBLIC_MEMORY_SHADOWS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,212c920a03057e6ebcda8e5254d34763362e378158d3795e942ffa698e1c0068
SP2_053,S9_INTERACTION,00:04:19.660,00:04:26.760,7.1,"Which carries more power into the next night: EXPERIENCE, or STORY? Leave …",CARDS\CARD_EXPERIENCE_OR_STORY.png,ENGLISH_GRAPHIC,new in-house graphic from cited primary/scholarly data,static evidence/viewer frame,4de968fca1b2070cba03674a20819c2f3a323053712f7c86c1b7b08e7fe2b15e
SP2_054,S10_FINAL_PAYOFF,00:04:26.760,00:04:31.534,4.774,The body may open the door. But the story decides what is …,GENERATED\SHOT04_FUSELI_TO_SCREEN_TRANSITION.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,ca16afc828a8906ef194207e836ac8ab82168ea0ba7dbad5838d18f32224a95b
